episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,6537.5,6537.5,0.7364,1010,340.00398,0.27467,0.0,0.15857,0.56676,502.0,1.0,0.76826,0.23174,0.0,1.0,0,0,3,502,188.80732,7.13118,19.48271
3,1000,13025.5,6488.0,0.76558,1000,347.24177,0.2785,0.0,0.16464,0.55686,503.0,1.0,0.76834,0.23166,0.0,1.0,0,0,2,501,194.33523,7.00961,19.37929
4,1000,19505.0,6479.5,0.78169,1000,332.14397,0.27158,0.0,0.15585,0.57256,500.0,1.0,0.76819,0.23181,0.0,1.0,0,0,1,501,192.54253,7.56233,18.41192
5,1000,25969.0,6464.0,0.72935,1000,337.16959,0.27178,0.0,0.16954,0.56433,498.0,1.0,0.7681,0.2319,0.0,1.00565,0,0,0,499,186.89149,7.34483,19.93413
6,1000,32451.5,6482.5,0.80583,1000,333.88548,0.25077,0.0,0.17422,0.56938,505.0,1.0,0.76707,0.23293,0.0,0.99437,0,0,5,505,201.74631,8.95936,15.83376
7,1000,38922.5,6471.0,0.62562,1000,322.03131,0.25987,0.0,0.15581,0.58432,498.0,1.0,0.76804,0.23196,0.0,1.0,0,0,3,498,190.94003,8.41523,21.70551
8,1000,45439.5,6517.0,0.70709,1000,377.02562,0.26881,0.0,0.20784,0.52335,506.0,1.0,0.76799,0.23201,0.0,1.0,0,0,6,506,211.55472,7.65282,16.63501
9,1000,51912.0,6472.5,0.70532,1000,331.3821,0.26328,0.0,0.16559,0.57113,500.0,1.0,0.76825,0.23175,0.0,1.0,0,0,0,500,187.39748,7.76042,16.36036
10,1000,58370.5,6458.5,0.98567,1000,350.66765,0.24645,0.0,0.2023,0.55125,500.0,1.0,0.76759,0.23241,0.0,1.0,0,0,2,499,194.93265,8.9046,19.96838
11,1000,64823.5,6453.0,0.69563,1000,344.32079,0.26957,0.0,0.17143,0.55899,496.0,1.0,0.76786,0.23214,0.0,1.0,0,0,1,497,188.57224,7.30712,26.33945
12,1000,71293.5,6470.0,0.69597,1000,346.19378,0.24779,0.0,0.19365,0.55856,506.0,1.0,0.76739,0.23261,0.0,1.0,0,0,1,504,195.66472,8.98843,19.9699
13,1000,77777.5,6484.0,0.65435,1000,376.00993,0.26255,0.0,0.21124,0.52621,499.0,1.0,0.76804,0.23196,0.0,1.0,0,0,3,501,204.16578,7.81664,20.95937
14,1000,84272.0,6494.5,0.65117,1000,371.90946,0.28529,0.0,0.18691,0.52847,499.0,1.0,0.76873,0.23127,0.0,1.00068,0,0,3,499,199.02598,6.48075,25.6381
15,1000,90745.5,6473.5,0.81922,1000,322.23437,0.27506,0.0,0.13926,0.58501,507.0,1.0,0.76736,0.23264,0.0,0.99932,0,0,0,506,183.40593,7.18433,14.31592
16,1000,97200.5,6455.0,0.63809,1000,357.08595,0.27645,0.0,0.17928,0.54427,499.0,1.0,0.76762,0.23238,0.0,1.0,0,0,0,500,191.41555,6.84851,14.3646
17,1000,103674.5,6474.0,0.63861,1000,332.67414,0.24306,0.0,0.18514,0.5718,499.0,1.0,0.76846,0.23154,0.0,1.0,0,0,2,497,191.28518,9.35237,21.84141
18,1000,110164.5,6490.0,0.64705,1000,343.87958,0.27602,0.0,0.16484,0.55914,502.0,1.0,0.7681,0.2319,0.0,1.0,0,0,3,502,198.32797,7.29819,20.9673
