episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,5702.0,5702.0,0.77503,1010,382.40578,0.2963,0.0,0.18202,0.52168,505.0,1.0,0.73571,0.26429,0.0,1.0,0,0,1,496,230.1546,7.844,27.92099
3,1000,11407.5,5705.5,0.82824,1000,345.36711,0.28397,0.0,0.15467,0.56136,503.0,1.0,0.73569,0.26431,0.0,1.0,0,0,2,506,235.98333,9.32775,21.10478
4,1000,17081.0,5673.5,0.69559,1000,398.21258,0.31185,0.0,0.18805,0.50009,498.0,1.0,0.73544,0.26456,0.0,1.0,0,0,3,498,240.49611,7.05206,26.22099
5,1000,22781.0,5700.0,0.70485,1000,384.31165,0.29595,0.0,0.19028,0.51377,502.0,1.0,0.73596,0.26404,0.0,1.0,0,0,3,502,251.02577,8.36185,25.54397
6,1000,28438.5,5657.5,0.84796,1000,399.37994,0.30445,0.0,0.19794,0.49761,502.0,1.0,0.73487,0.26513,0.0,1.0,0,0,1,499,235.81091,7.30402,27.7316
7,1000,34125.0,5686.5,0.70108,1000,360.96683,0.29955,0.0,0.16029,0.54016,496.0,1.0,0.73639,0.26361,0.0,1.0,0,0,0,499,224.26043,7.65627,29.38244
8,1000,39830.5,5705.5,0.69043,1000,374.87241,0.30629,0.0,0.16819,0.52551,505.0,1.0,0.73482,0.26518,0.0,1.0,0,0,7,506,249.00562,7.94046,25.26289
9,1000,45532.0,5701.5,0.71312,1000,382.44778,0.30733,0.0,0.17742,0.51525,505.0,1.0,0.73709,0.26291,0.0,1.0,0,0,2,497,244.82422,7.55633,32.35886
10,1000,51214.5,5682.5,0.85567,1000,404.94861,0.309,0.0,0.19799,0.49301,502.0,1.0,0.73427,0.26573,0.0,1.0,0,0,5,505,250.14087,7.44763,27.96819
11,1000,56967.0,5752.5,0.6991,1000,388.31646,0.3174,0.0,0.17442,0.50819,506.0,1.0,0.73664,0.26336,0.0,1.0,0,0,9,506,257.86866,7.30354,25.30829
12,1000,62682.5,5715.5,0.70337,1000,401.26353,0.30415,0.0,0.20006,0.49579,494.0,1.0,0.73703,0.26297,0.0,1.0,0,0,2,501,238.42396,7.22465,25.12345
13,1000,68384.0,5701.5,0.69975,1000,353.11894,0.31212,0.0,0.1376,0.55029,506.0,1.0,0.73621,0.26379,0.0,1.0,0,0,2,502,236.65367,7.5362,23.26903
14,1000,74033.0,5649.0,0.70439,1000,364.19617,0.31413,0.0,0.15054,0.53533,496.0,1.0,0.73464,0.26536,0.0,1.0,0,0,0,499,229.15926,7.13596,25.07063
15,1000,79774.0,5741.0,0.88318,1000,394.57804,0.32518,0.0,0.17046,0.50436,508.0,1.0,0.73681,0.26319,0.0,1.0,0,0,8,503,257.72494,7.03237,27.10573
16,1000,85465.0,5691.0,0.72088,1000,359.91576,0.30767,0.0,0.1511,0.54123,498.0,1.0,0.73625,0.26375,0.0,1.0,0,0,0,501,241.0777,7.7654,25.11381
17,1000,91175.0,5710.0,0.70469,1000,380.24451,0.30474,0.0,0.17653,0.51873,505.0,1.0,0.7373,0.2627,0.0,1.0,0,0,1,499,236.17959,7.45583,27.89283
18,1000,96868.5,5693.5,0.70999,1000,351.2782,0.29344,0.0,0.15445,0.55211,492.0,1.0,0.73637,0.26363,0.0,1.0,0,0,3,498,230.75072,8.43134,34.49338
19,1000,102579.0,5710.5,0.70497,1000,388.98021,0.31659,0.0,0.1727,0.51071,507.0,1.0,0.73593,0.26407,0.0,1.0,0,0,3,505,245.57309,7.10067,27.95823
20,1000,108230.0,5651.0,0.70073,1000,324.50986,0.31365,0.0,0.10452,0.58183,501.0,1.0,0.73438,0.26562,0.0,1.0,0,0,0,501,228.7833,7.74312,25.99501
21,1000,113882.5,5652.5,0.91778,1000,358.69964,0.31236,0.0,0.14688,0.54158,500.0,1.0,0.73463,0.26537,0.0,1.00083,0,0,0,500,225.28701,7.21732,25.98778
