episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,607.50079,607.50079,0.70616,41,5.15527,0.06943,0.0,0.1345,0.79607,27.0,0.41728,0.33333,0.08395,0.58272,1.0,0,177,0,10,155.47749,48.03464,26.82727
3,1000,1070.50159,463.0008,0.68497,6,0.47745,0.01224,0.0,0.23005,0.75771,6.0,0.14471,0.10799,0.03672,0.85529,1.0,0,198,8,6,588.27715,1259.43745,29.63365
4,1000,1853.50238,783.00079,0.61457,54,5.50256,0.06539,0.0,0.12321,0.8114,33.0,0.56577,0.43423,0.13155,0.43423,1.0,0,170,25,34,776.23145,159.73953,30.00626
5,1000,2489.50317,636.00079,0.7196,29,1.85481,0.05602,0.0,0.17305,0.77378,18.0,0.39623,0.29874,0.09748,0.60377,1.00286,0,192,24,23,853.92929,220.42725,25.77105
6,1000,3324.00395,834.50078,0.70976,57,11.62746,0.06448,0.0,0.26021,0.67314,44.0,0.59497,0.45836,0.13661,0.40503,0.99782,0,169,27,36,741.16525,126.17461,30.78846
7,1000,3823.50475,499.5008,0.74298,16,0.68839,0.02228,0.0,0.15868,0.81904,5.0,0.22322,0.16516,0.05806,0.77678,1.0,0,194,10,11,923.71633,2080.44137,26.27177
8,1000,4508.00554,684.50079,0.64739,36,3.41741,0.04842,0.0,0.16979,0.78179,24.0,0.46238,0.35427,0.10811,0.53762,1.0,0,184,25,25,839.58247,211.5953,25.04574
9,1000,5190.50633,682.50079,0.68127,40,4.91318,0.05164,0.0,0.20373,0.74463,27.0,0.4696,0.36264,0.10696,0.5304,1.0,0,181,21,23,765.83987,292.90225,28.63607
10,1000,5819.50712,629.00079,0.80132,38,4.77007,0.07463,0.0,0.11889,0.80648,22.0,0.43084,0.33386,0.09698,0.56916,1.0,0,179,10,19,629.81094,112.97888,33.16556
11,1000,6568.00791,748.50079,0.75845,40,2.94869,0.04414,0.0,0.1657,0.79016,22.0,0.50033,0.37742,0.12291,0.49967,1.0,0,187,34,35,882.02274,271.50231,20.96047
12,1000,7164.0087,596.00079,0.70474,31,3.90897,0.06066,0.0,0.16379,0.78764,19.0,0.37248,0.29362,0.07886,0.62752,1.01209,0,187,10,11,589.93308,126.76174,33.5394
13,1000,7861.00948,697.00079,0.8802,37,5.63643,0.05117,0.0,0.20892,0.72957,28.0,0.46628,0.35151,0.11478,0.53372,0.98966,0,186,23,29,804.33573,214.21615,27.39595
14,1000,8722.51026,861.50077,0.83133,62,9.18674,0.09815,0.0,0.14911,0.75274,44.0,0.59837,0.4614,0.13697,0.40162,1.0,0,173,27,37,671.08098,88.41478,33.81635
15,1000,9441.01104,718.50079,0.81275,40,4.48714,0.06369,0.0,0.14449,0.79181,24.0,0.49339,0.37926,0.11413,0.50661,1.0,0,182,24,27,744.63614,132.24185,34.77182
16,1000,10055.51183,614.50079,0.78927,29,4.19038,0.05088,0.0,0.19135,0.75777,20.0,0.39788,0.30513,0.09276,0.60211,1.0,0,185,14,19,782.49521,160.51145,35.0336
17,1000,10788.51263,733.00079,0.76707,37,2.53212,0.05408,0.0,0.14075,0.80517,27.0,0.49522,0.37517,0.12005,0.50477,1.0,0,185,34,31,933.24063,247.52496,30.05624
18,1000,11392.01342,603.50079,0.76926,34,1.35897,0.04489,0.0,0.07676,0.87835,20.0,0.38028,0.28583,0.09445,0.61972,1.0,0,187,17,21,657.92397,267.31999,24.17856
19,1000,12010.01421,618.00079,0.66968,33,2.87894,0.02907,0.0,0.16052,0.81041,10.0,0.39806,0.30744,0.09061,0.60194,1.0,0,186,15,17,904.40856,478.7861,28.69796
20,1000,12627.515,617.50079,0.70562,30,3.9814,0.0667,0.0,0.21752,0.71578,28.0,0.39433,0.30364,0.09069,0.60567,1.0,0,187,15,18,639.51938,104.22221,30.88575
21,1000,13430.01578,802.50078,0.83028,57,7.29436,0.05526,0.0,0.19064,0.7541,35.0,0.56386,0.43302,0.13084,0.43614,1.0,0,175,27,35,737.09195,240.80019,31.02968
23,1000,14498.01724,1068.00146,1.81648,46,3.43899,0.03744,0.0,0.193,0.76956,24.0,0.33708,0.25281,0.08427,0.66292,1.0,0,354,34,35,858.86064,314.20748,16.70152
24,1000,15018.01804,520.0008,1.01365,15,0.18159,0.01518,0.0,0.11503,0.86979,8.0,0.23077,0.17308,0.05769,0.76923,1.0,0,200,16,11,1007.63658,1113.43858,13.01014
