episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,13711.5,13711.5,2.87897,1010,276.89327,0.11582,0.0,0.15558,0.72861,1056.0,1.0,0.76961,0.23039,0.0,1.0,0,0,1103,1046,1080.5007,126.77717,59.26074
3,1000,27374.5,13663.0,2.53336,1000,297.58637,0.11305,0.0,0.1867,0.70025,1055.0,1.0,0.7696,0.2304,0.0,1.0,0,0,1104,1044,1075.37254,126.97358,60.35005
4,1000,41043.0,13668.5,2.68013,1000,275.80317,0.12293,0.0,0.15275,0.72431,1059.0,1.0,0.76947,0.23053,0.0,1.0,0,0,1105,1046,1072.72041,111.17055,66.90107
5,1000,54688.5,13645.5,2.53359,1000,272.59107,0.11635,0.0,0.15641,0.72724,1061.0,1.0,0.7693,0.2307,0.0,1.0,0,0,1104,1044,1073.4643,125.87101,78.21358
6,1000,68399.5,13711.0,2.71163,1000,321.50985,0.12156,0.0,0.19518,0.68326,1060.0,1.0,0.76909,0.23091,0.0,1.0,0,0,1112,1054,1077.32871,107.37533,81.33232
7,1000,82057.5,13658.0,2.51947,1000,298.99346,0.12316,0.0,0.18491,0.69192,1057.0,1.0,0.76915,0.23085,0.0,1.0,0,0,1105,1048,1072.70788,105.2545,88.80617
8,1000,95695.0,13637.5,2.75405,1000,293.4864,0.11998,0.0,0.17409,0.70594,1057.0,1.0,0.76939,0.23061,0.0,1.0,0,0,1101,1044,1069.84527,113.5779,100.18718
9,1000,109233.5,13538.5,2.54205,1000,285.5236,0.11619,0.0,0.16795,0.71586,1048.0,1.0,0.76984,0.23016,0.0,1.0,0,0,1086,1030,1070.87119,125.95507,123.5133
10,1000,122964.0,13730.5,2.54867,1000,285.94361,0.11575,0.0,0.16094,0.7233,1063.0,1.0,0.76927,0.23073,0.0,1.0,0,0,1114,1054,1078.78724,124.94439,129.37013
11,1000,136662.5,13698.5,2.80154,1000,305.42941,0.11992,0.0,0.17508,0.70499,1064.0,1.0,0.76924,0.23076,0.0,1.0,0,0,1110,1051,1073.64903,115.40255,137.07442
12,1000,150329.0,13666.5,2.58558,1000,282.85255,0.11903,0.0,0.15478,0.72618,1056.0,1.0,0.76922,0.23078,0.0,1.0,0,0,1105,1049,1071.60765,117.31423,143.89621
13,1000,164044.5,13715.5,2.59279,1000,288.74536,0.11449,0.0,0.17686,0.70864,1052.0,1.0,0.76902,0.23098,0.0,1.0,0,0,1113,1055,1077.65828,125.13386,147.05996
14,1000,177826.0,13781.5,2.8892,1000,292.71511,0.11591,0.0,0.18082,0.70327,1074.0,1.0,0.76897,0.23103,0.0,1.0,0,0,1122,1062,1077.66009,123.61776,145.58423
15,1000,192628.5,14802.5,2.54792,1000,288.16602,0.1087,0.0,0.16983,0.72147,1069.0,1.0,0.76558,0.23442,0.0,1.0,0,0,1270,1200,1074.29601,132.09907,24.73138
16,1000,206342.0,13713.5,2.53498,1000,300.43149,0.12151,0.0,0.16108,0.71773,1053.0,1.0,0.76913,0.23087,0.0,1.00032,0,0,1113,1053,1077.62185,113.05773,30.80843
17,1000,220086.0,13744.0,2.53407,1000,290.91855,0.12008,0.0,0.1592,0.7204,1060.0,1.0,0.76906,0.23094,0.0,0.99968,0,0,1117,1057,1079.82333,116.37181,33.39014
18,1000,233806.5,13720.5,2.90613,1000,292.24252,0.12172,0.0,0.16611,0.71217,1053.0,1.0,0.7691,0.2309,0.0,1.0,0,0,1112,1056,1081.27804,111.84865,33.22858
19,1000,247449.0,13642.5,2.53707,1000,267.87166,0.11518,0.0,0.16013,0.72468,1062.0,1.0,0.76947,0.23053,0.0,1.0,0,0,1102,1043,1069.89382,126.22974,48.12987
20,1000,261128.5,13679.5,2.54867,1000,283.64276,0.1222,0.0,0.16712,0.71068,1053.0,1.0,0.76922,0.23078,0.0,1.0,0,0,1107,1050,1071.35159,110.60341,54.71282
21,1000,274812.0,13683.5,2.54629,1000,288.15947,0.11851,0.0,0.16509,0.71641,1057.0,1.0,0.76936,0.23064,0.0,1.0,0,0,1108,1048,1074.78008,118.61957,66.07359
22,1000,288509.0,13697.0,2.53931,1000,293.0982,0.11461,0.0,0.17129,0.7141,1063.0,1.0,0.76915,0.23085,0.0,1.0,0,0,1110,1052,1077.04026,126.51054,71.74564
23,1000,302189.0,13680.0,2.95316,1000,301.81197,0.11467,0.0,0.17973,0.70559,1054.0,1.0,0.76937,0.23063,0.0,1.0,0,0,1107,1048,1075.80539,124.23281,82.23774
24,1000,315902.0,13713.0,2.52896,1000,303.00841,0.1224,0.0,0.16532,0.71227,1062.0,1.0,0.76934,0.23066,0.0,1.0,0,0,1111,1052,1075.77736,110.48491,88.94784
25,1000,329602.0,13700.0,2.52723,1000,318.20018,0.11993,0.0,0.17544,0.70463,1059.0,1.0,0.76934,0.23066,0.0,1.0,0,0,1110,1050,1074.75983,115.9819,98.54555
26,1000,343300.0,13698.0,2.56453,1000,282.21764,0.12025,0.0,0.17012,0.70963,1063.0,1.0,0.76946,0.23054,0.0,1.0,0,0,1109,1049,1073.761,111.93881,109.1446
27,1000,357006.5,13706.5,2.56986,1000,259.41631,0.11361,0.0,0.16073,0.72567,1059.0,1.0,0.76916,0.23084,0.0,1.0,0,0,1112,1052,1078.06997,131.31298,116.88476
28,1000,370727.0,13720.5,3.01748,1000,309.79428,0.11867,0.0,0.18138,0.69995,1053.0,1.0,0.7691,0.2309,0.0,1.0,0,0,1113,1055,1083.94383,116.00434,119.84066
29,1000,384346.0,13619.0,2.57646,1000,268.82498,0.11564,0.0,0.15651,0.72785,1065.0,1.0,0.76915,0.23085,0.0,1.0,0,0,1102,1042,1069.07408,126.96904,137.23238
30,1000,398083.5,13737.5,2.55256,1000,285.30012,0.11876,0.0,0.15996,0.72128,1061.0,1.0,0.76924,0.23076,0.0,1.0,0,0,1115,1055,1074.2298,119.44097,142.13637
31,1000,411790.5,13707.0,2.55026,1000,299.01789,0.12233,0.0,0.17674,0.70094,1064.0,1.0,0.76931,0.23069,0.0,1.0,0,0,1111,1051,1070.09498,111.90835,150.91811
32,1000,426552.5,14762.0,2.54283,1000,294.2496,0.10812,0.0,0.16664,0.72524,1069.0,1.0,0.76582,0.23418,0.0,1.0,0,0,1263,1194,1072.14208,131.71297,29.93867
33,1000,440263.0,13710.5,2.55499,1000,282.62834,0.11955,0.0,0.14652,0.73392,1058.0,1.0,0.7693,0.2307,0.0,1.0,0,0,1111,1052,1077.21156,119.03168,36.58967
34,1000,453937.0,13674.0,3.11138,1000,280.58228,0.11521,0.0,0.17326,0.71153,1059.0,1.0,0.76934,0.23066,0.0,1.0,0,0,1107,1047,1073.59966,124.8737,49.14438
35,1000,467650.0,13713.0,2.53025,1000,276.75733,0.12165,0.0,0.15602,0.72234,1055.0,1.0,0.76934,0.23066,0.0,1.0,0,0,1111,1052,1077.92458,113.24917,55.9364
36,1000,481306.0,13656.0,2.54188,1000,293.04125,0.11605,0.0,0.17181,0.71214,1063.0,1.0,0.76963,0.23037,0.0,1.0,0,0,1103,1043,1075.05695,123.81331,72.42323
37,1000,494920.5,13614.5,2.53561,1000,279.73853,0.11975,0.0,0.15246,0.72814,1052.0,1.0,0.76958,0.23042,0.0,1.00035,0,0,1097,1040,1073.23202,118.22983,88.9566
38,1000,508564.0,13643.5,2.5458,1000,304.87623,0.1156,0.0,0.17471,0.70934,1062.0,1.0,0.76941,0.23059,0.0,0.99965,0,0,1102,1044,1072.72152,123.84019,102.59154
39,1000,522143.5,13579.5,2.5347,1000,291.36154,0.11568,0.0,0.18309,0.70123,1047.0,1.0,0.76936,0.23064,0.0,1.0,0,0,1091,1041,1073.61379,121.60065,111.37936
40,1000,535808.5,13665.0,2.57127,1000,276.04814,0.11534,0.0,0.16759,0.71707,1062.0,1.0,0.76948,0.23052,0.0,1.0,0,0,1105,1045,1074.58998,125.03612,126.02275
