episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
1,1000,1206.00061,1206.00061,164.11874,337,107.19989,0.29562,0.0,0.11127,0.59311,242.0,0.90547,0.5058,0.39967,0.09453,1.0,0,57,32,114,434.95849,18.64295,133.76415
2,1000,2824.83457,1618.83396,167.10771,325,99.31136,0.2019,0.0,0.20042,0.59769,226.0,0.93328,0.48852,0.44476,0.06671,1.0,0,54,158,243,779.15556,42.93101,131.32925
3,1000,4689.33515,1864.50058,163.70481,377,112.29673,0.22649,0.0,0.17848,0.59503,274.0,0.94958,0.49745,0.45213,0.05042,1.0,0,47,191,283,817.49128,40.70941,133.91084
4,1000,6384.16909,1694.83394,170.82402,350,102.32295,0.22738,0.0,0.16674,0.60588,242.0,0.93628,0.49022,0.44606,0.06372,1.0,0,54,158,256,785.31694,36.79438,123.09947
5,1000,8335.83633,1951.66725,171.81985,384,116.36197,0.22349,0.0,0.16765,0.60886,290.0,0.95798,0.50043,0.45756,0.04202,1.0,0,41,207,306,844.31063,41.75208,105.02208
6,1000,9893.17028,1557.33395,154.47638,338,99.61762,0.23861,0.0,0.15653,0.60906,231.0,0.93065,0.49336,0.43729,0.06935,1.00421,0,54,132,220,733.91509,33.8688,119.18781
7,1000,11760.83752,1867.66724,166.80941,395,114.38904,0.22302,0.0,0.15373,0.61974,290.0,0.95931,0.50419,0.45511,0.04069,0.99649,0,38,179,282,792.29761,41.756,124.26975
8,1000,13753.67141,1992.83388,163.23631,426,124.33588,0.23166,0.0,0.16087,0.60747,307.0,0.96989,0.50974,0.46015,0.03011,1.0,0,30,190,306,777.14603,36.28448,122.47561
9,1000,15500.50532,1746.83391,111.5412,385,120.42554,0.24186,0.0,0.17074,0.5874,263.0,0.95077,0.50138,0.44938,0.04923,1.0,0,43,146,259,734.32743,34.58992,129.23044
10,1000,17362.83923,1862.33392,46.2942,385,115.24364,0.22507,0.0,0.17642,0.59851,290.0,0.95704,0.50116,0.45588,0.04296,1.0,0,40,187,286,788.11666,36.47246,121.5763
11,1000,19234.8398,1872.00057,167.38305,403,121.12142,0.24581,0.0,0.15755,0.60146,280.0,0.96581,0.51015,0.45566,0.03419,1.00482,0,32,175,279,783.16865,35.07501,136.55229
12,1000,21127.50705,1892.66724,175.11087,383,108.14978,0.21146,0.0,0.1667,0.61707,291.0,0.94822,0.49753,0.45069,0.05178,0.99523,0,49,192,286,795.24819,43.43284,131.4238
13,1000,23074.84094,1947.3339,174.99887,406,112.62227,0.21834,0.0,0.16184,0.61982,289.0,0.95686,0.5024,0.45447,0.04314,1.0,0,42,194,297,788.09968,42.94226,125.99831
14,1000,24875.17487,1800.33393,169.78291,361,97.26624,0.20571,0.0,0.1523,0.64199,260.0,0.94779,0.4962,0.45158,0.05221,1.0,0,47,178,276,775.64175,48.09256,111.77753
15,1000,26586.84212,1711.66725,174.6353,386,107.87761,0.24617,0.0,0.13424,0.6196,271.0,0.94859,0.50341,0.44518,0.05141,1.0,0,44,144,243,745.16395,34.17919,142.84701
16,1000,28415.00938,1828.16726,159.61105,367,111.39365,0.22631,0.0,0.17878,0.59492,259.0,0.9453,0.49184,0.45346,0.0547,1.0,0,50,186,287,767.93772,35.27291,112.54107
17,1000,30388.34326,1973.33388,165.86376,429,134.89641,0.24745,0.0,0.16121,0.59133,322.0,0.97365,0.51605,0.4576,0.02635,1.0,0,26,187,291,790.2049,34.75897,141.64097
18,1000,32336.17715,1947.83389,151.08495,421,112.1186,0.21293,0.0,0.14301,0.64406,303.0,0.97022,0.50868,0.46154,0.02978,1.0,0,29,179,304,773.03503,46.99527,128.88627
19,1000,34145.17774,1809.00059,173.03118,371,101.81673,0.21971,0.0,0.13824,0.64205,276.0,0.95357,0.50304,0.45053,0.04643,1.0,0,42,180,267,790.83044,44.33173,142.18643
20,1000,35895.17834,1750.0006,150.5284,369,101.01193,0.23138,0.0,0.13361,0.63501,240.0,0.94857,0.49714,0.45143,0.05143,1.0,0,45,165,268,785.92166,37.64806,128.88916
21,1000,37803.34558,1908.16724,161.81921,391,138.87839,0.24624,0.0,0.20654,0.54722,303.0,0.96122,0.50528,0.45593,0.03878,1.0,0,37,191,289,817.06276,32.86387,132.08993
22,1000,39623.01283,1819.66725,166.00058,385,125.41079,0.24527,0.0,0.18111,0.57361,275.0,0.95494,0.50376,0.45118,0.04506,1.0,0,41,173,270,833.06117,34.68392,142.60329
23,1000,41526.0134,1903.00058,168.64682,390,100.26959,0.23094,0.0,0.1154,0.65366,286.0,0.96322,0.50447,0.45875,0.03678,1.0,0,35,191,296,785.33617,38.56174,127.92619
24,1000,43204.68069,1678.66728,162.17471,337,86.3179,0.22064,0.0,0.13097,0.64839,244.0,0.93209,0.48948,0.44261,0.06791,1.0,0,57,167,249,807.2366,45.73507,124.13158
25,1000,44848.1813,1643.50061,150.14517,348,89.16968,0.21712,0.0,0.13233,0.65056,238.0,0.93672,0.49133,0.44539,0.06328,1.0,0,52,150,247,746.96606,40.06342,115.21882
26,1000,46434.01526,1585.83396,145.15809,325,96.63831,0.23458,0.0,0.17092,0.5945,231.0,0.92433,0.48607,0.43826,0.07567,1.0,0,60,153,230,796.93175,36.67108,120.21355
27,1000,48156.51587,1722.50061,163.07367,357,110.19804,0.23782,0.0,0.16597,0.59621,268.0,0.95007,0.49782,0.45225,0.04993,1.0,0,43,168,262,822.40799,37.21393,113.6575
28,1000,50071.84976,1915.33389,142.39458,416,122.94937,0.22463,0.0,0.17049,0.60488,293.0,0.96659,0.51079,0.4558,0.03341,1.0,0,32,179,284,809.31398,38.71961,134.03417
29,1000,51679.18372,1607.33396,157.90901,321,96.34405,0.20433,0.0,0.20019,0.59549,226.0,0.92161,0.48113,0.44048,0.07839,1.0,0,63,157,242,799.14708,44.92637,116.20855
30,1000,53610.18428,1931.00056,150.19736,403,116.6797,0.22883,0.0,0.16088,0.6103,300.0,0.95236,0.50233,0.45003,0.04764,1.0,0,46,187,285,799.16326,42.66045,129.90956
31,1000,55410.35154,1800.16726,147.86933,378,114.80903,0.22922,0.0,0.16937,0.6014,278.0,0.96111,0.50505,0.45607,0.03889,1.0,0,35,172,275,771.60236,38.20793,126.08595
32,1000,57191.18545,1780.83392,143.07491,380,107.86776,0.22367,0.0,0.16534,0.61753,262.0,0.94946,0.50023,0.44923,0.05054,1.00655,0,45,165,265,777.8056,40.26968,130.89421
33,1000,59014.3527,1823.16724,149.394,394,110.90997,0.22468,0.0,0.15027,0.61865,275.0,0.95612,0.50416,0.45196,0.04388,0.99361,0,40,171,270,782.57511,40.17533,144.31584
34,1000,60899.51996,1885.16726,161.84585,374,107.45368,0.24745,0.0,0.12746,0.62509,275.0,0.95438,0.50084,0.45354,0.04562,1.0,0,43,202,288,852.12583,38.63242,136.0291
35,1000,62736.52056,1837.0006,149.10028,368,106.67884,0.2266,0.0,0.15709,0.61631,278.0,0.96407,0.50354,0.46053,0.03593,1.0,0,33,193,288,829.59488,38.92019,118.51399
36,1000,64294.18786,1557.6673,153.87093,313,81.39293,0.2125,0.0,0.14964,0.63787,225.0,0.91397,0.47935,0.43462,0.08603,1.0,0,67,150,229,764.39732,41.77523,108.26597
37,1000,65875.35515,1581.16729,151.01342,326,97.53606,0.24211,0.0,0.16526,0.59263,234.0,0.92664,0.48645,0.44018,0.07336,1.0,0,58,148,232,754.5015,32.79661,108.26148
38,1000,67354.68911,1479.33396,138.60919,336,121.07979,0.23993,0.0,0.24071,0.51936,223.0,0.92429,0.49234,0.43195,0.07571,1.0,0,56,120,201,766.16949,27.90812,143.73533
39,1000,69002.35641,1647.66729,155.08456,320,102.16834,0.24055,0.0,0.17666,0.58278,244.0,0.92353,0.48351,0.44002,0.07647,1.0,0,63,170,245,823.24601,35.14813,133.77008
40,1000,70712.69034,1710.33393,154.79974,358,108.03999,0.2389,0.0,0.15251,0.60859,255.0,0.94153,0.496,0.44553,0.05847,1.0,0,50,158,253,780.83371,36.09835,136.70048
41,1000,72586.52426,1873.83392,138.74557,380,129.77523,0.22988,0.0,0.21155,0.55856,275.0,0.9509,0.49942,0.45148,0.0491,1.0,0,46,192,283,802.46593,32.65805,133.74442
42,1000,74290.69153,1704.16727,156.53695,356,112.38334,0.22409,0.0,0.1881,0.58781,252.0,0.94719,0.49535,0.45183,0.05281,1.0,0,45,162,260,760.52286,36.43369,124.03566
43,1000,75965.85879,1675.16726,150.37561,365,102.86283,0.2335,0.0,0.14813,0.61836,260.0,0.93792,0.49199,0.44593,0.06208,1.0,0,52,145,250,738.52593,38.07167,121.0806
44,1000,77642.19273,1676.33394,146.65893,347,100.133,0.20909,0.0,0.17901,0.6119,244.0,0.93199,0.49115,0.44084,0.06801,1.0,0,57,155,244,758.4838,40.13427,127.79937
45,1000,79375.85999,1733.66726,139.79616,367,109.42163,0.23102,0.0,0.17039,0.60052,244.0,0.95385,0.50279,0.45107,0.04614,1.00193,0,40,163,257,770.88069,37.53634,138.69214
46,1000,81202.86058,1827.00059,141.20746,379,119.07869,0.25265,0.0,0.16325,0.58227,306.0,0.9584,0.50356,0.45484,0.0416,0.99817,0,38,182,277,821.72008,33.98284,138.88662
47,1000,82800.19454,1597.33396,148.45628,320,90.58086,0.1887,0.0,0.19346,0.61783,213.0,0.91611,0.47788,0.43823,0.08389,1.0,0,67,151,241,787.79282,47.46543,116.07919
48,1000,84499.86181,1699.66727,152.17387,356,101.95711,0.23845,0.0,0.14807,0.61348,262.0,0.93646,0.49519,0.44126,0.06354,1.0,0,54,162,244,769.94816,37.43457,133.85222
49,1000,86162.02908,1662.16727,145.62145,347,110.21018,0.22467,0.0,0.1962,0.57914,249.0,0.93743,0.49283,0.4446,0.06257,1.0,0,52,154,245,792.35433,37.74196,137.7954
50,1000,87947.36302,1785.33393,145.13218,361,102.55542,0.2021,0.0,0.18127,0.61729,252.0,0.94847,0.49477,0.4537,0.05153,1.00067,0,46,178,279,783.66741,45.96561,111.32039
51,1000,89596.19697,1648.83395,148.35161,339,88.57552,0.22884,0.0,0.12529,0.64559,240.0,0.93571,0.49176,0.44395,0.06429,0.99973,0,53,159,244,788.53053,40.22522,111.17345
52,1000,91284.86425,1688.66728,143.82258,346,105.38457,0.23383,0.0,0.17498,0.59074,244.0,0.93723,0.4925,0.44473,0.06277,0.99955,0,53,169,251,814.94305,36.25093,109.31865
53,1000,93038.53152,1753.66727,144.55012,367,111.19451,0.24314,0.0,0.15292,0.60394,279.0,0.95438,0.50276,0.45163,0.04562,1.0,0,40,171,261,794.72625,34.98877,118.22831
54,1000,94703.53212,1665.0006,140.61288,354,93.81843,0.22101,0.0,0.13945,0.63954,250.0,0.93393,0.48949,0.44444,0.06607,1.0,0,55,146,248,739.96527,40.90294,114.09926
55,1000,96177.86609,1474.33398,141.3743,304,89.19273,0.21721,0.0,0.18364,0.59914,220.0,0.91454,0.48383,0.4307,0.08546,1.0,0,63,135,206,763.51744,41.41558,130.85676
56,1000,98043.70002,1865.83392,129.59921,374,101.88072,0.24454,0.0,0.12285,0.63261,281.0,0.95069,0.49888,0.45181,0.04931,1.0,0,46,194,284,809.83578,37.01431,122.17905
57,1000,99920.70059,1877.00058,147.7917,388,119.7123,0.2387,0.0,0.16575,0.59555,276.0,0.95844,0.50613,0.45232,0.04156,1.0,0,39,187,277,786.15025,32.96115,139.84886
58,1000,101759.36785,1838.66725,157.54474,373,96.20048,0.21018,0.0,0.13916,0.65066,283.0,0.94888,0.49583,0.45305,0.05112,1.0,0,47,183,285,789.84178,47.80617,118.12202
59,1000,103457.03511,1697.66726,149.3894,365,99.63484,0.2332,0.0,0.12837,0.63843,272.0,0.94227,0.50167,0.4406,0.05773,1.0,0,49,154,237,783.60775,40.17906,154.57842
60,1000,105340.20235,1883.16725,138.68521,388,98.24507,0.22338,0.0,0.11922,0.65741,263.0,0.95539,0.49872,0.45668,0.04461,1.0,0,42,186,296,797.46476,44.15899,126.93849
61,1000,107310.53625,1970.3339,156.92737,412,138.48344,0.22245,0.0,0.2149,0.56264,289.0,0.97056,0.50922,0.46134,0.02944,1.0,0,29,199,306,813.02866,36.84559,118.26291
62,1000,108650.03691,1339.50066,142.20726,276,73.83625,0.22939,0.0,0.12514,0.64547,189.0,0.891,0.46846,0.42255,0.109,1.0,0,73,108,188,710.2521,35.27145,119.86954
63,1000,110120.03756,1470.00064,151.16544,307,90.32238,0.24812,0.0,0.15494,0.59694,214.0,0.91701,0.47959,0.43741,0.08299,1.0,0,61,131,218,754.49481,33.00136,109.09949
64,1000,111868.37148,1748.33392,142.50437,384,118.91008,0.25222,0.0,0.15526,0.59252,281.0,0.95996,0.5081,0.45186,0.04004,1.0,0,35,156,256,782.71253,31.30142,131.01852
65,1000,113767.87206,1899.50059,145.10634,383,115.13638,0.21887,0.0,0.18311,0.59802,284.0,0.95788,0.50145,0.45644,0.04212,1.0,0,40,199,294,814.47706,40.54513,116.28324
66,1000,115581.70598,1813.83391,127.89125,391,107.89482,0.23431,0.0,0.13616,0.62953,277.0,0.96251,0.50767,0.45484,0.03749,1.0,0,34,168,270,767.21326,38.88595,130.92102
67,1000,117245.2066,1663.50062,153.2938,334,108.46213,0.21963,0.0,0.2166,0.57263,233.0,0.94109,0.49444,0.44665,0.05891,1.00885,0,49,166,248,816.78122,39.60278,129.96037
68,1000,119098.20719,1853.00059,146.42718,367,117.28123,0.22097,0.0,0.1876,0.58348,281.0,0.94819,0.49379,0.4544,0.05181,0.99205,0,48,190,290,802.0294,37.77846,102.42757
69,1000,120714.20779,1616.00061,152.01037,363,115.95761,0.22219,0.0,0.20341,0.5744,253.0,0.94926,0.50433,0.44493,0.05074,1.0,0,41,137,229,723.24076,37.43995,133.84305
70,1000,122605.0417,1890.83391,148.98075,403,118.27117,0.23475,0.0,0.15449,0.61075,286.0,0.96721,0.50815,0.45906,0.03279,1.0,0,31,181,290,782.9597,37.39162,131.93745
71,1000,124308.5423,1703.5006,145.8147,355,92.58925,0.21009,0.0,0.1398,0.6501,247.0,0.94717,0.4975,0.44966,0.05283,1.0,0,45,160,256,762.35291,45.82634,129.83336
72,1000,126148.04289,1839.50059,143.05872,372,116.91719,0.2272,0.0,0.1729,0.59989,267.0,0.94999,0.49878,0.45121,0.05001,1.0,0,46,189,278,785.6252,37.02663,125.96395
73,1000,127731.71019,1583.66729,157.49218,330,100.47954,0.22827,0.0,0.18343,0.5883,241.0,0.93433,0.49042,0.44391,0.06567,1.0,0,52,145,236,758.76133,33.66153,121.01829
74,1000,129442.54413,1710.83394,132.02282,346,120.03731,0.24993,0.0,0.20345,0.54661,254.0,0.9357,0.49148,0.44423,0.0643,1.0,0,55,168,255,792.85253,30.89273,116.17379
75,1000,130925.71144,1483.16731,146.15644,310,86.63829,0.23143,0.0,0.14904,0.61953,233.0,0.91909,0.48826,0.43083,0.08091,1.0,0,60,137,204,771.34491,36.99221,142.79027
76,1000,132741.21203,1815.5006,159.18349,357,107.27011,0.22341,0.0,0.18018,0.59641,263.0,0.935,0.4916,0.4434,0.065,1.0,0,59,191,269,811.04494,39.84801,140.83135
77,1000,134538.87929,1797.66726,171.09051,365,103.1073,0.2064,0.0,0.17546,0.61814,252.0,0.94103,0.48767,0.45337,0.05897,1.0,0,53,174,286,797.80039,44.55659,98.39238
78,1000,135886.87993,1348.00064,136.63266,303,92.30501,0.24667,0.0,0.15649,0.59684,216.0,0.88872,0.47478,0.41395,0.11128,1.0,0,75,98,171,750.53199,33.73075,142.71414
79,1000,137542.54723,1655.6673,153.60918,323,89.76065,0.18642,0.0,0.1953,0.61828,223.0,0.93598,0.4842,0.45178,0.06402,1.0,0,53,170,264,801.11171,50.25131,99.31456
80,1000,139327.71448,1785.16725,142.82758,382,112.6799,0.23147,0.0,0.16452,0.60401,273.0,0.94958,0.50369,0.4459,0.05042,1.0,0,45,168,255,771.90955,38.33848,129.92621
81,1000,141195.71505,1868.00058,142.18704,396,116.32687,0.23923,0.0,0.15353,0.60724,297.0,0.9636,0.50589,0.45771,0.0364,1.0,0,34,179,286,788.79234,36.23169,127.08154
82,1000,143091.54896,1895.83391,146.15368,398,123.22074,0.24241,0.0,0.15917,0.59842,291.0,0.96308,0.50681,0.45626,0.03692,1.0,0,35,190,285,810.40575,37.46378,136.99571
83,1000,144827.54955,1736.00059,160.467,362,96.37099,0.23472,0.0,0.1234,0.64188,255.0,0.94124,0.49539,0.44585,0.05876,1.0,0,51,161,257,785.43977,37.6234,139.77045
84,1000,146479.55018,1652.00062,144.91579,326,98.63192,0.22173,0.0,0.17756,0.60071,234.0,0.93583,0.49031,0.44552,0.06416,1.0,0,53,163,250,788.65726,38.8845,126.02742
85,1000,148042.38415,1562.83397,161.41623,312,80.76339,0.20723,0.0,0.1439,0.64887,230.0,0.92066,0.48363,0.43703,0.07934,1.0,0,62,151,229,796.61104,46.31199,121.9747
86,1000,150015.21804,1972.83389,151.98503,412,130.17125,0.24967,0.0,0.16429,0.58604,303.0,0.96249,0.50731,0.45518,0.03751,1.0,0,37,194,297,776.62907,34.07989,129.00389
87,1000,151734.05198,1718.83395,152.48245,335,97.9189,0.22774,0.0,0.16893,0.60649,240.0,0.936,0.4921,0.44391,0.064,1.00315,0,55,180,254,814.12236,36.19494,129.97044
88,1000,153580.05256,1846.00057,150.32947,393,112.44794,0.22557,0.0,0.15011,0.62139,296.0,0.95666,0.50379,0.45287,0.04334,0.99707,0,40,170,277,790.74359,41.23542,134.90666
89,1000,155332.88649,1752.83394,147.68744,356,108.30712,0.21935,0.0,0.19457,0.58608,253.0,0.9361,0.49111,0.44499,0.0639,1.0,0,56,176,263,830.12817,41.22988,126.05005
