episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,682.50078,682.50078,1.43552,54,6.83287,0.06392,0.0,0.12137,0.81471,35.0,0.49597,0.39194,0.10403,0.50403,1.0,0,172,0,17,138.51846,36.25504,28.88421
3,1000,1322.00158,639.5008,1.38285,18,1.87447,0.03273,0.0,0.1639,0.80337,15.0,0.3964,0.30102,0.09539,0.6036,1.0,0,193,27,22,1025.17207,704.68841,26.37427
4,1000,1947.00237,625.00079,1.38499,37,3.48304,0.05717,0.0,0.10231,0.84052,26.0,0.4272,0.336,0.0912,0.5728,1.0,0,179,8,15,676.88264,172.36507,35.73224
5,1000,2655.00316,708.00079,1.40261,38,3.56231,0.04586,0.0,0.20816,0.74599,20.0,0.46893,0.35311,0.11582,0.53107,1.0,0,188,27,31,845.83428,292.4871,27.01846
6,1000,3347.00394,692.00079,1.34269,42,6.60403,0.07204,0.0,0.26477,0.66319,30.0,0.46821,0.36127,0.10694,0.53179,1.0,0,184,22,24,761.11371,122.22222,27.97048
7,1000,3884.50474,537.50079,1.35126,18,1.46958,0.02944,0.0,0.16104,0.80952,6.0,0.28186,0.2093,0.07256,0.71814,1.0,0,193,12,15,824.76256,313.90951,22.52773
8,1000,4580.00553,695.50079,1.29373,40,5.25009,0.06071,0.0,0.1756,0.76369,29.0,0.48526,0.37743,0.10784,0.51474,1.0,0,179,20,22,715.69992,145.49871,30.24098
9,1000,5325.00631,745.00078,1.39498,46,6.95265,0.05141,0.0,0.20934,0.73925,27.0,0.51946,0.39597,0.12349,0.48054,1.0,0,179,23,32,677.87501,230.97155,27.49007
10,1000,5967.0071,642.00079,1.31237,37,5.6414,0.07225,0.0,0.20911,0.71864,27.0,0.43302,0.33489,0.09813,0.56698,1.0,0,182,13,20,701.68498,140.91593,29.76471
11,1000,6518.5079,551.5008,1.35029,16,0.40923,0.01909,0.0,0.20581,0.7751,9.0,0.28558,0.21305,0.07253,0.71441,1.0,0,197,19,16,945.37915,553.43671,22.39087
12,1000,7203.50868,685.00079,1.23614,42,6.3329,0.07642,0.0,0.19425,0.72934,25.0,0.47153,0.36496,0.10657,0.52847,1.0,0,181,19,22,761.31245,109.28351,28.28852
13,1000,7706.00948,502.5008,1.47209,16,1.4536,0.04308,0.0,0.15241,0.80452,15.0,0.22786,0.17413,0.05373,0.77214,1.0,0,194,9,9,729.15947,210.88385,29.09607
14,1000,8386.01027,680.00079,1.34477,28,2.12878,0.03821,0.0,0.11522,0.84657,11.0,0.43529,0.33088,0.10441,0.56471,1.0,0,192,30,26,1011.84793,335.66124,22.28223
15,1000,8919.01107,533.00079,1.36922,23,2.7117,0.06348,0.0,0.13717,0.79935,24.0,0.30206,0.23452,0.06754,0.69794,1.0,0,186,4,10,492.12944,78.40746,27.98248
