episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,558.50079,558.50079,0.6308,30,3.2097,0.05048,0.0,0.14694,0.80258,20.0,0.33393,0.2641,0.06983,0.66607,1.0,0,186,0,9,90.93486,44.50954,20.87145
3,1000,958.50159,400.0008,0.57991,0,0.0,0.0,0.0,0.14275,0.85725,0.0,0.0,0.0,0.0,1.0,1.0,0,200,0,0,nan,nan,22.0
4,1000,1725.00238,766.50079,0.55528,43,6.85901,0.06219,0.0,0.20478,0.73303,28.0,0.53555,0.41422,0.12133,0.46445,1.0,0,178,28,28,846.79422,180.80198,28.13303
5,1000,2333.00317,608.00079,0.68679,27,3.50543,0.05256,0.0,0.22432,0.72312,22.0,0.38487,0.29605,0.08882,0.61513,1.0,0,187,17,18,834.47975,171.24902,31.77064
6,1000,3179.50395,846.50078,0.7169,64,9.87397,0.07345,0.0,0.20211,0.72444,41.0,0.60071,0.46367,0.13703,0.39929,1.0,0,169,27,35,807.36564,140.54009,40.17978
7,1000,3790.00474,610.50079,0.77234,26,1.84324,0.0387,0.0,0.13117,0.83014,17.0,0.38083,0.28255,0.09828,0.61916,1.0,0,189,16,25,778.16934,329.07635,27.9225
8,1000,4516.00553,726.00079,0.65573,44,4.86723,0.04951,0.0,0.1791,0.77138,32.0,0.50413,0.38567,0.11846,0.49587,1.0,0,180,25,29,725.85527,253.91748,26.25517
9,1000,5215.00632,699.00079,0.70814,45,4.01496,0.0593,0.0,0.13443,0.80626,26.0,0.48212,0.37196,0.11016,0.51788,1.0,0,181,22,23,773.20509,196.01021,33.39106
10,1000,5922.0071,707.00078,0.7881,47,3.9884,0.06227,0.0,0.08714,0.8506,29.0,0.50778,0.38897,0.11881,0.49222,1.0,0,174,13,28,588.437,161.01915,34.00878
11,1000,6680.50789,758.50079,0.69271,43,4.77677,0.06792,0.0,0.17891,0.75317,27.0,0.51747,0.39222,0.12525,0.48253,1.0,0,183,30,34,808.80165,163.35142,27.27007
12,1000,7285.00868,604.50079,0.64191,28,3.65356,0.05874,0.0,0.25415,0.68711,17.0,0.37138,0.28536,0.08602,0.62862,1.0,0,190,19,17,861.84688,195.97438,27.99587
13,1000,7907.00947,622.00079,0.63227,36,3.8765,0.05961,0.0,0.16965,0.77074,23.0,0.40836,0.3135,0.09486,0.59164,1.0,0,184,14,19,767.60557,118.41779,29.65272
14,1000,8604.01026,697.00079,0.71913,37,4.89291,0.05077,0.0,0.18757,0.76166,25.0,0.46915,0.35868,0.11047,0.53085,1.0,0,185,21,27,645.17363,157.02577,26.30952
15,1000,9406.01104,802.00078,0.85937,53,7.31174,0.06742,0.0,0.17996,0.75262,35.0,0.56359,0.43641,0.12718,0.43641,1.0,0,175,27,31,802.8738,193.39768,34.8002
16,1000,9963.01183,557.00079,0.77932,24,1.7522,0.04313,0.0,0.14837,0.8085,14.0,0.31777,0.24237,0.0754,0.68223,1.0,0,190,11,15,838.76539,307.79305,32.04893
17,1000,10760.01261,797.00078,0.69379,44,7.05058,0.05721,0.0,0.19457,0.74822,35.0,0.55082,0.42033,0.13049,0.44918,1.0,0,179,29,35,753.22557,158.08652,30.89955
18,1000,11441.01341,681.00079,0.72003,39,1.99396,0.04258,0.0,0.10104,0.85638,23.0,0.46255,0.35242,0.11013,0.53744,1.0,0,183,24,26,785.87914,392.88814,28.05757
19,1000,12057.0142,616.00079,0.66771,35,3.4692,0.04408,0.0,0.17063,0.7853,20.0,0.40909,0.30844,0.10065,0.59091,1.0,0,182,13,22,646.79883,230.82097,24.19091
20,1000,12824.51498,767.50078,0.69657,53,7.03057,0.06544,0.0,0.18254,0.75202,33.0,0.53876,0.41368,0.12508,0.46124,1.0,0,177,24,31,685.52515,202.22198,27.15642
21,1000,13390.51578,566.0008,0.65477,21,0.91888,0.02439,0.0,0.17113,0.80447,11.0,0.31449,0.23852,0.07597,0.68551,1.0,0,194,19,15,945.61796,516.54504,25.00937
22,1000,14016.01656,625.50079,0.61465,36,4.86744,0.06945,0.0,0.18756,0.74298,24.0,0.40847,0.31575,0.09273,0.59153,1.0,0,185,12,18,708.57592,142.37312,28.84701
23,1000,14698.01735,682.00079,0.75201,36,3.18948,0.05409,0.0,0.19905,0.74686,22.0,0.44575,0.33724,0.1085,0.55425,1.0,0,189,26,27,856.85343,168.09447,22.44626
24,1000,15392.51814,694.50079,0.59703,46,5.47894,0.04591,0.0,0.15561,0.79848,20.0,0.49316,0.38517,0.10799,0.50684,1.0,0,176,18,20,697.50028,271.16629,36.42539
25,1000,15993.01893,600.50079,0.7014,26,4.39108,0.0472,0.0,0.23974,0.71306,21.0,0.38052,0.28726,0.09326,0.61948,1.0,0,186,13,21,696.02044,182.83039,30.16627
26,1000,16660.01972,667.00079,0.64619,34,3.01342,0.05663,0.0,0.13615,0.80723,22.0,0.43928,0.33733,0.10195,0.56072,1.0,0,187,23,23,839.76895,178.25185,29.01386
27,1000,17346.52051,686.50079,0.65829,42,4.06338,0.07391,0.0,0.13633,0.78976,33.0,0.4756,0.36781,0.10779,0.5244,1.0,0,180,22,23,906.17642,216.97856,33.86494
28,1000,17932.02131,585.50079,0.74117,26,1.71854,0.03874,0.0,0.12599,0.83527,14.0,0.34757,0.26046,0.0871,0.65243,1.0,0,191,15,20,753.43718,253.0098,25.17156
29,1000,18650.02209,718.00079,0.67196,42,4.523,0.0708,0.0,0.12912,0.80007,27.0,0.49861,0.38301,0.1156,0.50139,1.0,0,180,23,26,729.54192,171.6469,29.92355
30,1000,19325.52288,675.50079,0.71688,41,6.41803,0.05142,0.0,0.23167,0.71691,21.0,0.45522,0.35159,0.10363,0.54478,1.0,0,184,19,21,885.4729,144.83694,36.818
31,1000,20140.02365,814.50078,0.73005,54,6.24089,0.06264,0.0,0.14438,0.79298,34.0,0.56047,0.42664,0.13382,0.43953,1.0,0,179,24,39,651.11295,165.62295,29.20818
32,1000,20959.02443,819.00078,0.72917,56,6.38424,0.05693,0.0,0.15745,0.78562,42.0,0.57021,0.43956,0.13065,0.42979,1.0,0,176,29,33,775.60631,315.23296,36.83036
33,1000,21559.52523,600.5008,0.78541,22,2.14611,0.05204,0.0,0.2148,0.73316,18.0,0.3572,0.27061,0.08659,0.6428,1.0,0,193,21,19,910.79777,217.18247,32.08297
34,1000,22262.02601,702.50079,0.69929,42,4.22248,0.05061,0.0,0.16447,0.78492,23.0,0.47331,0.35943,0.11388,0.52669,1.0,0,185,22,29,805.77134,185.16919,25.12547
35,1000,22891.02681,629.00079,0.68276,30,2.81292,0.0461,0.0,0.16045,0.79344,18.0,0.4054,0.31002,0.09539,0.59459,1.0,0,187,20,20,869.03283,267.30962,25.1086
36,1000,23656.52759,765.50078,0.62437,50,4.93077,0.06448,0.0,0.12772,0.8078,34.0,0.52972,0.40823,0.12149,0.47028,1.0,0,180,25,30,731.35106,185.18947,27.95859
37,1000,24330.02837,673.50079,0.73299,41,6.05958,0.05602,0.0,0.17842,0.76556,23.0,0.47439,0.36748,0.1069,0.52561,1.0,0,177,13,22,567.02093,155.1831,33.89567
38,1000,25029.52916,699.50079,0.71077,40,5.69084,0.0635,0.0,0.23661,0.69989,28.0,0.48249,0.36812,0.11437,0.51751,1.0,0,181,23,28,771.75081,157.28787,30.01229
39,1000,25811.52995,782.00078,0.73738,52,5.29935,0.07029,0.0,0.11331,0.8164,36.0,0.55243,0.42199,0.13043,0.44757,1.0,0,175,26,35,667.35434,125.93033,27.1181
40,1000,26452.03074,640.50079,0.77083,40,4.87801,0.05014,0.0,0.18265,0.76721,21.0,0.43794,0.33958,0.09836,0.56206,1.0,0,180,12,19,737.25738,270.95943,33.04239
41,1000,27213.03152,761.00079,0.72002,46,5.06881,0.05416,0.0,0.15299,0.79286,26.0,0.52957,0.40736,0.12221,0.47043,1.0,0,179,27,30,849.92261,218.83579,35.90825
42,1000,28051.0323,838.00078,0.81869,54,8.23688,0.07059,0.0,0.17038,0.75904,44.0,0.59188,0.45346,0.13842,0.40811,1.0,0,171,27,39,755.97484,152.42616,35.07977
43,1000,28990.53307,939.50077,0.83512,77,10.277,0.08687,0.0,0.15574,0.75739,46.0,0.64662,0.4976,0.14902,0.35338,1.0,0,166,33,45,714.74397,108.55788,39.93372
44,1000,29659.03386,668.50079,0.75837,30,2.2707,0.0448,0.0,0.1843,0.7709,19.0,0.42558,0.31788,0.1077,0.57442,1.0,0,192,25,29,861.22177,271.68142,25.22235
45,1000,30308.53465,649.50079,0.58838,36,4.14936,0.04283,0.0,0.20076,0.75641,21.0,0.43341,0.33487,0.09854,0.56659,1.0,0,184,17,20,803.1156,243.87673,28.94696
46,1000,30962.03544,653.50079,0.68135,36,5.83291,0.07226,0.0,0.24423,0.68351,28.0,0.43382,0.33282,0.10099,0.56618,1.0,0,185,19,20,797.30074,154.51335,34.90649
47,1000,31604.53623,642.50079,0.74407,35,4.17027,0.04825,0.0,0.19772,0.75403,19.0,0.42101,0.32296,0.09805,0.57899,1.0,0,186,17,20,817.47584,190.98861,37.88845
48,1000,32346.53701,742.00079,0.74082,46,5.25439,0.0737,0.0,0.16969,0.75661,32.0,0.50674,0.3841,0.12264,0.49326,1.0,0,183,28,33,807.90027,141.90587,30.04082
49,1000,32970.5378,624.00079,0.78034,32,2.64027,0.05553,0.0,0.19392,0.75056,18.0,0.38461,0.29647,0.08814,0.61538,1.0,0,192,19,17,836.4625,175.10633,33.98637
50,1000,33586.03859,615.50079,0.71307,30,3.29691,0.02755,0.0,0.23861,0.73384,13.0,0.37937,0.28838,0.09098,0.62063,1.0,0,191,18,20,867.03134,407.84749,30.02803
51,1000,34331.53938,745.50079,0.68376,46,4.34452,0.0734,0.0,0.13349,0.79311,35.0,0.51978,0.39906,0.12072,0.48021,1.0,0,179,26,30,928.11206,155.11471,30.00178
52,1000,34983.54017,652.00079,0.75463,39,5.43165,0.06344,0.0,0.21931,0.71725,22.0,0.43865,0.33742,0.10123,0.56135,1.0,0,183,17,22,633.70844,122.17852,30.01635
53,1000,35674.54096,691.00079,0.70349,40,3.60882,0.0492,0.0,0.15424,0.79656,24.0,0.46454,0.35456,0.10999,0.53546,1.0,0,185,22,26,867.18742,311.10597,28.04805
54,1000,36295.04175,620.50079,0.64734,31,1.61208,0.04083,0.0,0.12862,0.83056,20.0,0.38759,0.29412,0.09347,0.61241,1.0,0,190,19,20,841.78882,275.01777,25.99865
55,1000,36997.54254,702.50079,0.65799,43,3.18214,0.06066,0.0,0.08548,0.85386,25.0,0.48754,0.37367,0.11388,0.51245,1.0,0,180,20,26,647.70283,169.50408,28.03121
56,1000,37547.54333,550.0008,0.62863,21,1.27355,0.02786,0.0,0.1541,0.81804,13.0,0.30545,0.22727,0.07818,0.69454,1.0,0,191,14,17,863.12791,705.98645,20.08813
57,1000,38263.54412,716.00079,0.59278,46,7.35608,0.06494,0.0,0.24821,0.68685,28.0,0.49441,0.38408,0.11034,0.50559,1.0,0,181,23,23,885.90781,141.97616,29.95336
58,1000,38898.54491,635.00079,0.69085,40,4.54758,0.05304,0.0,0.15274,0.79422,18.0,0.42677,0.33071,0.09606,0.57323,1.0,0,182,12,18,523.15501,151.30286,36.87352
59,1000,39713.54569,815.00078,0.66031,62,7.75482,0.08474,0.0,0.14797,0.76729,36.0,0.57301,0.43558,0.13742,0.42699,1.0,0,174,26,40,717.30641,93.00948,29.07466
