episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,665.50079,665.50079,24.08457,53,5.60152,0.07629,0.0,0.08916,0.83455,35.0,0.49211,0.39444,0.09767,0.50789,1.0,0,169,0,12,119.83317,24.87722,34.14111
3,1000,1381.00158,715.50079,26.43985,25,2.85395,0.04514,0.0,0.1653,0.78956,22.0,0.4689,0.3529,0.116,0.5311,1.0,0,190,31,32,872.05729,389.02621,28.49272
4,1000,2099.50236,718.50078,23.95474,49,8.72946,0.07458,0.0,0.18555,0.73987,35.0,0.51844,0.4071,0.11134,0.48156,1.0,0,173,13,21,573.05847,86.11036,40.33676
5,1000,2829.50315,730.00079,25.13112,45,3.93611,0.05183,0.0,0.15043,0.79774,21.0,0.50137,0.37671,0.12466,0.49863,1.0,0,182,28,34,802.01277,211.89529,33.28024
6,1000,3617.50393,788.00078,25.32476,48,4.84971,0.05922,0.0,0.15712,0.78366,35.0,0.53553,0.40609,0.12944,0.46447,1.0,0,183,29,37,824.2944,191.30517,24.61591
7,1000,4448.0047,830.50078,23.83383,61,8.99406,0.07434,0.0,0.16373,0.76193,39.0,0.5882,0.45455,0.13365,0.4118,1.0,0,171,23,34,672.97745,150.45402,32.10989
8,1000,4991.5055,543.50079,26.15482,22,1.2494,0.0359,0.0,0.12413,0.85294,8.0,0.29347,0.22539,0.06808,0.70653,1.01297,0,192,11,12,938.78196,399.19073,32.88918
9,1000,5766.00628,774.50079,24.22271,50,6.62359,0.07514,0.0,0.16042,0.75534,41.0,0.54035,0.40994,0.13041,0.45965,0.9909,0,178,29,35,734.49671,119.11049,29.58015
10,1000,6645.00706,879.00077,25.48794,65,8.73073,0.06302,0.0,0.18543,0.75155,38.0,0.59272,0.45506,0.13766,0.40728,1.0,0,179,33,40,726.76399,174.94171,30.03188
11,1000,7395.50784,750.50078,25.53753,50,6.28936,0.05079,0.0,0.17012,0.77909,32.0,0.51765,0.3964,0.12125,0.48234,1.0,0,181,22,29,641.54209,255.6574,33.78238
12,1000,8068.50862,673.00078,24.38311,39,4.57021,0.04833,0.0,0.15341,0.79826,26.0,0.44428,0.34175,0.10253,0.55572,1.0,0,187,17,23,743.53817,221.64371,34.20156
13,1000,9056.50939,988.00077,25.51937,72,12.18402,0.05258,0.0,0.22501,0.72241,44.0,0.65587,0.50101,0.15486,0.34413,1.0,0,170,39,52,712.63012,215.22644,31.24612
14,1000,9932.51016,876.00077,25.4676,66,10.5575,0.08644,0.0,0.20299,0.71057,44.0,0.60502,0.46233,0.14269,0.39498,1.0,0,173,30,42,647.75454,94.11109,30.12589
