episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,883.00068,883.00068,3.67056,243,89.98841,0.29216,0.0,0.16422,0.54362,169.0,0.78935,0.45866,0.33069,0.21065,1.0,0,93,0,49,124.35405,3.52783,128.21258
3,1000,2423.16798,1540.16731,4.55852,293,107.00905,0.21888,0.0,0.18402,0.5971,216.0,0.9065,0.47668,0.42982,0.0935,1.0,0,72,152,221,822.5818,44.17515,139.68462
4,1000,4308.83524,1885.66726,5.24427,370,121.89995,0.22211,0.0,0.21661,0.56128,278.0,0.95333,0.49938,0.45395,0.04667,1.0,0,44,201,291,826.32614,38.27067,135.62151
5,1000,6370.00245,2061.16721,4.81218,423,128.19974,0.23538,0.0,0.16857,0.59761,309.0,0.96119,0.50174,0.45945,0.03881,1.00157,0,40,210,324,798.2207,37.25107,118.12229
6,1000,7899.83642,1529.83396,4.54217,325,96.21571,0.21696,0.0,0.17887,0.60206,232.0,0.93071,0.49079,0.43992,0.06929,0.99789,0,53,137,219,765.44245,38.74731,126.21743
7,1000,9742.67033,1842.83391,4.70379,386,139.58008,0.25234,0.0,0.21547,0.53219,276.0,0.95876,0.50511,0.45365,0.04124,1.0,0,38,179,276,808.20414,30.0229,135.75926
8,1000,11769.00421,2026.33388,4.86369,429,134.59339,0.2455,0.0,0.17388,0.58061,315.0,0.96644,0.50995,0.45649,0.03356,1.0,0,34,201,304,843.76022,34.91506,146.98705
9,1000,13726.17145,1957.16724,4.80884,394,125.01344,0.22358,0.0,0.1995,0.57692,290.0,0.95912,0.50285,0.45627,0.04088,1.0,0,40,209,301,847.69194,38.24564,139.01824
10,1000,15676.33868,1950.16722,4.68452,412,144.06918,0.26141,0.0,0.1933,0.54529,292.0,0.96,0.50209,0.45791,0.04,1.0,0,39,186,304,799.00519,28.78153,121.1182
11,1000,17769.8392,2093.50053,4.77807,454,135.92981,0.22543,0.0,0.17476,0.59982,333.0,0.97421,0.51469,0.45952,0.02579,1.0,0,27,201,314,790.40469,38.7388,138.89564
12,1000,19803.17306,2033.33386,5.04339,451,139.12003,0.24926,0.0,0.16591,0.58482,313.0,0.96754,0.5082,0.45934,0.03246,1.0,0,33,182,311,775.40324,32.44683,140.01193
13,1000,21735.50696,1932.3339,8.9755,411,113.4614,0.24411,0.0,0.13256,0.62333,290.0,0.96377,0.50371,0.46007,0.03623,1.0,0,35,182,304,804.62382,35.71633,119.20541
14,1000,23862.50748,2127.00052,5.403,451,131.49923,0.23857,0.0,0.14874,0.61269,322.0,0.96709,0.51011,0.45698,0.03291,1.0,0,35,209,320,807.19795,38.2623,130.04527
15,1000,25930.67468,2068.1672,6.47524,448,146.57417,0.2501,0.0,0.18323,0.56726,327.0,0.97292,0.51213,0.46079,0.02708,1.00058,0,28,196,316,805.69514,31.30026,135.0708
16,1000,28191.00853,2260.33385,6.71341,468,141.84785,0.2549,0.0,0.15186,0.59271,356.0,0.97788,0.51467,0.46321,0.02212,0.99947,0,25,240,346,862.71731,34.64931,144.02129
17,1000,30600.17567,2409.16714,6.76546,506,153.56632,0.23384,0.0,0.1623,0.60386,368.0,0.98091,0.51643,0.46448,0.01909,1.0,0,23,243,372,833.75353,38.69944,146.3818
18,1000,32877.17618,2277.00051,6.0403,465,129.00106,0.23238,0.0,0.13229,0.63533,352.0,0.97628,0.51164,0.46465,0.02372,1.0,0,27,240,357,842.19179,42.79737,134.29154
19,1000,35188.17668,2311.00051,6.23588,474,150.12249,0.23606,0.0,0.17827,0.58568,345.0,0.98009,0.51493,0.46517,0.0199,1.0,0,23,245,360,857.91963,38.10637,129.83392
20,1000,37555.34383,2367.16715,9.88284,500,158.17104,0.24652,0.0,0.16987,0.58361,372.0,0.97888,0.51714,0.46173,0.02112,1.0,0,25,242,357,860.44262,35.24539,150.43259
21,1000,40008.17764,2452.83381,5.62241,506,155.55363,0.23081,0.0,0.16946,0.59973,392.0,0.97717,0.51403,0.46314,0.02283,1.0,0,28,259,378,847.90711,41.01176,152.4175
22,1000,42108.67818,2100.50054,5.9631,428,128.44021,0.21208,0.0,0.19292,0.595,298.0,0.96191,0.49869,0.46322,0.03809,1.0,0,40,215,340,823.27093,45.13937,107.16187
23,1000,44380.84535,2272.16716,5.81583,488,158.54093,0.25057,0.0,0.1736,0.57583,368.0,0.98416,0.52116,0.46299,0.01584,1.0,0,18,228,340,825.78259,35.44144,137.99206
24,1000,46387.84589,2007.00055,4.9383,422,125.95959,0.23945,0.0,0.15362,0.60693,297.0,0.96313,0.50324,0.45989,0.03687,1.0,0,37,194,313,791.01385,35.67918,122.32638
25,1000,48796.51303,2408.66713,7.89125,521,161.50577,0.22612,0.0,0.18144,0.59244,380.0,0.98671,0.51965,0.46706,0.01329,1.0,0,16,236,371,808.17012,37.12222,134.16222
26,1000,51378.84682,2582.33379,6.39615,532,163.84978,0.24161,0.0,0.16531,0.59308,409.0,0.98993,0.5202,0.46973,0.01007,1.0,0,13,279,404,870.60374,42.26739,135.3853
27,1000,53841.01396,2462.16714,6.35564,514,142.59664,0.22236,0.0,0.14435,0.63329,389.0,0.98863,0.51953,0.4691,0.01137,1.0,0,14,260,383,857.78684,48.1913,141.13267
28,1000,56006.84781,2165.83386,6.02579,449,137.78192,0.2421,0.0,0.16421,0.59369,338.0,0.96953,0.51058,0.45895,0.03047,1.0,0,33,223,329,822.43604,34.79282,147.58775
29,1000,58164.84835,2158.00053,5.37572,448,141.28682,0.23715,0.0,0.17569,0.58716,317.0,0.9722,0.51205,0.46015,0.0278,1.0,0,30,226,328,846.32485,36.71714,156.37867
30,1000,60783.34882,2618.50047,5.17989,516,158.97814,0.24847,0.0,0.15549,0.59605,416.0,0.99083,0.51843,0.47241,0.00917,1.0,0,12,303,420,864.11891,37.10228,134.5147
31,1000,63306.01596,2522.66714,5.3374,518,153.79657,0.24931,0.0,0.1418,0.60889,400.0,0.9889,0.51995,0.46895,0.0111,1.0,0,14,277,392,850.50864,36.66923,140.9418
32,1000,65282.34983,1976.33387,6.39121,432,123.19365,0.22196,0.0,0.15284,0.6252,300.0,0.9666,0.50767,0.45893,0.0334,1.0,0,33,177,304,745.82423,39.86053,135.6291
33,1000,67365.01703,2082.6672,5.76136,436,124.44185,0.21946,0.0,0.15658,0.62396,325.0,0.96543,0.50976,0.45567,0.03457,1.0,0,36,208,309,793.76265,43.81127,157.22914
34,1000,69845.85086,2480.83383,6.66381,479,130.0391,0.21982,0.0,0.14274,0.63744,359.0,0.97178,0.50621,0.46557,0.02822,1.0,0,35,285,398,884.15254,48.87022,119.80622
35,1000,71943.01806,2097.1672,5.15709,437,134.76983,0.23391,0.0,0.16623,0.59986,329.0,0.96948,0.5122,0.45728,0.03052,1.0,0,32,213,314,819.78526,39.16338,136.00081
36,1000,74153.18526,2210.1672,5.5691,439,148.68961,0.22737,0.0,0.21211,0.56052,346.0,0.97557,0.51316,0.46241,0.02443,1.0,0,27,249,337,874.98772,39.43363,146.98657
37,1000,76431.18579,2278.00052,6.67923,455,140.77757,0.2471,0.0,0.1609,0.59201,347.0,0.97805,0.51141,0.46664,0.02195,1.0,0,25,251,361,859.36568,38.62915,127.36284
38,1000,78431.18634,2000.00055,5.64445,421,124.74667,0.22316,0.0,0.16865,0.61097,310.0,0.968,0.51,0.458,0.032,1.00277,0,32,197,304,837.88238,42.69705,131.14647
39,1000,80928.35346,2497.16712,7.93311,526,150.76757,0.22912,0.0,0.15087,0.61779,397.0,0.97838,0.51625,0.46212,0.02162,0.99778,0,27,261,376,861.61585,44.64799,156.6176
40,1000,83113.18734,2184.83388,5.08947,433,130.94467,0.2266,0.0,0.17533,0.59807,319.0,0.97528,0.51072,0.46457,0.02472,1.0,0,27,245,343,863.41834,41.06223,142.92373
41,1000,85700.52113,2587.33378,5.0573,532,158.43033,0.23431,0.0,0.1606,0.60569,413.0,0.98454,0.51726,0.46728,0.01546,1.0006,0,20,276,404,841.07965,40.47088,139.97983
42,1000,88396.85491,2696.33378,10.29156,536,170.4839,0.23331,0.0,0.17498,0.59113,420.0,0.98665,0.51861,0.46804,0.01335,0.99942,0,18,310,421,900.99411,41.48664,139.36171
43,1000,90819.3554,2422.50049,5.87001,492,149.50734,0.22044,0.0,0.18075,0.59882,368.0,0.97523,0.51084,0.4644,0.02477,1.0,0,30,261,380,853.5179,46.66383,124.4595
44,1000,93390.02251,2570.66712,5.3987,539,155.34449,0.2323,0.0,0.14523,0.62247,406.0,0.98444,0.51802,0.46642,0.01556,1.0,0,20,271,397,856.96917,44.59011,132.21533
45,1000,96072.85626,2682.83375,5.8096,574,175.02753,0.24559,0.0,0.15301,0.60455,430.0,0.98882,0.52215,0.46667,0.01118,1.00316,0,15,274,409,831.2867,38.70887,156.49996
46,1000,98933.52334,2860.66708,6.51021,579,176.74898,0.22427,0.0,0.16906,0.60371,440.0,0.99511,0.52319,0.47192,0.00489,0.99704,0,7,319,452,873.94706,43.74545,150.84557
47,1000,101660.02379,2726.50045,5.40516,540,175.10857,0.22691,0.0,0.193,0.58009,421.0,0.98826,0.51806,0.4702,0.01174,1.0,0,16,313,432,861.60049,40.96998,137.23839
48,1000,104447.19087,2787.16708,5.3368,581,173.39647,0.243,0.0,0.14936,0.60763,438.0,0.99211,0.52174,0.47037,0.00789,1.0,0,11,297,436,848.00497,39.44266,140.06744
49,1000,106914.69134,2467.50047,5.17482,507,160.03395,0.23997,0.0,0.17423,0.5858,399.0,0.98055,0.51773,0.46282,0.01945,1.0,0,24,267,373,855.12008,38.26275,162.52493
50,1000,109446.52516,2531.83382,8.98967,503,172.8795,0.2342,0.0,0.20569,0.56011,376.0,0.98578,0.51577,0.47002,0.01422,1.0,0,18,285,406,864.90477,38.01044,135.27192
51,1000,112272.02558,2825.50042,5.51405,567,194.02129,0.26036,0.0,0.17902,0.56227,451.0,0.9908,0.52115,0.46965,0.0092,1.00164,0,13,320,441,874.99986,31.61651,139.10733
52,1000,114911.52603,2639.50045,5.67598,536,164.3178,0.244,0.0,0.1667,0.58754,422.0,0.98409,0.51809,0.466,0.01591,0.99824,0,21,296,405,859.03904,37.34309,153.76675
