episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,1311.50061,1311.50061,22.09506,350,113.35776,0.28494,0.0,0.10044,0.61462,250.0,0.92833,0.51277,0.41555,0.07167,1.0,0,47,55,141,522.6439,21.38236,127.28805
3,1000,2899.83456,1588.33395,62.22391,333,119.43964,0.21638,0.0,0.23276,0.55086,217.0,0.92571,0.48688,0.43882,0.07429,1.0,0,59,140,229,770.32823,36.70644,133.77424
4,1000,4919.00178,2019.16722,155.95005,415,136.82943,0.23056,0.0,0.20309,0.56635,315.0,0.95741,0.49979,0.45761,0.04259,1.0,0,43,203,315,781.46365,34.35001,121.83452
5,1000,6817.66902,1898.66724,158.25693,402,121.27808,0.2365,0.0,0.17016,0.59334,294.0,0.95786,0.5065,0.45137,0.04213,1.0,0,40,189,279,818.91328,39.48732,139.73855
6,1000,8938.00289,2120.33387,11.87529,435,134.26156,0.22596,0.0,0.18271,0.59133,310.0,0.96982,0.50857,0.46125,0.03018,1.0,0,32,220,330,806.60917,38.62384,129.26369
7,1000,11197.67005,2259.66716,141.3442,485,160.15328,0.24246,0.0,0.19024,0.5673,348.0,0.97787,0.51409,0.46379,0.02213,1.0,0,25,221,350,770.56146,31.29488,126.91493
8,1000,13536.8372,2339.16714,79.94179,512,142.98181,0.24929,0.0,0.12382,0.62895,385.0,0.98888,0.5212,0.46769,0.01112,1.00206,0,13,227,358,774.66833,35.84411,144.80121
9,1000,15522.50443,1985.66723,140.63817,407,123.16997,0.21318,0.0,0.18187,0.60252,294.0,0.96575,0.50697,0.45879,0.03425,0.99757,0,34,205,306,822.42097,45.12743,139.32911
10,1000,17617.67163,2095.1672,150.50678,437,134.61819,0.23935,0.0,0.16462,0.59603,319.0,0.96468,0.50553,0.45915,0.03532,1.0,0,37,205,324,816.50062,36.41384,130.11373
11,1000,19824.3388,2206.66717,141.7535,469,148.12791,0.24099,0.0,0.17482,0.58419,345.0,0.97734,0.51511,0.46224,0.02266,1.0,0,25,216,337,813.32821,35.76159,138.90045
12,1000,21901.33934,2077.00053,199.49189,430,132.14671,0.22266,0.0,0.18254,0.5948,306.0,0.96052,0.50313,0.45739,0.03948,1.0,0,41,205,321,821.00238,41.15288,126.61065
13,1000,23812.83989,1911.50055,199.31243,413,109.94251,0.21834,0.0,0.13699,0.64467,302.0,0.95501,0.50353,0.45148,0.04499,1.0,0,43,171,283,787.47148,43.3187,138.92656
14,1000,25726.67377,1913.83389,7.21141,414,127.97058,0.20499,0.0,0.20582,0.58919,278.0,0.96238,0.50727,0.45511,0.03762,1.0,0,36,176,286,803.63543,48.33306,151.75412
15,1000,27864.84098,2138.1672,7.83298,441,158.03156,0.23719,0.0,0.2315,0.53131,333.0,0.97474,0.50939,0.46535,0.02526,1.0,0,27,221,339,849.38412,34.33688,131.64139
16,1000,30117.17482,2252.33384,113.35814,482,160.58409,0.24073,0.0,0.1955,0.56377,352.0,0.98402,0.5165,0.46752,0.01598,1.0,0,18,223,351,835.68967,36.8883,131.52832
17,1000,32096.50868,1979.33386,9.90175,442,130.05452,0.22229,0.0,0.16717,0.61054,300.0,0.96463,0.50943,0.4552,0.03537,1.0,0,35,169,295,778.57753,37.20872,145.93913
18,1000,34069.34256,1972.83388,116.75425,417,127.61949,0.24702,0.0,0.15064,0.60398,300.0,0.96046,0.50224,0.45822,0.03954,1.00164,0,39,185,307,800.65182,37.5852,130.02378
19,1000,36185.34308,2116.00052,77.27316,452,147.06633,0.25575,0.0,0.16886,0.57386,334.0,0.96786,0.5104,0.45747,0.03214,0.99847,0,34,203,317,802.21623,31.43734,146.21118
20,1000,38527.6769,2342.33382,7.97794,496,134.82717,0.23267,0.0,0.13047,0.63686,361.0,0.98463,0.518,0.46663,0.01537,1.0,0,18,238,362,830.04558,41.18638,152.97255
21,1000,40661.8441,2134.1672,36.51263,429,136.38054,0.22513,0.0,0.19359,0.58128,329.0,0.9597,0.50098,0.45873,0.0403,1.0,0,43,221,335,844.13146,39.16454,128.40181
22,1000,42650.67797,1988.83387,88.94047,430,137.47546,0.23508,0.0,0.17992,0.585,299.0,0.95877,0.50574,0.45303,0.04123,1.0,0,41,179,297,745.65736,36.48496,137.45166
23,1000,44495.01188,1844.33391,9.0594,392,119.68535,0.24789,0.0,0.15835,0.59376,267.0,0.94903,0.49792,0.45111,0.05097,1.0,0,47,178,279,819.84289,31.61157,132.83911
24,1000,46958.51233,2463.50045,8.03844,538,182.61591,0.25886,0.0,0.17908,0.56206,380.0,0.9862,0.51857,0.46763,0.0138,1.0,0,17,234,383,821.83927,29.45864,136.20317
25,1000,48937.17954,1978.66722,78.45933,416,153.626,0.23999,0.0,0.23491,0.52511,301.0,0.95957,0.50371,0.45586,0.04043,1.0,0,40,190,302,807.37265,30.64174,132.0575
26,1000,51066.34674,2129.1672,58.20561,453,133.81364,0.22976,0.0,0.1617,0.60854,337.0,0.97933,0.51389,0.46544,0.02067,1.0,0,22,210,333,797.32639,40.24213,124.43904
27,1000,53590.68053,2524.33379,162.50344,536,148.51751,0.2576,0.0,0.1073,0.6351,415.0,0.9897,0.52225,0.46745,0.0103,1.0,0,13,260,387,838.37805,36.60195,142.91741
28,1000,55862.84769,2272.16716,9.7862,486,145.90863,0.22365,0.0,0.16519,0.61116,326.0,0.98152,0.51236,0.46916,0.01848,1.0,0,21,219,364,797.11073,39.59877,117.39858
29,1000,58266.68147,2403.83378,220.75648,536,151.69798,0.24411,0.0,0.12368,0.63221,376.0,0.98336,0.51827,0.46509,0.01664,1.0,0,20,221,365,817.54709,38.10793,139.87805
30,1000,60371.18198,2104.50051,51.57658,464,140.54519,0.23518,0.0,0.15971,0.60512,328.0,0.97054,0.512,0.45854,0.02946,1.0,0,31,189,318,793.24251,37.16093,150.29079
31,1000,62654.01581,2282.83383,38.94639,488,139.43132,0.22548,0.0,0.14648,0.62835,354.0,0.97897,0.51289,0.46609,0.02103,1.00031,0,24,222,359,793.22902,42.09166,137.82478
32,1000,64783.01633,2129.00052,157.1247,452,143.9497,0.23701,0.0,0.18407,0.57858,331.0,0.96806,0.50963,0.45843,0.03194,0.99966,0,34,207,321,819.07513,37.59854,150.64604
33,1000,67055.18352,2272.16719,16.06783,451,136.46116,0.22956,0.0,0.16965,0.60079,336.0,0.97447,0.50796,0.46651,0.02553,1.0,0,29,249,367,848.29519,39.95991,110.78943
34,1000,69322.18401,2267.00049,8.7838,494,162.72954,0.23064,0.0,0.19578,0.57501,351.0,0.97883,0.5161,0.46273,0.02117,1.00143,0,24,219,342,814.53972,37.5348,133.07202
35,1000,71650.6845,2328.50049,8.73277,499,174.64731,0.25047,0.0,0.2001,0.55987,374.0,0.98797,0.52072,0.46725,0.01202,1.01044,0,14,234,357,834.70334,35.80566,149.73735
36,1000,74035.68497,2385.00048,84.35191,499,174.43719,0.22485,0.0,0.22191,0.5445,364.0,0.97568,0.51153,0.46415,0.02432,0.99126,0,29,242,371,838.88861,36.14573,143.95863
37,1000,76420.85213,2385.16715,18.99727,481,140.67302,0.21962,0.0,0.1679,0.60967,369.0,0.96897,0.50695,0.46202,0.03103,0.99719,0,37,253,374,841.45165,47.54633,124.29439
38,1000,78606.18598,2185.33385,69.69634,462,137.6342,0.22273,0.0,0.17577,0.60149,340.0,0.97437,0.51174,0.46263,0.02563,1.0,0,28,217,337,789.53809,39.67932,124.25141
39,1000,80956.18646,2350.00048,7.1269,502,151.47113,0.22694,0.0,0.17249,0.60057,356.0,0.98043,0.51489,0.46553,0.01957,1.0,0,23,230,365,807.46988,41.86705,123.22629
40,1000,83068.68698,2112.50052,9.44012,449,139.40966,0.24048,0.0,0.17461,0.58924,333.0,0.96781,0.51006,0.45775,0.03219,1.00432,0,34,204,318,827.97367,36.69628,136.1023
41,1000,85180.52084,2111.83386,8.26895,444,134.33707,0.2045,0.0,0.19376,0.59742,310.0,0.96875,0.50706,0.46168,0.03125,0.99568,0,33,207,330,807.23334,43.82964,121.17397
42,1000,87275.85469,2095.33385,83.39741,449,124.63366,0.21696,0.0,0.15188,0.63116,330.0,0.96659,0.50748,0.45912,0.03341,1.0,0,35,197,321,817.74712,47.88014,120.34564
43,1000,89800.02179,2524.1671,15.1724,552,162.61565,0.24014,0.0,0.14855,0.61131,397.0,0.98415,0.51865,0.4655,0.01585,1.0,0,20,243,387,821.01431,39.52673,134.06932
44,1000,92432.6889,2632.66711,83.76985,550,156.88471,0.21575,0.0,0.16076,0.6235,417.0,0.99088,0.52102,0.46987,0.00912,1.0,0,12,277,411,873.19688,51.58453,138.26832
45,1000,94883.52271,2450.83381,162.06352,507,145.43296,0.22676,0.0,0.15692,0.61632,377.0,0.98041,0.51649,0.46392,0.01959,1.0,0,24,261,375,887.34727,45.04847,149.92483
46,1000,97410.52318,2527.00047,223.80512,512,149.04509,0.23379,0.0,0.14707,0.61914,386.0,0.98813,0.51642,0.47171,0.01187,1.0,0,15,276,406,883.16797,44.91059,124.49421
47,1000,100108.85692,2698.33374,23.71628,587,157.75733,0.23865,0.0,0.12077,0.64058,448.0,0.99185,0.52378,0.46807,0.00815,1.0,0,11,266,413,818.21638,40.11779,147.74974
48,1000,102323.85743,2215.00051,204.51216,461,130.56395,0.22291,0.0,0.14642,0.63067,318.0,0.96479,0.50564,0.45914,0.03521,1.0,0,39,218,344,780.86669,43.38109,132.86545
49,1000,104517.35793,2193.5005,213.35369,481,139.78273,0.26072,0.0,0.12729,0.61199,359.0,0.97812,0.5163,0.46182,0.02188,1.0,0,24,207,330,824.22974,33.85997,155.7353
50,1000,106910.69173,2393.3338,98.18142,511,164.20712,0.23343,0.0,0.1811,0.58547,349.0,0.97911,0.51114,0.46797,0.02089,1.0,0,25,230,382,804.91069,33.90317,130.01437
51,1000,108971.85892,2061.16719,8.0795,445,157.43708,0.25685,0.0,0.20358,0.53956,327.0,0.9641,0.50902,0.45508,0.0359,1.0,0,37,194,307,830.97375,31.76806,146.87834
52,1000,111560.35937,2588.50045,132.29566,541,155.46481,0.24162,0.0,0.14378,0.6146,404.0,0.98686,0.51864,0.46822,0.01314,1.0,0,17,271,405,834.15226,37.50213,143.8274
53,1000,114091.19315,2530.83378,8.91882,540,170.51605,0.24886,0.0,0.16138,0.58976,391.0,0.98894,0.51992,0.46902,0.01106,1.0,0,14,257,393,853.26072,36.04794,151.86178
54,1000,116907.02688,2815.83373,8.23469,590,188.73124,0.23869,0.0,0.17743,0.58388,444.0,0.99006,0.51879,0.47126,0.00994,1.0,0,14,294,447,822.54162,35.53045,137.94494
55,1000,119523.36065,2616.33377,8.83211,552,178.34323,0.23663,0.0,0.18625,0.57712,394.0,0.98548,0.51726,0.46821,0.01452,1.0,0,19,266,410,848.21219,37.83088,133.16391
56,1000,122048.19443,2524.83378,57.62447,545,170.87435,0.25303,0.0,0.1568,0.59017,415.0,0.9897,0.52116,0.46855,0.0103,1.0,0,13,249,391,833.74867,37.03559,142.99117
