episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,3545.83333,3545.83333,1.85034,1010,484.20653,0.31084,0.0,0.1587,0.53046,397.0,0.67229,0.35981,0.31248,0.32771,1.0,0,0,345,334,1086.38941,33.51275,124.46028
3,1000,6794.55556,3248.72222,2.47777,1000,700.24479,0.38701,0.0,0.11968,0.4933,508.0,0.68234,0.18152,0.50081,0.31766,1.0,0,0,576,567,1069.17301,27.43244,100.34753
4,1000,9922.61111,3128.05556,1.41841,1000,395.90703,0.2588,0.0,0.19726,0.54393,298.0,0.54285,0.2871,0.25575,0.45715,1.0,0,0,258,257,1035.28886,39.15101,87.01113
5,1000,13033.33333,3110.72222,2.16973,1000,698.04365,0.43122,0.0,0.18738,0.38141,485.0,0.66503,0.17833,0.4867,0.33497,1.0,0,0,518,517,1060.6867,17.20525,73.72478
6,1000,16057.22222,3023.88889,1.32747,1000,324.34991,0.19193,0.0,0.21389,0.59418,244.0,0.50593,0.2675,0.23843,0.49407,1.0,0,0,234,234,1023.53892,66.99937,68.07467
7,1000,18487.11111,2429.88889,1.3029,1000,362.53522,0.25869,0.0,0.21506,0.52625,224.0,0.40162,0.11066,0.29096,0.59838,1.0,0,0,217,217,1003.09796,37.66283,118.72507
8,1000,21071.94445,2584.83333,1.02953,1000,224.11313,0.17694,0.0,0.12302,0.70005,156.0,0.29512,0.14927,0.14585,0.70488,1.0,0,0,144,144,1019.5033,68.61127,65.18188
9,1000,23397.88889,2325.94444,1.63054,1000,432.70828,0.36026,0.0,0.12169,0.51805,276.0,0.37918,0.10832,0.27086,0.62082,1.0,0,0,176,176,1011.45105,24.70842,162.07295
10,1000,26323.38889,2925.5,0.85779,1000,215.8339,0.11181,0.0,0.15414,0.73405,120.0,0.4066,0.20424,0.20236,0.5934,1.0,0,0,230,230,1055.18256,113.17428,67.9399
11,1000,28881.55556,2558.16667,1.70997,1000,522.92211,0.36785,0.0,0.2141,0.41951,332.0,0.49261,0.13649,0.35611,0.50739,1.00147,0,0,280,280,1012.43875,20.82995,139.38713
12,1000,31633.77778,2752.22222,1.07766,1000,253.04363,0.13526,0.0,0.19912,0.66426,142.0,0.35107,0.17703,0.17404,0.64893,0.99864,0,0,186,186,1019.98599,97.78435,61.88834
13,1000,33993.16667,2359.38889,1.62485,1000,421.71618,0.33344,0.0,0.15003,0.51654,277.0,0.3973,0.11291,0.2844,0.6027,1.0,0,0,191,191,1029.4471,29.19868,155.97107
14,1000,36900.0,2906.83333,0.84352,1000,268.73912,0.12082,0.0,0.21322,0.66596,122.0,0.40072,0.20154,0.19919,0.59928,1.0,0,0,225,225,1074.36967,98.32077,62.72816
15,1000,39515.11111,2615.11111,1.88117,1000,484.30193,0.36709,0.0,0.16773,0.46518,338.0,0.5136,0.14191,0.37169,0.4864,1.0,0,0,304,304,1015.49281,22.29507,123.34515
