episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,3172.5,3172.5,0.62757,1010,469.37171,0.39738,0.0,0.17027,0.43235,500.0,1.0,0.52403,0.47597,0.0,1.0,0,0,0,500,175.97058,3.97305,33.89277
3,1000,5210.5,2038.0,0.70712,1000,647.54556,0.62522,0.0,0.11772,0.25706,485.0,1.0,0.27233,0.72767,0.0,1.0,0,0,0,483,134.69065,1.10038,59.38163
4,1000,8372.55556,3162.05556,0.56265,1000,540.15225,0.45714,0.0,0.18488,0.35798,509.0,1.0,0.52278,0.47722,0.0,1.0,0,0,0,509,188.41236,2.64019,44.57376
5,1000,10434.22222,2061.66667,0.6281,1000,758.25402,0.66503,0.0,0.17594,0.15904,497.0,1.0,0.27001,0.72999,0.0,1.0,0,0,6,499,191.622,0.84673,55.06941
6,1000,13596.94445,3162.72222,0.56784,1000,539.64754,0.46051,0.0,0.18346,0.35603,502.0,1.0,0.52478,0.47522,0.0,1.0,0,0,1,502,201.66266,2.74906,49.18706
7,1000,15654.61111,2057.66667,0.65608,1000,757.24891,0.62264,0.0,0.21599,0.16137,497.0,1.0,0.27053,0.72947,0.0,1.0,0,0,4,497,231.59332,1.18668,61.99002
8,1000,18842.0,3187.38889,0.55793,1000,520.22691,0.44457,0.0,0.17695,0.37849,517.0,1.0,0.52281,0.47719,0.0,1.0,0,0,4,517,207.704,3.23434,32.52896
9,1000,20874.88889,2032.88889,0.65823,1000,765.09604,0.68139,0.0,0.16713,0.15148,480.0,1.0,0.27246,0.72754,0.0,1.0,0,0,0,479,189.9567,0.75857,72.1421
10,1000,24045.77778,3170.88889,0.67239,1000,393.89267,0.40327,0.0,0.09124,0.50549,518.0,1.0,0.52159,0.47841,0.0,1.0,0,0,0,517,185.58629,4.79274,38.73566
11,1000,26077.16667,2031.38889,0.66912,1000,754.51195,0.63984,0.0,0.21071,0.16353,473.0,1.0,0.2739,0.7261,0.0,1.01407,0,0,1,474,191.35547,0.94656,90.07509
12,1000,29291.55556,3214.38889,0.58364,1000,551.07981,0.43452,0.0,0.20885,0.34773,527.0,1.0,0.52153,0.47847,0.0,0.99111,0,0,10,528,239.31335,3.57533,45.8964
13,1000,31339.83333,2048.27778,0.65618,1000,745.0153,0.65569,0.0,0.17729,0.16702,489.0,1.0,0.27109,0.72891,0.0,1.0,0,0,4,489,184.80361,0.87915,71.29042
14,1000,34522.55556,3182.72222,0.72799,1000,491.63009,0.4187,0.0,0.17394,0.40736,522.0,1.0,0.52148,0.47852,0.0,1.0,0,0,1,522,207.62481,3.933,29.97663
15,1000,36561.22222,2038.66667,0.66039,1000,760.20962,0.6468,0.0,0.19817,0.15503,479.0,1.0,0.27305,0.72695,0.0,1.0,0,0,4,478,193.02576,0.88399,76.30376
16,1000,39741.77778,3180.55556,0.56377,1000,519.59441,0.45901,0.0,0.16093,0.38006,518.0,1.0,0.5221,0.4779,0.0,1.0,0,0,1,519,205.77325,3.03011,40.06278
17,1000,41777.22222,2035.44444,0.65878,1000,753.28925,0.64968,0.0,0.18958,0.16075,483.0,1.0,0.27239,0.72761,0.0,1.0,0,0,0,481,170.45945,0.79916,77.00663
18,1000,44952.77778,3175.55556,0.55752,1000,543.96243,0.4578,0.0,0.18909,0.35311,520.0,1.0,0.52134,0.47866,0.0,1.0,0,0,0,520,204.0999,2.83248,38.22404
19,1000,46991.88889,2039.11111,0.83592,1000,762.80402,0.66291,0.0,0.18369,0.15341,482.0,1.0,0.27272,0.72728,0.0,1.0,0,0,0,483,159.79218,0.68564,71.3287
20,1000,50184.11111,3192.22222,0.58025,1000,538.38491,0.47363,0.0,0.16774,0.35863,519.0,1.0,0.52228,0.47772,0.0,1.0,0,0,6,519,225.46064,2.99136,40.30566
21,1000,52240.22222,2056.11111,0.64751,1000,729.05449,0.65536,0.0,0.15944,0.18521,497.0,1.0,0.27047,0.72953,0.0,1.0,0,0,2,498,191.12135,0.99879,46.50161
22,1000,55409.11111,3168.88889,0.56917,1000,499.68252,0.43524,0.0,0.17328,0.39769,505.0,1.0,0.52507,0.47493,0.0,1.00621,0,0,2,503,182.26425,3.17812,41.87364
23,1000,57459.5,2050.38889,0.64977,1000,698.24076,0.65452,0.0,0.12619,0.20969,488.0,1.0,0.27136,0.72864,0.0,0.9904,0,0,4,490,170.99839,1.01717,65.66959
24,1000,60632.22222,3172.72222,0.56592,1000,533.82105,0.45173,0.0,0.18573,0.36254,517.0,1.0,0.52155,0.47845,0.0,1.0,0,0,1,517,199.24868,2.88665,33.36528
25,1000,62673.05556,2040.83333,0.89103,1000,780.29275,0.66983,0.0,0.19166,0.13851,486.0,1.0,0.27236,0.72764,0.0,1.0,0,0,1,484,193.76102,0.74767,65.93607
26,1000,65863.27778,3190.22222,0.5666,1000,485.04932,0.42405,0.0,0.16561,0.41034,518.0,1.0,0.5226,0.4774,0.0,1.0,0,0,5,518,199.21853,3.6512,35.18469
27,1000,67905.16667,2041.88889,0.62954,1000,685.13042,0.63303,0.0,0.14328,0.2237,488.0,1.0,0.27126,0.72874,0.0,1.0,0,0,0,488,170.61401,1.19215,58.87905
28,1000,71087.22222,3182.05556,0.57219,1000,530.98698,0.42765,0.0,0.20614,0.36621,511.0,1.0,0.52421,0.47579,0.0,1.0,0,0,3,511,200.18236,3.25574,40.05338
29,1000,73137.22222,2050.0,0.63843,1000,725.18075,0.64797,0.0,0.16676,0.18527,493.0,1.0,0.27073,0.72927,0.0,1.0,0,0,0,495,170.11061,0.92602,50.16805
30,1000,76306.77778,3169.55556,0.56104,1000,495.02888,0.43371,0.0,0.1634,0.40289,508.0,1.0,0.52391,0.47609,0.0,1.0,0,0,1,508,200.84001,3.47515,35.20587
31,1000,78342.83333,2036.05556,0.6385,1000,744.87204,0.65616,0.0,0.17564,0.1682,484.0,1.0,0.27163,0.72837,0.0,1.0,0,0,0,483,161.94381,0.78839,68.65835
32,1000,81513.38889,3170.55556,0.8523,1000,483.01793,0.43869,0.0,0.14831,0.41301,516.0,1.0,0.52217,0.47783,0.0,1.0,0,0,0,515,201.70681,3.54533,39.06016
33,1000,83559.11111,2045.72222,0.64899,1000,723.45566,0.65239,0.0,0.15982,0.18778,489.0,1.0,0.27116,0.72884,0.0,1.0,0,0,0,491,192.9317,1.05608,57.11527
34,1000,86740.66667,3181.55556,0.5655,1000,465.76961,0.4509,0.0,0.11793,0.43118,513.0,1.0,0.5235,0.4765,0.0,1.0,0,0,3,513,190.79393,3.27351,34.17958
35,1000,88792.55556,2051.88889,0.62416,1000,673.89165,0.66395,0.0,0.10415,0.2319,498.0,1.0,0.26994,0.73006,0.0,1.0,0,0,0,498,150.06794,0.98646,38.30157
36,1000,91947.77778,3155.22222,0.57016,1000,452.2289,0.41891,0.0,0.13523,0.44586,498.0,1.0,0.52523,0.47477,0.0,1.0,0,0,0,498,176.56715,3.62835,41.84016
37,1000,93997.27778,2049.5,0.68287,1000,818.14671,0.66953,0.0,0.22281,0.10766,487.0,1.0,0.27202,0.72798,0.0,1.0,0,0,6,486,235.4857,0.68805,75.96684
38,1000,97177.83333,3180.55556,0.55944,1000,504.73539,0.44585,0.0,0.16269,0.39146,519.0,1.0,0.5221,0.4779,0.0,1.0,0,0,0,520,205.45667,3.33495,36.12835
