episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,1571.83359,1571.83359,14.62594,753,137.51821,0.3479,0.0,0.14348,0.50862,217.0,0.7826,0.41742,0.36518,0.02036,1.0,0,0,53,173,538.09295,16.03013,79.67933
3,1000,2347.50055,775.66696,14.09738,700,217.06892,0.60662,0.0,0.18621,0.20717,165.0,0.81772,0.23886,0.57886,0.05157,1.0,0,4,31,113,497.09316,3.59716,172.2435
4,1000,4230.66747,1883.16691,14.02253,754,140.18265,0.3392,0.0,0.15766,0.50314,237.0,0.80458,0.40844,0.39614,0.00956,1.0,0,0,151,279,769.67986,20.02464,97.27253
5,1000,5067.66773,837.00026,12.63213,741,201.07544,0.61942,0.0,0.09778,0.2828,203.0,0.83678,0.23463,0.60215,0.03345,1.0,0,0,42,144,524.07593,4.37133,163.1781
6,1000,6867.77909,1800.11136,12.18599,749,110.61305,0.30909,0.0,0.12908,0.56182,196.0,0.78125,0.39905,0.3822,0.02,1.0,0,1,150,253,788.62203,26.93207,95.99736
7,1000,7667.22379,799.44471,12.27716,738,173.95514,0.51604,0.0,0.17473,0.30923,158.0,0.81438,0.22898,0.58541,0.04003,1.0,0,1,46,136,528.0902,6.55632,152.53313
8,1000,9231.33522,1564.11142,12.50818,687,145.41302,0.40047,0.0,0.2124,0.40701,192.0,0.77392,0.39479,0.37913,0.01918,1.01988,0,2,113,217,783.95172,13.29568,98.30307
9,1000,9966.27997,734.94475,12.30159,692,166.06202,0.49282,0.0,0.17736,0.28752,148.0,0.80679,0.22715,0.57964,0.04354,0.95769,0,1,37,122,606.3067,6.0402,154.89028
10,1000,11702.72472,1736.44475,12.42751,697,147.28965,0.38795,0.0,0.1508,0.46125,228.0,0.81661,0.41752,0.39909,0.00806,1.0,0,0,125,251,775.67163,16.30655,98.55012
11,1000,12373.28061,670.55589,12.43756,656,165.71504,0.51365,0.0,0.2724,0.21395,132.0,0.76388,0.21955,0.54432,0.07456,1.0,0,5,35,97,559.27247,4.07598,169.72273
