episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,2821.05556,2821.05556,0.73993,1010,538.53821,0.47347,0.0,0.16628,0.36025,500.0,1.0,0.46722,0.53278,0.0,1.0,0,0,1,492,210.43555,3.12938,48.31991
3,1000,4760.0,1938.94444,0.85907,1000,700.43883,0.67667,0.0,0.11543,0.20789,489.0,1.0,0.23051,0.76949,0.0,1.0,0,0,0,492,195.20065,1.14463,64.04147
4,1000,7596.44445,2836.44444,0.676,1000,522.19379,0.46894,0.0,0.1567,0.37436,510.0,1.0,0.46694,0.53306,0.0,1.0,0,0,2,510,235.19836,3.66271,46.41632
5,1000,9539.38889,1942.94444,0.7741,1000,837.6482,0.70088,0.0,0.20801,0.09111,494.0,1.0,0.23261,0.76739,0.0,1.0,0,0,5,486,237.02036,0.56253,78.87284
6,1000,12404.11111,2864.72222,0.6811,1000,572.9443,0.496,0.0,0.17931,0.32469,513.0,1.0,0.46766,0.53234,0.0,1.0,0,0,9,516,260.56492,3.14693,54.59724
7,1000,14317.66667,1913.55556,0.80697,1000,841.64949,0.68168,0.0,0.2306,0.08772,453.0,1.0,0.23807,0.76193,0.0,1.0,0,0,2,456,257.80762,0.5955,138.80529
8,1000,17250.38889,2932.72222,0.74036,1000,661.77478,0.56399,0.0,0.19024,0.24577,563.0,1.0,0.46534,0.53466,0.0,1.0,0,0,15,553,366.76117,2.70145,56.50333
9,1000,19201.05556,1950.66667,0.78461,1000,813.09646,0.70858,0.0,0.17803,0.11339,487.0,1.0,0.23154,0.76846,0.0,1.0,0,0,4,495,225.5573,0.65144,68.4035
10,1000,22030.77778,2829.72222,0.80591,1000,510.38782,0.49731,0.0,0.11676,0.38593,515.0,1.0,0.46638,0.53362,0.0,1.0,0,0,0,510,224.64982,3.21191,48.14116
11,1000,23975.66667,1944.88889,0.76771,1000,679.06084,0.67121,0.0,0.10194,0.22685,490.0,1.0,0.2308,0.7692,0.0,1.0,0,0,0,496,170.84268,1.11365,56.23945
12,1000,26806.22222,2830.55556,0.68386,1000,565.36169,0.48455,0.0,0.1867,0.32875,509.0,1.0,0.46654,0.53346,0.0,1.0,0,0,2,508,224.35342,2.88375,42.73151
13,1000,28706.94445,1900.72222,0.83033,1000,828.1077,0.62427,0.0,0.27832,0.09741,439.0,1.0,0.23924,0.76076,0.0,1.0,0,0,0,446,240.7008,0.70802,146.54915
14,1000,31713.33333,3006.38889,0.95209,1000,582.42958,0.5217,0.0,0.16108,0.31722,569.0,1.0,0.46946,0.53054,0.0,1.0,0,0,31,564,410.11696,4.58786,54.76476
15,1000,33659.72222,1946.38889,0.80659,1000,828.59927,0.66983,0.0,0.23324,0.09692,498.0,1.0,0.23448,0.76552,0.0,1.0,0,0,8,482,233.30711,0.64625,96.02344
16,1000,36512.66667,2852.94444,0.7124,1000,541.45941,0.48213,0.0,0.15946,0.35841,508.0,1.0,0.46687,0.53313,0.0,1.0,0,0,1,520,261.5878,3.71015,57.69868
17,1000,38439.38889,1926.72222,0.813,1000,790.25972,0.70769,0.0,0.16365,0.12866,473.0,1.0,0.23341,0.76659,0.0,1.0,0,0,0,477,223.72325,0.71716,102.76984
18,1000,41332.44445,2893.05556,0.72539,1000,568.31016,0.50697,0.0,0.16687,0.33268,532.0,1.0,0.46769,0.53231,0.0,1.00651,0,0,8,532,300.49607,3.63369,48.80029
19,1000,43260.11111,1927.66667,1.01473,1000,860.22555,0.69539,0.0,0.2241,0.07073,476.0,1.0,0.23431,0.76569,0.0,0.99023,0,0,2,474,286.707,0.52559,101.64168
20,1000,46125.5,2865.38889,0.71872,1000,568.52296,0.50992,0.0,0.15798,0.3321,531.0,1.0,0.46639,0.53361,0.0,1.0,0,0,1,528,277.53955,3.28169,47.58179
21,1000,48068.05556,1942.55556,0.78117,1000,703.79117,0.65093,0.0,0.14461,0.20446,488.0,1.0,0.23194,0.76806,0.0,1.0,0,0,0,492,184.02875,1.14813,62.90914
22,1000,50906.0,2837.94444,0.71694,1000,615.32306,0.50423,0.0,0.20977,0.286,502.0,1.0,0.46933,0.53067,0.0,1.0,0,0,4,502,245.1483,2.52452,62.59501
23,1000,52856.88889,1950.88889,0.79375,1000,733.18489,0.69613,0.0,0.12617,0.17771,500.0,1.0,0.23009,0.76991,0.0,1.0,0,0,1,501,200.05332,0.95694,62.08196
24,1000,55692.11111,2835.22222,0.69979,1000,480.09728,0.45498,0.0,0.12797,0.41706,509.0,1.0,0.46812,0.53188,0.0,1.0,0,0,0,508,223.58546,4.02948,46.17732
25,1000,57619.88889,1927.77778,1.03824,1000,788.04564,0.69771,0.0,0.16921,0.13468,481.0,1.0,0.23487,0.76513,0.0,1.0016,0,0,1,474,200.0189,0.70664,98.12644
26,1000,60496.16667,2876.27778,0.71432,1000,512.23111,0.46194,0.0,0.15319,0.3838,524.0,1.0,0.46598,0.53402,0.0,0.99893,0,0,6,530,268.83127,4.42279,45.41038
27,1000,62437.72222,1941.55556,0.80141,1000,850.19192,0.71076,0.0,0.21089,0.07835,487.0,1.0,0.23463,0.76537,0.0,1.0,0,0,1,485,248.52018,0.49891,76.16917
28,1000,65288.44445,2850.72222,0.69933,1000,573.36656,0.50643,0.0,0.16958,0.32398,514.0,1.0,0.46645,0.53355,0.0,1.0,0,0,5,516,259.02853,2.97645,49.25299
29,1000,67248.33333,1959.88889,0.80521,1000,788.53023,0.682,0.0,0.18808,0.12992,496.0,1.0,0.23414,0.76586,0.0,1.0,0,0,5,496,241.10582,0.87129,62.44844
30,1000,70121.11111,2872.77778,0.71012,1000,573.75693,0.48903,0.0,0.1842,0.32678,511.0,1.0,0.4709,0.5291,0.0,1.0,0,0,9,511,251.75081,3.10227,49.1957
31,1000,72050.0,1928.88889,0.86039,1000,829.99507,0.68402,0.0,0.22183,0.09415,461.0,1.0,0.2379,0.7621,0.0,1.0,0,0,7,463,316.81547,0.78942,129.46902
32,1000,75013.61111,2963.61111,1.02027,1000,588.61311,0.5112,0.0,0.17205,0.31675,548.0,1.0,0.47024,0.52976,0.0,1.0,0,0,22,548,358.66501,4.01151,56.36201
33,1000,76952.16667,1938.55556,0.7774,1000,816.63449,0.69946,0.0,0.19392,0.10662,495.0,1.0,0.22984,0.77016,0.0,1.0,0,0,0,493,205.32198,0.58642,69.97174
34,1000,79794.55556,2842.38889,0.70551,1000,535.11412,0.49988,0.0,0.14061,0.35951,514.0,1.0,0.46665,0.53335,0.0,1.0,0,0,2,514,240.78234,3.13273,44.30058
35,1000,81714.05556,1919.5,0.78232,1000,770.45002,0.68154,0.0,0.16961,0.14884,464.0,1.0,0.23574,0.76426,0.0,1.0,0,0,1,466,183.6601,0.74664,111.9498
36,1000,84638.16667,2924.11111,0.7191,1000,535.69651,0.50836,0.0,0.13294,0.3587,545.0,1.0,0.46548,0.53452,0.0,1.0,0,0,20,543,293.50797,3.7808,47.42912
37,1000,86568.05556,1929.88889,0.80465,1000,712.92646,0.68462,0.0,0.11867,0.19672,479.0,1.0,0.2326,0.7674,0.0,1.0,0,0,0,481,202.65804,1.08355,84.68357
38,1000,89415.94445,2847.88889,0.70337,1000,507.56988,0.4874,0.0,0.12476,0.38784,520.0,1.0,0.46838,0.53162,0.0,1.0,0,0,0,514,244.41709,3.68997,56.85893
39,1000,91367.61111,1951.66667,0.80931,1000,706.20929,0.6454,0.0,0.15338,0.20259,496.0,1.0,0.23399,0.76601,0.0,1.00137,0,0,0,495,233.5763,1.47226,67.19731
40,1000,94224.22222,2856.61111,1.01111,1000,566.16835,0.49792,0.0,0.16803,0.33438,514.0,1.0,0.46685,0.53315,0.0,1.00033,0,0,9,514,248.97355,3.05371,48.14171
41,1000,96157.44445,1933.22222,0.77906,1000,711.71344,0.67446,0.0,0.12211,0.20155,482.0,1.0,0.23392,0.76608,0.0,0.99812,0,0,0,481,198.15523,1.11992,85.66087
42,1000,99021.5,2864.05556,0.7081,1000,573.56337,0.50077,0.0,0.17643,0.3228,513.0,1.0,0.46893,0.53107,0.0,1.0,0,0,4,517,268.85843,3.15572,55.98962
43,1000,100957.05556,1935.55556,0.78236,1000,787.99197,0.75644,0.0,0.1139,0.12967,490.0,1.0,0.2302,0.7698,0.0,1.0,0,0,0,490,214.37126,0.63104,75.9238
