episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,1464.72248,1464.72248,0.93611,748,126.83212,0.34317,0.0,0.14299,0.51385,194.0,0.74641,0.39958,0.34682,0.02867,1.0,0,1,41,149,516.76967,15.86161,83.37095
3,1000,2229.94499,765.2225,1.03571,720,194.03938,0.56412,0.0,0.18254,0.25334,160.0,0.83237,0.23777,0.5946,0.02352,1.0,0,0,32,126,538.60073,4.50543,148.70486
4,1000,3967.38973,1737.44474,1.08674,703,131.32855,0.33764,0.0,0.15347,0.5089,225.0,0.80501,0.41248,0.39253,0.02072,1.0,0,2,127,248,764.19593,21.82616,99.13519
5,1000,4720.77892,753.38919,1.18107,696,178.58738,0.61349,0.0,0.11763,0.26888,159.0,0.82479,0.23413,0.59066,0.0292,1.0,0,2,43,125,546.11365,4.81734,162.5869
6,1000,6354.50143,1633.72251,0.97683,707,105.97335,0.33454,0.0,0.11996,0.54551,201.0,0.77281,0.39514,0.37767,0.01959,1.0,0,1,125,226,770.25745,22.16664,103.96146
7,1000,7065.00176,710.50033,1.10455,672,162.81612,0.53305,0.0,0.18086,0.28609,132.0,0.81742,0.2291,0.58832,0.02815,1.0,0,2,44,120,593.27303,5.73071,160.53612
8,1000,8729.00209,1664.00033,1.05658,666,142.62491,0.36645,0.0,0.21662,0.41693,215.0,0.78716,0.40314,0.38401,0.02404,1.0,0,4,147,231,853.37991,17.04859,110.12178
9,1000,9516.61349,787.6114,1.20478,712,194.90231,0.60235,0.0,0.15128,0.24637,168.0,0.82958,0.2303,0.59928,0.02793,1.0,0,1,46,142,595.05078,4.11915,154.36787
10,1000,11242.61376,1726.00027,1.0377,724,123.09638,0.32769,0.0,0.17125,0.50105,199.0,0.77327,0.39494,0.37833,0.02781,1.0,0,2,143,237,826.01202,22.04291,98.42699
11,1000,12046.94739,804.33363,1.02603,701,199.47683,0.58986,0.0,0.20764,0.20251,155.0,0.81019,0.22586,0.58433,0.05719,1.0,0,1,49,141,555.6296,3.47889,143.25341
12,1000,13678.9477,1632.00031,1.07177,684,140.69005,0.36153,0.0,0.21724,0.42123,213.0,0.78574,0.40339,0.38235,0.01716,1.0,0,3,130,225,815.32279,16.79733,94.26517
13,1000,14385.94802,707.00031,1.08345,688,147.07717,0.48445,0.0,0.1967,0.31885,134.0,0.79577,0.22434,0.57143,0.0396,1.0,0,0,42,116,561.71756,6.92851,148.18445
14,1000,15959.89276,1573.94475,0.97776,694,140.22809,0.38032,0.0,0.22606,0.39361,204.0,0.76072,0.38968,0.37104,0.02414,1.0,0,2,116,211,823.58342,14.97624,101.02405
15,1000,16726.44863,766.55586,1.0936,691,152.27134,0.52823,0.0,0.14263,0.3307,152.0,0.79425,0.21634,0.57791,0.06262,1.00156,0,3,42,140,533.04974,6.18162,122.92613
16,1000,18322.94894,1596.50031,0.94342,688,140.9593,0.34151,0.0,0.22932,0.42841,204.0,0.78818,0.41236,0.37582,0.01503,0.99925,0,3,111,202,760.94688,18.35249,115.4489
17,1000,19071.56036,748.61142,1.22448,692,163.14003,0.56272,0.0,0.14712,0.29017,151.0,0.82263,0.2282,0.59443,0.02672,1.0,0,1,46,135,581.13741,5.33679,156.4051
18,1000,20863.1162,1791.55585,1.04241,706,137.731,0.34967,0.0,0.16287,0.48746,222.0,0.8052,0.41336,0.39184,0.02456,1.0,0,1,143,253,792.59105,19.5296,100.66035
19,1000,21623.56095,760.44475,1.19769,697,173.40781,0.57454,0.0,0.11913,0.30633,159.0,0.8297,0.23269,0.59702,0.02893,1.0,0,0,39,131,579.76558,5.82858,160.09017
20,1000,23377.17234,1753.61138,1.20271,726,124.19278,0.36936,0.0,0.10419,0.52645,226.0,0.79084,0.40821,0.38264,0.01939,1.0,0,1,135,240,778.78199,20.55826,111.67094
21,1000,24125.89487,748.72253,1.20566,684,133.87109,0.51105,0.0,0.10392,0.38503,141.0,0.80129,0.22297,0.57832,0.04808,1.0,0,5,49,130,584.32485,7.13229,154.13461
