episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
1,1000,958.16731,958.16731,18.11555,285,93.67635,0.31501,0.0,0.11072,0.57426,206.0,0.85806,0.49487,0.36319,0.14194,1.0,0,68,0,63,180.49254,6.56027,139.16949
2,1000,2897.1679,1939.00058,24.15865,377,114.51144,0.22703,0.0,0.16093,0.61204,266.0,0.95255,0.49768,0.45487,0.04745,1.0,0,46,210,301,809.63972,38.04499,140.23725
3,1000,5026.66844,2129.50055,21.0716,433,127.69165,0.23189,0.0,0.16192,0.60619,334.0,0.9784,0.51303,0.46537,0.0216,1.0,0,23,228,334,839.22402,40.28012,136.60221
4,1000,6910.83569,1884.16725,18.63316,381,110.75725,0.2145,0.0,0.17262,0.61288,273.0,0.94905,0.49845,0.4506,0.05095,1.0,0,48,191,285,833.43644,48.88869,131.03588
5,1000,8685.6696,1774.83391,18.53275,372,122.90061,0.24878,0.0,0.18093,0.57028,268.0,0.94028,0.49629,0.44399,0.05972,1.0,0,53,164,258,798.17509,31.01521,142.79578
6,1000,10569.50351,1883.83391,18.12345,398,126.72087,0.25849,0.0,0.16059,0.58092,292.0,0.9639,0.50739,0.45652,0.0361,1.0,0,34,183,285,806.05927,30.229,147.22984
7,1000,12474.50408,1905.00057,19.0579,399,98.2479,0.23116,0.0,0.0953,0.67354,282.0,0.95591,0.50131,0.45459,0.04409,1.0,0,42,186,292,798.81763,41.63936,138.39213
8,1000,14335.83799,1861.33391,19.02431,385,120.19421,0.22455,0.0,0.18902,0.58643,280.0,0.9538,0.49875,0.45505,0.0462,1.0,0,43,181,287,785.41081,36.45672,126.61629
9,1000,16101.83859,1766.00059,22.07895,369,106.86955,0.23569,0.0,0.15591,0.6084,260.0,0.94337,0.49547,0.4479,0.05663,1.0,0,50,170,264,769.68062,37.21706,124.50988
10,1000,17915.83917,1814.00059,19.67475,371,107.53808,0.22173,0.0,0.16185,0.61642,277.0,0.94928,0.4989,0.45039,0.05072,1.0,0,46,178,272,780.11686,39.07514,125.85722
