episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,2969.5,2969.5,0.92469,1010,305.06222,0.25858,0.0,0.13814,0.60462,498.0,1.0,0.49419,0.50581,0.0,1.00135,0,0,0,492,153.71656,6.84743,36.54442
3,1000,5894.83333,2925.33333,0.93214,1000,331.86799,0.24651,0.0,0.17939,0.57273,503.0,1.0,0.48655,0.51345,0.0,0.99863,0,0,2,500,153.48335,7.07526,37.37609
4,1000,8821.5,2926.66667,0.83794,1000,366.44656,0.25945,0.0,0.20637,0.53419,502.0,1.0,0.48576,0.51424,0.0,1.0,0,0,2,503,163.61134,6.32779,34.92465
5,1000,11748.33333,2926.83333,0.83595,1000,315.17765,0.28127,0.0,0.12731,0.59141,504.0,1.0,0.48716,0.51284,0.0,1.0,0,0,0,501,149.50572,5.47332,32.84507
6,1000,14671.16667,2922.83333,0.94349,1000,347.46626,0.27238,0.0,0.17426,0.55336,494.0,1.0,0.48612,0.51388,0.0,1.0,0,0,1,501,148.8618,5.44904,31.93472
7,1000,17592.16667,2921.0,0.83458,1000,347.01056,0.26317,0.0,0.18267,0.55416,497.0,1.0,0.48785,0.51215,0.0,1.0,0,0,1,495,158.0582,6.20765,41.30233
8,1000,20519.83333,2927.66667,0.8421,1000,348.81444,0.26544,0.0,0.18307,0.55149,506.0,1.0,0.4856,0.5144,0.0,1.0,0,0,1,505,156.63901,6.01368,33.51808
9,1000,23457.5,2937.66667,0.84271,1000,309.56472,0.26202,0.0,0.14134,0.59665,500.0,1.0,0.48905,0.51095,0.0,1.0,0,0,2,499,142.53188,6.01664,36.70783
10,1000,26390.66667,2933.16667,1.01274,1000,377.62311,0.28919,0.0,0.19095,0.521,504.0,1.0,0.48895,0.51105,0.0,1.00114,0,0,0,499,159.67657,4.87819,39.12872
11,1000,29327.5,2936.83333,0.83852,1000,350.66577,0.26348,0.0,0.18515,0.55023,502.0,1.0,0.4855,0.5145,0.0,0.99886,0,0,5,506,166.59389,6.3529,32.48752
12,1000,32264.16667,2936.66667,0.82643,1000,297.2444,0.24192,0.0,0.1462,0.61188,493.0,1.0,0.48922,0.51078,0.0,1.0,0,0,2,498,141.17958,7.26867,37.59195
13,1000,35211.0,2946.83333,0.83571,1000,305.73536,0.26794,0.0,0.12951,0.60255,504.0,1.0,0.49064,0.50936,0.0,1.0,0,0,0,501,145.71733,6.02189,35.95103
14,1000,38144.83333,2933.83333,0.83797,1000,336.00758,0.25982,0.0,0.17355,0.56663,504.0,1.0,0.4877,0.5123,0.0,1.0,0,0,2,501,155.25382,6.34905,36.13439
15,1000,41116.33333,2971.5,1.04368,1000,364.40284,0.25238,0.0,0.2104,0.53722,500.0,1.0,0.49049,0.50951,0.0,1.0,0,0,11,503,186.55828,7.5363,40.95228
16,1000,44056.16667,2939.83333,0.83368,1000,341.77507,0.26148,0.0,0.17741,0.5611,506.0,1.0,0.48671,0.51329,0.0,1.0,0,0,2,507,157.22831,6.37841,29.4993
17,1000,46981.83333,2925.66667,0.84502,1000,365.64102,0.26983,0.0,0.20189,0.53463,500.0,1.0,0.48764,0.51236,0.0,1.00635,0,0,3,496,156.46916,5.71644,39.92336
18,1000,49919.83333,2938.0,0.84409,1000,340.14964,0.25761,0.0,0.17363,0.56244,502.0,1.0,0.48673,0.51327,0.0,0.99367,0,0,2,506,157.074,6.39882,30.36655
19,1000,52843.33333,2923.5,0.83967,1000,342.25429,0.25332,0.0,0.18609,0.56064,496.0,1.0,0.48657,0.51343,0.0,1.00005,0,0,2,499,155.1903,6.559,34.10663
20,1000,55769.83333,2926.5,0.82858,1000,350.69016,0.26935,0.0,0.18149,0.5491,501.0,1.0,0.48778,0.51222,0.0,0.99995,0,0,1,498,159.57075,5.95302,38.90867
