episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,1026.00064,1026.00064,2.75073,312,114.44477,0.31663,0.0,0.15209,0.53128,207.0,0.88499,0.50682,0.37817,0.11501,1.0,0,59,0,76,188.65199,5.93614,137.82018
3,1000,2964.16788,1938.16724,3.93181,395,120.9034,0.21962,0.0,0.18243,0.59795,285.0,0.95666,0.50004,0.45662,0.04334,1.0,0,42,195,303,807.50648,42.32434,139.35908
4,1000,4888.50178,1924.3339,3.75612,405,116.54064,0.22717,0.0,0.15268,0.62014,280.0,0.96362,0.5032,0.46042,0.03638,1.0,0,35,184,303,733.79574,35.27286,120.83593
5,1000,6684.00236,1795.50058,3.75163,387,101.4502,0.24351,0.0,0.11011,0.64637,281.0,0.95544,0.50265,0.4528,0.04456,1.0,0,40,163,271,737.20964,34.99973,122.5055
6,1000,8489.50294,1805.50058,3.78937,375,101.44269,0.22369,0.0,0.13667,0.63964,265.0,0.95015,0.49986,0.45029,0.04985,1.0,0,45,168,270,769.88465,41.4232,125.733
7,1000,10173.83689,1684.33395,3.78277,340,97.24479,0.24506,0.0,0.14223,0.6127,244.0,0.93825,0.49179,0.44647,0.06175,1.0,0,52,168,253,774.82492,33.68547,119.45909
8,1000,11954.83747,1781.00058,4.41924,388,109.48263,0.23715,0.0,0.14177,0.62108,284.0,0.95171,0.50253,0.44919,0.04829,1.0,0,43,160,260,778.32185,35.17651,137.64136
9,1000,13917.67135,1962.83389,5.35497,421,130.33813,0.2277,0.0,0.18163,0.59068,293.0,0.96536,0.50734,0.45801,0.03464,1.0,0,34,187,300,790.99625,37.40407,137.10192
10,1000,15900.83857,1983.16721,5.28532,422,133.44059,0.22331,0.0,0.19085,0.58583,302.0,0.95563,0.50382,0.4518,0.04437,1.0,0,44,191,295,785.2445,37.92313,146.55026
11,1000,17709.50582,1808.66725,4.37257,375,117.30592,0.21359,0.0,0.2045,0.5819,267.0,0.94471,0.49576,0.44895,0.05529,1.0,0,50,173,273,783.51031,44.63411,140.25057
12,1000,19851.00634,2141.50053,5.29863,452,124.30618,0.23828,0.0,0.12547,0.63626,338.0,0.97759,0.51249,0.46509,0.02241,1.0,0,24,210,336,797.27881,39.4233,130.4408
13,1000,22097.84019,2246.83385,4.9285,466,150.16085,0.23479,0.0,0.19284,0.57237,332.0,0.97597,0.5122,0.46376,0.02403,1.0,0,27,233,349,826.49448,34.86119,125.83204
14,1000,24187.00738,2089.1672,6.34157,448,123.61729,0.24409,0.0,0.13276,0.62557,322.0,0.96649,0.50937,0.45712,0.03351,1.00242,0,35,205,314,796.85552,37.46001,137.47739
15,1000,26392.84124,2205.83385,5.3627,458,156.31216,0.24149,0.0,0.19614,0.56126,339.0,0.97643,0.51266,0.46377,0.02357,0.99888,0,26,224,344,812.67535,32.50836,129.65433
