episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,988.00065,988.00065,2.65453,296,116.60706,0.34141,0.0,0.14577,0.51472,204.0,0.86235,0.49595,0.3664,0.13765,1.00189,0,68,0,66,200.77994,5.1376,148.70049
3,1000,2789.33459,1801.33394,2.25738,342,125.81588,0.20193,0.0,0.23087,0.56615,259.0,0.93671,0.4876,0.44911,0.06329,0.99896,0,57,193,282,832.96755,43.73665,131.44187
4,1000,4554.50185,1765.16726,2.55559,366,93.43453,0.21119,0.0,0.1379,0.65091,260.0,0.94788,0.49806,0.44982,0.05212,1.0,0,46,171,266,788.69233,49.49154,130.02459
5,1000,6421.50244,1867.00058,2.51467,384,107.82899,0.22261,0.0,0.14952,0.62787,267.0,0.96036,0.50348,0.45688,0.03964,1.0,0,37,188,287,799.17831,39.97037,125.70829
6,1000,8199.50303,1778.00059,2.53379,368,96.85915,0.25815,0.0,0.10143,0.64042,289.0,0.94601,0.49775,0.44826,0.05399,1.0,0,48,175,263,786.6188,35.63641,132.5073
7,1000,9966.50364,1767.0006,2.48145,363,110.76721,0.21335,0.0,0.19844,0.58888,249.0,0.9468,0.49519,0.45161,0.0532,1.00068,0,47,178,271,821.99284,41.61618,119.73908
8,1000,12035.67084,2069.16721,2.64142,433,112.79829,0.21689,0.0,0.12613,0.65641,326.0,0.97197,0.51188,0.46009,0.02803,0.99942,0,29,206,316,810.53849,45.89442,124.00709
9,1000,13921.17141,1885.50057,2.46863,396,117.95935,0.23554,0.0,0.15892,0.60554,284.0,0.95969,0.50517,0.45452,0.04031,1.0,0,38,183,284,786.21506,39.14652,127.02015
10,1000,15821.83864,1900.66723,2.64644,409,105.90538,0.248,0.0,0.10238,0.64962,292.0,0.96107,0.50596,0.4551,0.03893,1.0,0,37,175,287,779.23562,35.13944,130.62358
11,1000,17530.00591,1708.16727,2.36078,350,95.63212,0.2052,0.0,0.16618,0.62863,235.0,0.93912,0.49127,0.44785,0.06088,1.0,0,52,163,259,802.66293,46.38306,119.42401
