episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,954.66732,954.66732,5.67533,278,107.62296,0.31946,0.0,0.17568,0.51749,199.0,0.82821,0.48359,0.34462,0.17179,1.01263,0,82,0,51,219.47523,8.35384,153.69005
3,1000,2769.83459,1815.16727,13.45862,350,123.2983,0.21081,0.0,0.18104,0.60251,245.0,0.9394,0.48985,0.44955,0.0606,0.99436,0,55,193,280,821.80803,43.20457,146.1582
4,1000,4450.00187,1680.16728,12.60637,341,108.28171,0.23316,0.0,0.19164,0.57412,246.0,0.93572,0.48755,0.44817,0.06428,0.99892,0,54,163,261,793.69191,33.65182,129.65274
5,1000,6265.66912,1815.66725,12.04101,386,131.03246,0.24132,0.0,0.20315,0.55553,272.0,0.95924,0.50486,0.45438,0.04076,1.0,0,37,172,274,735.13452,29.59897,132.24032
6,1000,8284.16967,2018.50055,13.66048,423,142.04236,0.27193,0.0,0.16642,0.56165,313.0,0.96235,0.50656,0.45578,0.03765,1.0,0,38,200,305,797.14585,25.66731,138.66917
7,1000,10659.83682,2375.66716,12.80221,496,141.25684,0.22666,0.0,0.14778,0.62556,368.0,0.98485,0.51635,0.4685,0.01515,1.0,0,18,245,376,800.04708,41.17487,126.11582
8,1000,12677.00403,2017.1672,12.8602,441,124.39911,0.23542,0.0,0.14155,0.62303,319.0,0.97323,0.51268,0.46055,0.02677,1.0,0,27,186,308,793.45248,40.12263,130.3242
9,1000,15079.17117,2402.16714,12.69647,519,170.51605,0.2368,0.0,0.19268,0.57052,372.0,0.98834,0.52002,0.46833,0.01166,1.0,0,14,238,372,819.43858,36.5903,139.0006
10,1000,17281.00501,2201.83384,12.28625,482,149.75997,0.22349,0.0,0.18305,0.59346,340.0,0.98365,0.51813,0.46552,0.01635,1.0,0,18,212,338,798.04319,41.16375,147.71787
11,1000,19570.67217,2289.66716,13.05574,489,149.91846,0.24083,0.0,0.1592,0.59997,362.0,0.98253,0.5139,0.46863,0.01747,1.0,0,20,223,364,817.55353,36.46342,131.58718
12,1000,21801.83933,2231.16716,21.72384,486,123.63461,0.21155,0.0,0.12701,0.66144,337.0,0.98297,0.51505,0.46792,0.01703,1.0,0,19,208,352,780.49175,48.6759,120.00053
13,1000,24065.83982,2264.00049,24.70312,489,149.99028,0.2467,0.0,0.15694,0.59636,356.0,0.98145,0.51678,0.46466,0.01855,1.0,0,21,218,348,779.28068,33.34429,127.23075
14,1000,26420.50695,2354.66712,18.21139,526,155.69959,0.22495,0.0,0.16668,0.60836,358.0,0.98216,0.5167,0.46546,0.01784,1.0,0,21,208,364,746.2557,38.84926,130.35005
15,1000,28745.84075,2325.33381,20.32696,511,159.43391,0.22917,0.0,0.17794,0.59289,374.0,0.98366,0.51749,0.46617,0.01634,1.0,0,19,217,359,782.26391,37.49247,137.78565
16,1000,30779.34127,2033.50052,17.23451,455,145.34538,0.24216,0.0,0.1739,0.58394,301.0,0.97148,0.5102,0.46127,0.02852,1.0,0,29,173,313,732.33458,32.18614,135.79055
17,1000,33003.50843,2224.16716,19.68593,485,166.50451,0.219,0.0,0.22153,0.55947,350.0,0.97932,0.51442,0.46489,0.02068,1.0,0,23,210,344,788.4998,37.76304,138.78478
18,1000,35412.84223,2409.33379,20.18916,524,162.52795,0.25265,0.0,0.15257,0.59478,389.0,0.98257,0.51605,0.46652,0.01743,1.0,0,21,228,375,753.23088,33.16994,137.22651
19,1000,37734.17603,2321.33381,19.25917,514,141.8152,0.22763,0.0,0.1447,0.62768,356.0,0.98535,0.51623,0.46913,0.01465,1.0,0,17,216,365,797.7638,41.7909,132.11112
20,1000,40036.67652,2302.50049,17.74479,497,162.42251,0.22081,0.0,0.20869,0.57051,348.0,0.98002,0.51574,0.46428,0.01998,1.0,0,23,224,355,817.80822,38.40829,135.95666
21,1000,42300.17701,2263.50048,17.61584,502,143.10391,0.22964,0.0,0.14715,0.62321,343.0,0.98056,0.51138,0.46918,0.01944,1.0,0,22,203,365,756.06594,37.9705,104.04044
22,1000,44664.51078,2364.33377,21.38833,549,158.524,0.22935,0.0,0.14603,0.62463,367.0,0.98985,0.52164,0.46821,0.01015,1.0,0,12,196,362,724.82176,39.52205,123.93234
23,1000,46916.3446,2251.83382,16.64875,494,167.21371,0.24606,0.0,0.19289,0.56105,369.0,0.98312,0.51773,0.4654,0.01688,1.0,0,19,209,346,808.12852,33.68479,134.13036
24,1000,49072.01177,2155.66717,21.14113,480,131.234,0.24205,0.0,0.12453,0.63342,337.0,0.97681,0.51338,0.46343,0.02319,1.0,0,25,191,333,742.34816,34.29751,133.65035
25,1000,51369.51227,2297.5005,16.82363,481,139.14547,0.23221,0.0,0.15244,0.61535,334.0,0.98085,0.51251,0.46834,0.01915,1.0,0,22,231,369,792.08654,37.48166,104.12596
26,1000,53565.84609,2196.33382,17.40554,495,146.88011,0.25185,0.0,0.13566,0.61249,353.0,0.97906,0.51829,0.46077,0.02094,1.0,0,23,193,328,779.75531,35.01531,131.06017
27,1000,55628.17995,2062.33386,19.35785,450,158.33137,0.23389,0.0,0.21439,0.55172,304.0,0.97091,0.51075,0.46016,0.02909,1.0,0,30,191,315,730.37936,29.84193,134.40762
28,1000,57997.51376,2369.33381,20.05119,510,155.44052,0.24071,0.0,0.15967,0.59962,390.0,0.98649,0.52054,0.46595,0.01351,1.0,0,16,234,362,797.46745,36.25905,152.30844
29,1000,60193.51426,2196.00051,16.24429,469,148.33398,0.22254,0.0,0.18841,0.58905,317.0,0.9745,0.50774,0.46676,0.0255,1.0,0,28,207,352,772.47654,38.40769,122.22912
30,1000,62379.01477,2185.50051,13.08446,478,155.40891,0.244,0.0,0.18523,0.57077,348.0,0.97987,0.5159,0.46397,0.02013,1.0,0,22,206,335,769.59113,33.23386,130.86229
31,1000,64666.51525,2287.50048,18.46928,502,147.10277,0.22397,0.0,0.16275,0.61328,357.0,0.97989,0.51257,0.46732,0.02011,1.0,0,23,209,362,714.54169,36.72547,114.27548
32,1000,67049.68235,2383.16711,21.31653,545,177.59996,0.24294,0.0,0.18087,0.57618,374.0,0.98489,0.51997,0.46493,0.01511,1.0,0,18,206,361,726.95742,32.28033,138.40362
33,1000,69219.18286,2169.50051,13.76536,470,155.27521,0.23378,0.0,0.19515,0.57107,330.0,0.97603,0.51049,0.46554,0.02397,1.0,0,26,202,343,735.50426,32.94252,120.15327
34,1000,71657.84998,2438.66711,19.23124,543,186.6485,0.24639,0.0,0.19775,0.55586,383.0,0.98688,0.52146,0.46542,0.01312,1.0,0,16,227,369,784.16375,31.3064,147.43933
35,1000,74227.35039,2569.50042,17.37492,573,166.27827,0.24265,0.0,0.13954,0.6178,404.0,0.99066,0.51858,0.47208,0.00934,1.0,0,12,232,411,768.6645,35.29482,128.01827
36,1000,76857.35081,2630.00042,19.06745,572,182.2382,0.23465,0.0,0.17866,0.58669,397.0,0.9924,0.52091,0.47148,0.0076,1.0,0,10,255,415,775.4523,35.90671,123.1903
37,1000,79206.1846,2348.83379,16.26621,529,181.22329,0.25555,0.0,0.17871,0.56574,394.0,0.98212,0.51976,0.46236,0.01788,1.0,0,21,206,353,762.72152,29.38599,149.40154
