episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,905.48184,905.48184,1.41965,178,147.84032,0.67144,0.0,0.23327,0.09529,79.0,0.60557,0.32395,0.28162,0.39443,1.0,0,118,0,77,196.6752,0.47551,32.55858
3,1000,1740.9805,835.49866,1.60261,175,150.30224,0.79662,0.0,0.12472,0.07866,81.0,0.65629,0.3451,0.31119,0.3437,1.0,0,123,3,82,324.51076,0.5258,41.50167
4,1000,2545.55732,804.57682,1.24266,143,113.35248,0.54592,0.0,0.28082,0.17326,69.0,0.56324,0.29726,0.26598,0.43676,1.0,0,135,2,69,320.5649,1.93186,45.1711
5,1000,3313.21388,767.65657,1.4769,96,74.27429,0.50501,0.0,0.3454,0.14958,61.0,0.41772,0.2106,0.20712,0.58228,1.0,0,150,3,61,363.1193,2.13817,27.95704
6,1000,4231.20007,917.98619,1.47205,191,156.60827,0.74233,0.0,0.07832,0.17936,90.0,0.64707,0.34314,0.30393,0.35293,1.0,0,111,2,87,328.22442,1.34334,41.88858
7,1000,5176.37962,945.17955,1.59667,220,202.61395,0.79068,0.0,0.18457,0.02474,105.0,0.7279,0.38088,0.34702,0.2721,1.0,0,97,0,108,271.29758,0.15284,47.6325
8,1000,5983.28555,806.90594,1.19876,135,96.11936,0.63881,0.0,0.16847,0.19272,78.0,0.55541,0.28401,0.27141,0.44459,1.0,0,136,7,79,428.56588,2.46514,30.67689
9,1000,6819.72322,836.43766,1.74594,195,180.09567,0.76535,0.0,0.22072,0.01394,91.0,0.7253,0.38457,0.34073,0.2747,1.0,0,106,0,90,288.35043,0.09504,45.05647
10,1000,7711.51393,891.79071,1.4985,218,204.11098,0.80011,0.0,0.19988,0.0001,109.0,0.77279,0.40275,0.37004,0.22721,1.0001,0,95,6,108,372.56483,0.00092,50.84023
11,1000,8472.6129,761.09898,1.87261,142,133.82656,0.81475,0.0,0.18513,0.0,72.0,0.58884,0.30767,0.28117,0.41116,0.99988,0,128,0,72,369.20719,0.0,48.93622
12,1000,9433.64025,961.02735,1.78661,240,201.33415,0.795,0.0,0.12084,0.08416,121.0,0.78874,0.41102,0.37772,0.21126,1.0,0,99,1,122,306.39978,0.63973,45.28099
13,1000,10267.67327,834.03302,1.31429,123,104.50241,0.66245,0.0,0.26625,0.10089,73.0,0.4786,0.24479,0.2338,0.5214,1.02959,0,133,0,72,279.14329,0.70145,25.86173
14,1000,11113.93376,846.26049,1.41823,139,99.63466,0.46401,0.0,0.30015,0.20667,67.0,0.5351,0.28459,0.25051,0.4649,0.97084,0,128,10,64,433.2085,3.57577,44.14207
15,1000,11869.43705,755.50329,1.55677,157,146.85719,0.78014,0.0,0.21628,0.00358,80.0,0.66755,0.34855,0.31899,0.33245,1.0,0,121,2,82,334.98032,0.02737,40.44071
16,1000,12797.63249,928.19544,1.67384,188,161.38929,0.72791,0.0,0.19704,0.07506,91.0,0.64157,0.33667,0.30489,0.35843,1.0,0,104,4,93,339.20204,0.63693,43.78767
17,1000,13611.81381,814.18132,1.77745,179,166.43366,0.77654,0.0,0.21253,0.01093,93.0,0.69722,0.36437,0.33285,0.30278,1.0,0,115,1,91,341.16146,0.08802,41.94906
18,1000,14596.95901,985.1452,1.47819,250,217.40317,0.81317,0.0,0.13033,0.0565,131.0,0.80259,0.41787,0.38471,0.19741,1.0,0,90,0,129,260.80853,0.36924,34.32421
19,1000,15444.00391,847.0449,1.3485,131,95.42333,0.59144,0.0,0.23543,0.17313,64.0,0.49309,0.25579,0.2373,0.50691,1.0,0,131,3,68,290.16538,1.47412,31.0102
