episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,2531.83333,2531.83333,0.43219,1010,453.60714,0.36292,0.0,0.12623,0.51085,124.0,0.31196,0.16622,0.14574,0.68804,1.0,0,0,115,115,1013.73297,23.87611,39.84377
3,1000,5010.16667,2478.33333,0.38783,1000,409.71657,0.31182,0.0,0.15283,0.53535,116.0,0.29469,0.15669,0.138,0.70531,1.0,0,0,108,108,1006.71682,34.84378,47.26794
4,1000,7412.66667,2402.5,0.36733,1000,368.15166,0.36668,0.0,0.08111,0.55221,114.0,0.25661,0.13632,0.12029,0.74339,1.0,0,0,91,91,1004.03218,23.62939,58.82769
5,1000,10038.0,2625.33333,0.46415,1000,538.03478,0.48175,0.0,0.17621,0.34204,159.0,0.34713,0.1822,0.16493,0.65287,1.0,0,0,145,145,1002.86533,11.36978,61.40575
6,1000,12537.0,2499.0,0.42336,1000,337.06181,0.28129,0.0,0.1738,0.5449,112.0,0.28772,0.15006,0.13766,0.71228,1.0,0,0,117,117,1004.10492,34.82132,54.30281
7,1000,15246.66667,2709.66667,0.4224,1000,394.94257,0.3751,0.0,0.09346,0.53144,142.0,0.38221,0.1999,0.18231,0.61779,1.0,0,0,166,165,1005.46387,26.39917,52.83028
8,1000,17744.66667,2498.0,0.41511,1000,578.61718,0.39266,0.0,0.27745,0.32989,137.0,0.30184,0.16013,0.14171,0.69816,1.0,0,0,113,113,1006.73736,14.84145,66.72506
9,1000,20487.16667,2742.5,0.4681,1000,566.32566,0.45605,0.0,0.22423,0.31971,164.0,0.38523,0.19964,0.1856,0.61477,1.0,0,0,176,176,1004.06681,11.29819,50.83987
10,1000,23029.33333,2542.16667,0.41518,1000,417.47196,0.36412,0.0,0.15008,0.4858,122.0,0.31948,0.16882,0.15066,0.68052,1.0,0,0,124,124,1002.95005,23.12064,59.39782
11,1000,25506.16667,2476.83333,0.40414,1000,398.055,0.34573,0.0,0.12513,0.52914,125.0,0.28215,0.1477,0.13445,0.71785,1.0,0,0,111,111,1003.80852,27.52045,59.38639
12,1000,28081.83333,2575.66667,0.39097,1000,518.31327,0.33919,0.0,0.27408,0.38673,118.0,0.33066,0.17342,0.15724,0.66934,1.0,0,0,134,133,1037.86715,20.13921,64.70941
13,1000,30650.16667,2568.33333,0.40342,1000,462.92282,0.34572,0.0,0.19896,0.45532,124.0,0.3194,0.16677,0.15263,0.6806,1.0,0,0,133,133,1006.55301,23.77608,58.61593
14,1000,33240.33333,2590.16667,0.43731,1000,415.6202,0.35084,0.0,0.13042,0.51874,150.0,0.34058,0.1792,0.16138,0.65942,1.0,0,0,136,136,1004.14194,31.44453,68.12536
15,1000,35871.16667,2630.83333,0.45889,1000,450.42108,0.38474,0.0,0.15688,0.45838,151.0,0.34469,0.17897,0.16573,0.65531,1.0,0,0,149,149,1002.96894,21.58811,58.28685
16,1000,38547.0,2675.83333,0.46897,1000,503.25985,0.39414,0.0,0.19659,0.40928,155.0,0.36917,0.19277,0.17639,0.63083,1.0,0,0,158,158,1003.32098,19.1841,56.48678
17,1000,41091.33333,2544.33333,0.42521,1000,485.85359,0.38719,0.0,0.19924,0.41356,139.0,0.31691,0.16638,0.15053,0.68309,1.0,0,0,126,126,1005.59215,19.46931,60.79661
18,1000,43814.33333,2723.0,0.58856,1000,461.82574,0.38716,0.0,0.18114,0.4317,156.0,0.39258,0.20566,0.18693,0.60742,1.0,0,0,168,168,1006.27381,21.2477,65.52189
19,1000,46358.33333,2544.0,0.44351,1000,463.01221,0.40755,0.0,0.17767,0.41478,140.0,0.30975,0.16116,0.14858,0.69025,1.0,0,0,128,128,1002.68041,16.09922,60.02116
20,1000,48958.0,2599.66667,0.43461,1000,429.07719,0.37015,0.0,0.13461,0.49524,135.0,0.33838,0.17759,0.16079,0.66162,1.0,0,0,139,139,1010.13901,23.69446,60.83324
21,1000,51538.83333,2580.83333,0.4237,1000,526.82454,0.4045,0.0,0.23408,0.36141,139.0,0.33355,0.17469,0.15886,0.66645,1.0,0,0,135,135,1010.82015,16.69887,65.58694
22,1000,54266.33333,2727.5,0.46214,1000,515.36996,0.405,0.0,0.22696,0.36804,163.0,0.38552,0.20073,0.18478,0.61448,1.0,0,0,171,171,1005.53594,15.60775,57.25038
