episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,6265.67951,6265.67951,0.40634,1010,728.53588,0.532,0.0,0.14649,0.32151,502.0,0.51208,0.26853,0.24355,0.48792,1.0,0,0,14,502,232.75424,2.71408,24.71018
3,1000,10895.53854,4629.85903,0.39332,1000,881.54744,0.73437,0.0,0.20032,0.06531,493.0,0.68281,0.35818,0.32463,0.31719,1.0,0,0,11,492,299.48641,0.49313,48.39773
4,1000,15303.7411,4408.20256,0.47712,1000,831.20318,0.74711,0.0,0.14834,0.10455,508.0,0.71749,0.37449,0.343,0.28251,1.0,0,0,3,509,251.85529,0.68936,36.50063
5,1000,19501.76526,4198.02417,0.39152,1000,922.43568,0.79398,0.0,0.18545,0.02058,501.0,0.7546,0.39443,0.36017,0.2454,1.0,0,0,11,501,307.06217,0.15313,45.60067
6,1000,24101.70798,4599.94272,0.38768,1000,836.4113,0.74822,0.0,0.13382,0.11796,513.0,0.69515,0.36341,0.33174,0.30485,1.0,0,0,13,513,297.97487,0.88847,33.81465
7,1000,28834.0775,4732.36952,0.39028,1000,875.26644,0.73513,0.0,0.1602,0.10467,504.0,0.67278,0.35201,0.32077,0.32722,1.0,0,0,15,503,276.19945,0.71985,41.19349
8,1000,32676.45914,3842.38164,0.49533,1000,898.43044,0.87121,0.0,0.0917,0.0371,500.0,0.81876,0.42812,0.39064,0.18124,1.0,0,0,0,501,261.69078,0.21272,40.18934
9,1000,37152.49759,4476.03845,0.38665,1000,885.27839,0.75699,0.0,0.19475,0.04826,498.0,0.70397,0.36863,0.33534,0.29603,1.0,0,0,3,498,300.56982,0.3586,46.21476
10,1000,41902.58684,4750.08925,0.39278,1000,883.75116,0.76104,0.0,0.15759,0.08137,508.0,0.669,0.34964,0.31936,0.331,1.0,0,0,9,508,293.39364,0.55631,39.87609
11,1000,46976.88709,5074.30025,0.39679,1000,884.99491,0.71864,0.0,0.21052,0.07083,500.0,0.62291,0.32533,0.29758,0.37709,1.0,0,0,10,500,335.47098,0.57934,49.06169
12,1000,51625.28799,4648.4009,0.5594,1000,880.90299,0.77671,0.0,0.1706,0.0527,513.0,0.68296,0.35532,0.32764,0.31704,1.0,0,0,10,513,342.8199,0.41655,34.69591
13,1000,57661.5151,6036.22711,0.38217,1000,821.51277,0.5922,0.0,0.17761,0.23019,508.0,0.5332,0.27956,0.25364,0.4668,1.0,0,0,23,508,267.10387,1.87754,39.77953
14,1000,61730.94431,4069.42921,0.38291,1000,882.89151,0.82442,0.0,0.1237,0.05188,504.0,0.77701,0.40669,0.37032,0.22299,1.0,0,0,4,503,283.13643,0.33971,39.15478
15,1000,66746.32178,5015.37747,0.39531,1000,831.79231,0.6903,0.0,0.21827,0.09143,511.0,0.63694,0.33248,0.30446,0.36306,1.0,0,0,16,511,322.1325,0.79937,33.45073
16,1000,71437.03071,4690.70893,0.38716,1000,794.2752,0.73165,0.0,0.12987,0.13848,506.0,0.67737,0.35354,0.32383,0.32263,1.0,0,0,12,507,265.03129,0.9368,31.25117
17,1000,75385.27381,3948.24309,0.56355,1000,902.29011,0.82974,0.0,0.13521,0.03504,499.0,0.80019,0.41875,0.38144,0.19981,1.0,0,0,8,498,268.31164,0.22029,42.89072
18,1000,79356.69243,3971.41863,0.38939,1000,900.53985,0.83249,0.0,0.1346,0.03291,503.0,0.79417,0.41421,0.37996,0.20583,1.0,0,0,6,503,285.33882,0.21692,42.99438
19,1000,83391.3056,4034.61317,0.43501,1000,866.80132,0.79596,0.0,0.13741,0.06663,503.0,0.78066,0.40813,0.37253,0.21934,1.0,0,0,0,503,234.01323,0.3928,36.97535
20,1000,87856.84682,4465.54122,0.39677,1000,898.94536,0.77959,0.0,0.18261,0.0378,500.0,0.70749,0.37024,0.33725,0.29251,1.0,0,0,5,501,295.42282,0.26176,39.99333
21,1000,92444.87112,4588.0243,0.38952,1000,881.35103,0.78232,0.0,0.16364,0.05403,503.0,0.6873,0.35927,0.32803,0.3127,1.0,0,0,2,503,286.74507,0.35166,36.1095
