episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,858.33402,858.33402,1.92705,225,118.4981,0.55238,0.0,0.06361,0.38401,135.0,0.76932,0.42913,0.34019,0.23068,1.0,0,99,0,67,188.70875,2.78682,91.57495
3,1000,1896.00138,1037.66736,1.85209,184,98.73086,0.38855,0.0,0.19904,0.41262,119.0,0.761,0.39672,0.36428,0.239,1.00021,0,124,70,129,697.90103,12.93037,90.44008
4,1000,2845.83545,949.83406,1.82413,142,69.54017,0.34099,0.0,0.2774,0.38138,90.0,0.701,0.3641,0.3369,0.299,0.99977,0,142,79,111,865.53511,17.53517,79.61066
5,1000,3774.00282,928.16737,1.9196,202,121.82375,0.48901,0.0,0.21458,0.29641,122.0,0.78021,0.4139,0.36631,0.21979,1.0,0,102,39,108,529.46281,6.11365,96.05102
6,1000,4790.83685,1016.83404,2.08267,202,104.55024,0.45741,0.0,0.17615,0.36645,131.0,0.80134,0.41878,0.38256,0.19866,1.0,0,101,62,132,676.97294,8.68427,88.12463
7,1000,5754.33757,963.50071,2.41489,192,93.15809,0.44388,0.0,0.16607,0.39005,131.0,0.78827,0.41256,0.37571,0.21173,1.0,0,102,57,120,612.35455,10.03968,89.55124
8,1000,6855.67159,1101.33402,2.37392,217,93.78587,0.41706,0.0,0.1351,0.44783,134.0,0.81295,0.42524,0.38771,0.18705,1.0,0,103,76,142,648.06202,13.56198,90.53409
9,1000,7740.67232,885.00073,2.0123,157,66.99966,0.4218,0.0,0.16134,0.41685,100.0,0.70847,0.36723,0.34124,0.29153,1.0,0,129,58,104,708.28707,10.9379,81.47973
10,1000,8628.67304,888.00072,2.1961,168,54.97746,0.30836,0.0,0.12507,0.56657,103.0,0.72522,0.37725,0.34797,0.27477,1.0,0,122,50,105,622.79151,24.34698,75.52351
11,1000,9480.34044,851.6674,2.02409,158,66.66248,0.37553,0.0,0.17749,0.44698,91.0,0.7135,0.37769,0.33581,0.2865,1.0,0,122,49,92,625.19484,15.09431,83.9565
12,1000,10506.17448,1025.83403,1.91824,215,96.16352,0.42566,0.0,0.13065,0.44369,141.0,0.80894,0.42486,0.38408,0.19106,1.0,0,98,62,129,621.94465,13.72634,91.28013
13,1000,11384.34188,878.1674,2.03264,149,62.75636,0.42224,0.0,0.12748,0.45029,90.0,0.71076,0.36914,0.34162,0.28924,1.0,0,127,56,104,672.14722,12.36405,80.47919
14,1000,12301.84259,917.50071,2.06653,188,86.05303,0.42311,0.0,0.15983,0.41706,120.0,0.76022,0.40054,0.35967,0.23978,1.0,0,110,48,106,641.82592,11.31339,91.66898
15,1000,13379.34328,1077.50069,2.07997,223,107.78218,0.45343,0.0,0.18687,0.3597,139.0,0.80882,0.41995,0.38886,0.19118,1.0,0,103,68,145,616.03307,8.90634,76.53536
16,1000,14117.17737,737.83409,2.02742,116,36.83962,0.30838,0.0,0.14276,0.54887,69.0,0.60425,0.31963,0.28462,0.39575,1.0,0,146,41,67,720.14544,22.9453,84.99851
17,1000,15051.67808,934.50072,2.14815,184,87.69685,0.43602,0.0,0.16818,0.3958,116.0,0.76886,0.40396,0.3649,0.23114,1.0,0,108,53,112,634.7818,10.24317,89.50889
18,1000,16033.51213,981.83405,2.33416,193,84.65221,0.4339,0.0,0.13695,0.42915,125.0,0.78815,0.41334,0.37481,0.21185,1.0,0,104,62,122,667.38596,11.92788,91.93387
19,1000,17014.1795,980.66738,2.55471,196,78.18462,0.42297,0.0,0.10626,0.47078,124.0,0.78382,0.40959,0.37423,0.21618,1.0,0,106,61,123,620.60951,13.08894,89.53982
20,1000,18013.51355,999.33404,2.08759,200,87.48803,0.43981,0.0,0.12325,0.43805,124.0,0.78786,0.41361,0.37425,0.21214,1.00111,0,106,65,124,654.46263,11.61971,91.83516
21,1000,18797.5143,784.00075,2.1,120,45.03411,0.30123,0.0,0.2097,0.48766,72.0,0.63775,0.33163,0.30612,0.36224,0.99859,0,142,47,84,697.92627,21.01348,80.22264
22,1000,19816.68166,1019.16736,1.9262,217,100.63826,0.48793,0.0,0.13506,0.37701,133.0,0.78217,0.41128,0.37089,0.21782,1.0,0,111,59,124,650.08819,9.08985,85.90629
23,1000,20932.51567,1115.83402,2.14937,235,102.30684,0.46447,0.0,0.0904,0.44513,148.0,0.8351,0.43988,0.39522,0.1649,1.0,0,92,73,144,653.25103,10.95373,94.61123
24,1000,21884.51639,952.00072,2.30554,184,70.00891,0.38899,0.0,0.11848,0.49253,108.0,0.77101,0.39916,0.37185,0.22899,1.0,0,109,58,125,603.99372,13.84288,74.62416
25,1000,22671.1838,786.66741,1.99792,137,59.6199,0.41553,0.0,0.18962,0.40574,83.0,0.64915,0.34534,0.30381,0.35085,1.01089,0,138,45,74,752.19805,12.21483,90.88619
26,1000,23547.18454,876.00074,1.89042,149,57.17362,0.40119,0.0,0.12436,0.47313,99.0,0.71233,0.371,0.34132,0.28767,0.99868,0,126,63,103,749.09382,15.66251,81.05054
27,1000,24557.01858,1009.83403,2.36824,213,87.62743,0.41756,0.0,0.10927,0.46583,140.0,0.80591,0.42169,0.38422,0.19409,0.99266,0,98,60,127,601.88912,13.13998,87.91683
28,1000,25295.85267,738.83409,2.2812,120,43.79506,0.35977,0.0,0.16543,0.4748,67.0,0.6129,0.3192,0.29371,0.3871,1.0,0,143,40,75,703.5154,18.39286,80.17962
29,1000,26207.52006,911.66739,2.33514,169,62.90016,0.35076,0.0,0.15108,0.49816,99.0,0.73016,0.38574,0.34442,0.26984,1.0,0,123,57,102,706.17708,16.92433,87.71202
