episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,1511.33392,1511.33392,2.93017,386,123.14804,0.25489,0.0,0.12478,0.62033,277.0,0.95104,0.51831,0.43273,0.04896,1.0,0,37,86,182,624.00714,33.37399,122.2004
3,1000,3370.8345,1859.50058,3.47416,379,146.8384,0.23289,0.0,0.25511,0.512,273.0,0.95483,0.50148,0.45335,0.04517,1.0,0,42,185,283,822.39679,32.83999,118.659
4,1000,5154.33509,1783.50059,3.48224,376,104.95015,0.21339,0.0,0.16965,0.61696,278.0,0.94617,0.50042,0.44575,0.05383,1.0,0,48,170,259,791.28532,42.79088,129.12252
5,1000,7073.16899,1918.8339,3.50739,397,111.46403,0.22146,0.0,0.15006,0.62848,292.0,0.95414,0.50334,0.45079,0.04586,1.0,0,44,190,285,799.85857,45.82988,137.21723
6,1000,9069.50289,1996.3339,3.73639,401,119.51396,0.24012,0.0,0.15499,0.60488,295.0,0.95892,0.50259,0.45634,0.04108,1.0,0,41,207,307,797.86967,36.50699,129.85504
7,1000,11071.83678,2002.33389,3.61073,405,125.53516,0.23574,0.0,0.17101,0.59325,303.0,0.95805,0.50358,0.45447,0.04195,1.0,0,42,207,304,826.27648,36.46862,129.02427
8,1000,13061.17066,1989.33388,3.66067,427,110.73583,0.24475,0.0,0.10273,0.65251,310.0,0.96883,0.50938,0.45945,0.03117,1.0,0,31,191,304,779.73651,35.2206,129.97243
9,1000,15265.00451,2203.83385,3.71278,462,138.68004,0.22432,0.0,0.16575,0.60993,336.0,0.9755,0.51312,0.46238,0.0245,1.0,0,27,222,337,823.19237,42.86324,137.62661
10,1000,17406.83836,2141.83385,3.59628,455,139.57173,0.23302,0.0,0.17062,0.59635,325.0,0.97385,0.51163,0.46222,0.02615,1.0,0,28,207,331,790.38329,37.37073,134.62646
11,1000,19541.00554,2134.16718,3.72339,470,154.9125,0.2395,0.0,0.19105,0.56945,348.0,0.97751,0.51503,0.46248,0.02249,1.0,0,24,194,326,798.96121,34.57823,143.0639
12,1000,21562.17276,2021.16723,3.65425,414,105.82746,0.21504,0.0,0.13284,0.65212,294.0,0.96833,0.50672,0.46161,0.03166,1.0,0,32,208,317,805.44638,47.05532,126.26004
13,1000,23890.17326,2328.0005,3.73999,484,157.45894,0.25106,0.0,0.17868,0.57491,361.0,0.9811,0.51761,0.46349,0.0189,1.00465,0,22,245,353,848.97124,36.77551,145.45832
14,1000,26093.00711,2202.83385,3.79592,457,129.58309,0.24665,0.0,0.12852,0.62298,346.0,0.97367,0.51108,0.46259,0.02633,0.99815,0,29,225,340,819.72272,36.94547,144.55614
15,1000,28377.00763,2284.00052,3.75352,456,132.74985,0.23198,0.0,0.1456,0.61947,359.0,0.97723,0.51226,0.46497,0.02277,0.99704,0,26,250,358,832.53214,37.07423,133.42371
16,1000,30716.84146,2339.83383,3.82377,490,155.91284,0.22926,0.0,0.19389,0.57685,349.0,0.97778,0.51321,0.46456,0.02222,1.0,0,26,244,362,846.472,42.43386,134.35527
17,1000,32937.50864,2220.66718,3.66749,463,155.2476,0.23618,0.0,0.20095,0.56287,357.0,0.97298,0.51186,0.46112,0.02702,1.0,0,30,228,339,826.53483,34.96374,140.80438
18,1000,35204.17582,2266.66718,3.78891,466,152.94621,0.26642,0.0,0.157,0.57658,344.0,0.97971,0.5125,0.46721,0.02029,1.0,0,23,239,359,827.57636,29.46776,123.86223
19,1000,37538.84297,2334.66715,3.81944,488,146.77151,0.24947,0.0,0.14372,0.6068,363.0,0.97944,0.51685,0.46259,0.02056,1.0,0,24,237,355,829.01966,36.01593,138.09022
20,1000,40221.67675,2682.83378,3.77559,544,187.25149,0.23613,0.0,0.20339,0.56047,423.0,0.98882,0.51842,0.4704,0.01118,1.0,0,15,296,424,866.83928,36.72876,128.98766
21,1000,42511.67724,2290.00049,3.59883,489,134.50934,0.23733,0.0,0.12803,0.63464,352.0,0.98166,0.51747,0.46419,0.01834,1.0,0,21,228,350,797.23248,40.06908,140.46027
22,1000,44732.67777,2221.00052,4.01624,455,133.51379,0.2317,0.0,0.15911,0.60918,340.0,0.97389,0.51328,0.4606,0.02611,1.0,0,29,238,337,861.47354,41.18376,152.75637
23,1000,47217.01158,2484.33381,3.72024,499,148.06555,0.21466,0.0,0.17358,0.61176,384.0,0.98229,0.51456,0.46773,0.01771,1.0,0,22,272,393,863.83912,48.50117,136.09212
24,1000,49683.01203,2466.00045,3.77277,539,167.34108,0.25224,0.0,0.15697,0.59079,399.0,0.98783,0.52109,0.46675,0.01217,1.0,0,15,239,377,829.0333,34.48099,155.23062
25,1000,52333.01248,2650.00045,3.87971,535,163.01588,0.21723,0.0,0.17749,0.60528,408.0,0.98792,0.51887,0.46906,0.01208,1.0,0,16,298,414,869.33472,48.36328,156.50192
26,1000,54703.67966,2370.66717,3.9087,472,137.04323,0.24446,0.0,0.13948,0.61606,378.0,0.98228,0.51533,0.46696,0.01772,1.0,0,21,266,370,869.32331,41.67167,153.71299
27,1000,57546.84676,2843.1671,3.91593,559,183.55063,0.22612,0.0,0.19378,0.5801,421.0,0.99156,0.52025,0.47131,0.00844,1.0,0,12,333,451,906.13197,40.99491,141.27635
28,1000,60108.68055,2561.83379,3.93146,529,177.00282,0.23892,0.0,0.19425,0.56683,417.0,0.98517,0.51948,0.46568,0.01483,1.0,0,19,275,394,857.28785,38.0099,151.6879
29,1000,62690.84767,2582.16712,3.82438,533,145.25397,0.23982,0.0,0.11852,0.64165,397.0,0.98761,0.51668,0.47092,0.01239,1.0,0,16,277,412,835.70748,42.49248,132.26026
30,1000,65323.68145,2632.83378,3.87607,541,157.89109,0.24449,0.0,0.13947,0.61604,418.0,0.98557,0.51877,0.4668,0.01443,1.0,0,19,286,406,864.32002,38.24659,143.10783
31,1000,68386.68182,3063.00037,3.92386,619,187.9881,0.23828,0.0,0.15867,0.60305,476.0,0.99543,0.52236,0.47307,0.00457,1.0,0,7,345,485,860.32312,41.38681,137.34762
32,1000,71228.34891,2841.66709,3.96197,571,182.47159,0.25349,0.0,0.16058,0.58593,453.0,0.99437,0.52317,0.4712,0.00563,1.0,0,8,327,443,896.93848,36.20866,147.12928
33,1000,73916.68269,2688.33378,3.93134,543,171.96844,0.23725,0.0,0.17933,0.58342,421.0,0.9881,0.52015,0.46795,0.0119,1.0,0,16,305,416,886.9529,37.81783,156.72963
34,1000,76585.84981,2669.16712,3.89512,531,169.8291,0.23346,0.0,0.17871,0.58783,405.0,0.98651,0.51483,0.47168,0.01349,1.0,0,18,298,432,842.35371,39.77897,120.55696
35,1000,79060.85028,2475.00046,3.78148,513,154.98298,0.23225,0.0,0.16586,0.60188,384.0,0.9798,0.51515,0.46465,0.0202,1.0,0,25,259,381,843.43806,40.86186,127.4345
36,1000,81405.35077,2344.50049,3.81386,490,145.41776,0.2522,0.0,0.13663,0.61117,363.0,0.97697,0.5129,0.46406,0.02303,1.0,0,27,241,363,803.00783,33.37673,126.23835
37,1000,83983.68456,2578.33379,4.08908,537,156.59697,0.25801,0.0,0.13234,0.60965,407.0,0.98992,0.52101,0.46891,0.01008,1.0,0,13,278,400,850.10301,34.19895,135.3004
38,1000,86923.68494,2940.00038,3.9373,605,173.97541,0.2346,0.0,0.1401,0.62529,457.0,0.99116,0.52041,0.47075,0.00884,1.0,0,13,319,463,834.01305,40.35634,130.21213
39,1000,89765.18534,2841.5004,4.02004,595,177.39403,0.23189,0.0,0.15905,0.60906,447.0,0.99367,0.52349,0.47017,0.00633,1.0,0,9,300,442,855.23013,43.88546,140.18986
40,1000,92214.01915,2448.83382,3.85123,493,148.12492,0.22442,0.0,0.17178,0.6038,364.0,0.97713,0.51079,0.46634,0.02287,1.0,0,28,265,388,842.63318,42.00656,118.49993
41,1000,94592.85298,2378.83382,3.80472,494,156.84411,0.24699,0.0,0.16716,0.58585,393.0,0.98234,0.51951,0.46283,0.01766,1.0,0,21,253,358,839.73848,36.3585,144.87185
42,1000,97509.02003,2916.16705,4.2526,605,172.79671,0.23422,0.0,0.14451,0.62127,457.0,0.99108,0.52095,0.47014,0.00892,1.0,0,13,313,455,831.07573,41.09546,150.69442
43,1000,100199.02046,2690.00043,4.11866,553,179.6821,0.24346,0.0,0.17572,0.58212,426.0,0.98736,0.51859,0.46877,0.01264,1.0013,0,17,287,422,846.9448,38.44064,145.96771
44,1000,103406.85415,3207.83369,4.07473,639,205.96643,0.24421,0.0,0.1707,0.584,495.0,0.99564,0.52242,0.47322,0.00436,0.99891,0,7,370,509,871.23811,35.81942,137.25514
45,1000,106292.18787,2885.33373,6.61784,596,170.74409,0.2423,0.0,0.14148,0.61622,454.0,0.99168,0.52103,0.47066,0.00832,1.0,0,12,315,451,834.94613,39.25853,141.93319
46,1000,109541.35486,3249.16699,4.38965,675,210.20468,0.23091,0.0,0.17706,0.59203,505.0,0.99692,0.52449,0.47243,0.00308,1.0,0,5,350,510,845.51216,40.72806,146.87453
47,1000,112648.3552,3107.00034,4.4534,653,203.48912,0.24967,0.0,0.15897,0.59136,498.0,0.99678,0.52301,0.47377,0.00322,1.0,0,5,329,491,820.80038,34.14466,145.78023
48,1000,115452.85561,2804.50041,4.4717,580,175.63593,0.23036,0.0,0.16722,0.6037,431.0,0.99216,0.5197,0.47245,0.00784,1.00128,0,11,300,446,824.02219,40.96931,133.16975
49,1000,118641.68929,3188.83368,4.58392,647,221.83453,0.24956,0.0,0.18655,0.56277,506.0,0.99373,0.5224,0.47133,0.00627,0.99887,0,10,356,501,865.55901,35.22455,133.33314
50,1000,121768.35629,3126.667,4.88852,661,205.9342,0.25189,0.0,0.15538,0.59327,498.0,0.99744,0.52665,0.47079,0.00256,1.00054,0,4,330,481,832.14805,33.75108,161.42589
51,1000,124891.85666,3123.50036,5.45278,629,205.05698,0.24035,0.0,0.18211,0.577,474.0,0.99552,0.52105,0.47447,0.00448,0.99946,0,7,351,503,844.52141,36.78482,135.22792
52,1000,127715.52374,2823.66708,5.03037,574,178.9566,0.24694,0.0,0.15764,0.59542,456.0,0.98725,0.51942,0.46783,0.01275,1.0,0,18,312,440,857.90233,37.60108,136.16125
53,1000,130704.85744,2989.33371,13.98559,618,196.66264,0.23552,0.0,0.17465,0.58983,462.0,0.99331,0.5213,0.47201,0.00669,1.0,0,10,321,473,813.56212,36.96945,128.1705
54,1000,133632.85782,2928.00037,40.23281,616,198.08901,0.24147,0.0,0.17891,0.58216,450.0,0.99044,0.52083,0.4696,0.00956,1.00254,0,14,303,458,816.91295,35.30777,129.20887
55,1000,136615.52487,2982.66706,10.28025,604,187.83202,0.26716,0.0,0.13306,0.59728,490.0,0.99598,0.52526,0.47072,0.00402,0.99751,0,6,337,463,852.66883,31.28024,144.04471
56,1000,139928.85854,3313.33367,67.82668,662,205.87325,0.22659,0.0,0.17547,0.59795,527.0,0.99577,0.52314,0.47264,0.00423,1.0,0,7,383,524,884.27564,45.62118,138.2028
57,1000,142979.35892,3050.50038,5.30701,616,193.78593,0.23501,0.0,0.17768,0.58732,458.0,0.99213,0.52205,0.47009,0.00787,1.0,0,12,344,477,844.71896,39.16139,141.01557
58,1000,146081.85928,3102.50037,77.44334,631,190.02318,0.23264,0.0,0.16096,0.6064,501.0,0.99742,0.52458,0.47284,0.00258,1.0,0,4,352,486,878.98743,44.91512,149.90043
59,1000,149149.02634,3067.16705,72.89497,612,187.46775,0.23058,0.0,0.17149,0.59793,477.0,0.99804,0.52301,0.47503,0.00196,1.0,0,3,357,490,867.91124,41.78552,137.25176
60,1000,152014.86007,2865.83373,4.92855,593,232.67356,0.25983,0.0,0.23948,0.5007,472.0,0.99302,0.5237,0.46932,0.00698,1.0,0,10,315,440,874.67024,28.93197,161.74076
61,1000,155425.52706,3410.66699,52.04413,666,204.14997,0.25053,0.0,0.14766,0.60181,531.0,0.9959,0.52238,0.47351,0.0041,1.0,0,7,407,542,891.43551,40.3467,150.9449
62,1000,158402.02745,2976.50038,51.25849,601,192.3336,0.23806,0.0,0.17586,0.58607,455.0,0.98791,0.51823,0.46968,0.01209,1.0,0,18,330,470,860.5743,34.51215,139.05189
63,1000,161385.36118,2983.33373,57.30459,595,184.33277,0.2369,0.0,0.17198,0.59112,479.0,0.99531,0.52402,0.47128,0.00469,1.0,0,7,345,466,869.69712,41.11762,147.02778
64,1000,164653.69486,3268.33368,9.67402,642,204.34142,0.23425,0.0,0.18054,0.58522,519.0,0.99388,0.52269,0.47119,0.00612,1.0,0,10,388,510,886.06071,43.11967,156.8621
65,1000,167795.36191,3141.66705,67.07389,612,175.60663,0.25278,0.0,0.13195,0.61527,480.0,0.993,0.51936,0.47363,0.007,1.0,0,11,374,507,872.90994,36.19782,124.42548
66,1000,170521.02899,2725.66708,51.89446,568,190.95151,0.251,0.0,0.18281,0.56619,431.0,0.98679,0.52158,0.46521,0.01321,1.0,0,18,290,412,856.38525,33.4924,155.81727
67,1000,173698.3627,3177.33371,24.10583,613,187.29009,0.24239,0.0,0.15732,0.60028,509.0,0.99308,0.52193,0.47115,0.00692,1.0,0,11,387,500,903.2628,40.60471,152.95142
68,1000,176782.19644,3083.83374,15.5183,590,159.6491,0.22795,0.0,0.13039,0.64168,472.0,0.99157,0.52073,0.47084,0.00843,1.00002,0,13,381,486,898.54243,46.88865,146.99339
69,1000,179599.03021,2816.83377,62.0596,544,174.00082,0.24311,0.0,0.17268,0.58418,439.0,0.98509,0.51861,0.46648,0.01491,0.99998,0,21,339,436,911.23513,41.00915,153.01762
70,1000,182483.53063,2884.50042,66.52878,569,193.92053,0.25256,0.0,0.17934,0.56809,441.0,0.99237,0.52089,0.47149,0.00763,1.0,0,11,336,456,889.82613,35.14082,145.06095
71,1000,185480.69771,2997.16707,69.68401,580,193.4978,0.25502,0.0,0.16696,0.57802,496.0,0.98999,0.52355,0.46644,0.01001,1.0,0,15,365,454,934.61856,36.76269,180.66058
72,1000,188656.36478,3175.66707,5.64613,586,186.92618,0.2429,0.0,0.16554,0.59156,484.0,0.99307,0.5201,0.47297,0.00693,1.0,0,11,408,510,943.31434,40.31114,153.03098
73,1000,191779.6985,3123.33372,44.99132,602,201.27412,0.23325,0.0,0.19391,0.57284,478.0,0.98911,0.51814,0.47097,0.01089,1.0,0,17,381,494,890.26108,39.27698,142.06695
74,1000,194648.19891,2868.50041,52.27881,575,209.70902,0.23474,0.0,0.22475,0.54051,461.0,0.98745,0.52031,0.46714,0.01255,1.0,0,18,325,441,871.77654,38.11121,158.88863
75,1000,197620.69932,2972.50041,57.69156,569,175.76528,0.22427,0.0,0.17726,0.59847,436.0,0.98251,0.51388,0.46863,0.01749,1.0,0,26,354,475,870.41537,44.00683,127.14301
76,1000,200599.36636,2978.66705,56.12658,608,190.28463,0.26259,0.0,0.14815,0.58926,493.0,0.99127,0.52428,0.46699,0.00873,1.0,0,13,334,451,854.86266,34.2566,164.74166
77,1000,203385.8668,2786.50044,72.41013,540,176.51252,0.23674,0.0,0.1862,0.57706,419.0,0.98277,0.51409,0.46869,0.01723,1.0,0,24,326,443,879.61615,37.75038,142.05421
78,1000,206595.53383,3209.66703,7.31028,630,209.18519,0.25517,0.0,0.17027,0.57456,514.0,0.99626,0.52394,0.47232,0.00374,1.0,0,6,385,502,900.76778,35.05328,152.00382
79,1000,209696.36755,3100.83371,52.47533,611,200.86554,0.23872,0.0,0.1758,0.58548,483.0,0.99162,0.52271,0.46891,0.00838,1.0,0,13,369,479,903.65104,40.37152,168.73926
80,1000,212578.53465,2882.1671,75.80558,552,162.93876,0.2439,0.0,0.14415,0.61195,451.0,0.98543,0.51495,0.47048,0.01457,1.0,0,21,346,464,897.49704,40.35853,133.19003
81,1000,215128.20176,2549.66711,70.95049,529,162.98631,0.23737,0.0,0.15892,0.60372,404.0,0.97333,0.51445,0.45888,0.02667,1.0,0,34,266,379,838.43806,40.71789,165.73102
82,1000,217821.70223,2693.50048,67.79106,497,151.38211,0.22999,0.0,0.17102,0.59898,404.0,0.9755,0.50956,0.46594,0.0245,1.0,0,33,337,429,889.19974,40.70258,134.14443
83,1000,220265.03606,2443.33382,70.849,481,135.01753,0.23878,0.0,0.12571,0.63551,375.0,0.97135,0.51091,0.46044,0.02865,1.0,0,35,278,373,853.56152,42.05282,139.95034
84,1000,222455.36992,2190.33386,56.39886,438,130.29806,0.22428,0.0,0.17248,0.60324,330.0,0.96074,0.50373,0.45701,0.03926,1.0,0,43,231,337,812.83571,41.87163,130.06903
85,1000,224883.87041,2428.50049,5.75514,477,147.18727,0.24851,0.0,0.14883,0.60266,374.0,0.97118,0.50957,0.4616,0.02882,1.0,0,35,275,375,856.054,35.39139,126.14937
86,1000,227571.70418,2687.83377,4.78076,541,147.94099,0.22874,0.0,0.13398,0.63727,426.0,0.98363,0.51746,0.46617,0.01637,1.0,0,22,303,413,844.69046,43.6904,139.99467
87,1000,229926.20468,2354.50049,5.64021,482,136.71064,0.23873,0.0,0.1381,0.62317,370.0,0.97367,0.51285,0.46082,0.02633,1.0,0,31,253,356,840.8461,40.60805,156.82796
88,1000,232768.53844,2842.33376,5.34597,558,179.41615,0.23572,0.0,0.18339,0.58089,427.0,0.98874,0.51835,0.47039,0.01126,1.0,0,16,334,450,866.69326,39.13594,144.00299
89,1000,235315.37222,2546.83378,67.90549,538,174.20667,0.23472,0.0,0.19023,0.5793,409.0,0.98272,0.51665,0.46607,0.01728,1.00425,0,22,259,392,795.715,37.99257,154.76626
90,1000,238200.70595,2885.33374,44.82757,583,178.92829,0.22836,0.0,0.17175,0.59614,441.0,0.98683,0.51756,0.46927,0.01317,0.99625,0,19,324,453,833.67435,40.09481,149.89977
91,1000,240869.87308,2669.16712,5.54692,521,156.29011,0.22851,0.0,0.16665,0.60483,419.0,0.97827,0.51296,0.46531,0.02173,1.0,0,29,308,418,868.7607,44.13722,138.03556
92,1000,243818.54013,2948.66705,5.66734,596,172.76974,0.2471,0.0,0.13345,0.61946,466.0,0.98711,0.51944,0.46767,0.01289,1.0,0,19,327,457,854.73433,38.62871,145.99158
93,1000,247034.70713,3216.167,59.152,665,230.40952,0.23969,0.0,0.20418,0.55613,491.0,0.99565,0.52366,0.47199,0.00435,1.0,0,7,353,503,877.61079,36.73706,154.88669
94,1000,249914.37419,2879.66707,56.26544,583,193.82226,0.26073,0.0,0.17126,0.56801,467.0,0.98819,0.51974,0.46846,0.01181,1.0,0,17,320,447,869.81477,31.96349,162.8139
95,1000,252607.5413,2693.1671,24.42944,542,174.52605,0.22036,0.0,0.19857,0.58107,416.0,0.98218,0.51581,0.46637,0.01782,1.0,0,24,296,420,843.57218,42.301,158.82969
96,1000,255819.87499,3212.3337,53.95173,629,187.81428,0.23704,0.0,0.15293,0.61003,498.0,0.99377,0.52091,0.47286,0.00623,1.0,0,10,379,513,886.36133,42.23833,139.07141
97,1000,259306.04196,3486.16697,5.83466,698,225.05957,0.24774,0.0,0.16149,0.59078,551.0,0.99828,0.52613,0.47215,0.00172,1.0,0,3,405,543,863.63676,37.50667,155.87253
98,1000,262651.37566,3345.3337,5.15223,627,211.13016,0.23892,0.0,0.19158,0.5695,523.0,0.99402,0.52112,0.4729,0.00598,1.0,0,10,423,533,920.23957,38.83611,139.21581
99,1000,265440.20941,2788.83375,52.85219,568,193.49179,0.24663,0.0,0.19196,0.56141,442.0,0.98853,0.52023,0.4683,0.01147,1.0,0,16,307,432,855.70052,36.98782,148.92925
100,1000,268427.37647,2987.16706,60.83683,588,199.98798,0.22536,0.0,0.21501,0.55963,459.0,0.98594,0.51693,0.46901,0.01406,1.0,0,21,346,471,884.21485,40.90004,137.09528
101,1000,271194.54356,2767.16709,4.8376,557,162.52182,0.2258,0.0,0.16279,0.61141,436.0,0.98338,0.51828,0.4651,0.01662,1.0,0,23,314,422,866.87452,44.22222,157.86884
102,1000,274330.37727,3135.83371,6.39699,617,201.52254,0.23743,0.0,0.18417,0.5784,488.0,0.99617,0.52166,0.47451,0.00383,1.0,0,6,369,502,881.09453,40.45786,140.07955
103,1000,277280.04434,2949.66707,5.96515,588,175.41263,0.24436,0.0,0.15419,0.60145,478.0,0.98644,0.51927,0.46717,0.01356,1.0,0,20,343,455,877.21714,38.89475,152.95224
104,1000,280340.37805,3060.33372,4.70413,608,181.95874,0.23763,0.0,0.15512,0.60725,467.0,0.9915,0.52064,0.47086,0.0085,1.0,0,13,355,481,874.22506,39.80056,150.955
105,1000,283726.87838,3386.50033,5.41111,673,211.84374,0.24671,0.0,0.1654,0.58789,544.0,0.99882,0.5234,0.47542,0.00118,1.0,0,2,399,539,876.79994,38.39873,144.02659
106,1000,286867.87874,3141.00036,69.919,636,213.07784,0.2369,0.0,0.19266,0.57044,496.0,0.99682,0.52531,0.47151,0.00318,1.0,0,5,359,486,898.785,40.2214,166.85149
107,1000,290188.54575,3320.66701,5.29381,649,206.43846,0.22795,0.0,0.18866,0.58339,514.0,0.99337,0.52148,0.47189,0.00663,1.0,0,11,395,526,894.31962,43.69093,155.90887
108,1000,293628.04608,3439.50033,56.95954,663,199.18568,0.24269,0.0,0.1566,0.60071,539.0,0.99651,0.5226,0.47391,0.00349,1.0,0,6,422,548,903.898,40.23807,142.09402
109,1000,297186.71305,3558.66697,66.03347,694,218.85924,0.23552,0.0,0.17366,0.59082,556.0,0.99607,0.52173,0.47433,0.00393,1.0,0,7,427,568,885.91912,41.01339,126.27073
110,1000,300258.04673,3071.33369,60.25631,631,208.72123,0.24749,0.0,0.18483,0.56913,479.0,0.98633,0.5204,0.46592,0.01367,1.00145,0,21,335,469,862.20069,36.29546,149.9608
111,1000,303194.04713,2936.0004,38.00949,590,186.51267,0.24651,0.0,0.17003,0.5857,476.0,0.99251,0.52112,0.47139,0.00749,1.00225,0,11,333,463,851.97641,36.79138,144.98546
112,1000,306540.38079,3346.33366,7.09271,670,182.59318,0.22639,0.0,0.1264,0.64391,518.0,0.99701,0.52246,0.47455,0.00299,0.9967,0,5,385,534,857.95962,46.30507,131.13786
113,1000,310078.71442,3538.33363,23.46459,705,240.82166,0.25941,0.0,0.17616,0.56443,559.0,0.99661,0.5252,0.47141,0.00339,1.0,0,6,415,551,896.37937,32.89286,146.05525
114,1000,313068.88146,2990.16704,73.24978,620,203.709,0.24976,0.0,0.17041,0.57983,468.0,0.99331,0.5231,0.47021,0.00669,1.0,0,10,322,465,851.63829,33.92955,156.88513
115,1000,316109.54851,3040.66705,73.23013,603,189.60125,0.24216,0.0,0.17297,0.58487,471.0,0.98948,0.52017,0.4693,0.01052,1.0,0,16,351,476,878.5857,38.06785,155.89839
116,1000,319426.04884,3316.50034,42.36425,655,221.41028,0.23921,0.0,0.19967,0.56112,530.0,0.99276,0.52088,0.47188,0.00724,1.0,0,12,389,525,870.20317,37.94869,146.00728
117,1000,322238.38261,2812.33376,10.92138,556,182.032,0.24676,0.0,0.183,0.57024,444.0,0.98578,0.51855,0.46723,0.01422,1.0,0,20,328,437,865.21382,36.44188,148.9589
118,1000,325718.21624,3479.83363,46.00924,695,216.62675,0.23909,0.0,0.16635,0.59521,546.0,0.99713,0.52469,0.47244,0.00287,1.00066,0,5,404,545,866.52274,39.86724,157.87551
