episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,886.66734,886.66734,2.69537,248,94.52597,0.30253,0.0,0.18896,0.51647,160.0,0.80601,0.46429,0.34173,0.19398,1.00796,0,86,0,55,130.06268,3.89173,123.98032
3,1000,2432.00132,1545.33397,5.91662,290,91.13906,0.18333,0.0,0.19804,0.61406,220.0,0.90552,0.47455,0.43097,0.09448,0.99543,0,73,155,225,803.46371,55.20128,129.22379
4,1000,4155.83526,1723.83394,5.03276,348,96.07589,0.22178,0.0,0.1468,0.63141,260.0,0.93503,0.49067,0.44436,0.06497,1.0,0,56,169,257,784.27969,42.258,131.27896
5,1000,5759.16921,1603.33395,4.62324,328,90.33356,0.20812,0.0,0.17266,0.61921,216.0,0.91518,0.47921,0.43597,0.08482,1.0,0,68,151,236,772.89895,43.63407,124.25651
6,1000,7572.00312,1812.83391,4.7419,373,104.86605,0.24578,0.0,0.12754,0.62667,289.0,0.94263,0.49416,0.44847,0.05737,1.0,0,52,173,273,801.67245,34.2713,121.79096
7,1000,9602.33702,2030.33389,5.02602,414,128.22578,0.22551,0.0,0.17916,0.59533,309.0,0.97045,0.51141,0.45904,0.02955,1.0,0,30,214,307,806.28176,41.88979,130.52626
8,1000,11621.33756,2019.00054,5.68401,429,105.54767,0.22473,0.0,0.10809,0.66718,304.0,0.96929,0.50768,0.46161,0.03071,1.0,0,31,192,315,778.70086,43.78165,118.00374
9,1000,13757.1714,2135.83384,4.94859,476,143.49929,0.21988,0.0,0.17695,0.60316,332.0,0.9794,0.51775,0.46165,0.0206,1.0,0,22,193,321,797.6968,41.7613,139.15548
10,1000,15766.50529,2009.3339,17.90909,409,138.22155,0.24888,0.0,0.19948,0.55164,311.0,0.96317,0.50431,0.45886,0.03683,1.0,0,37,210,311,844.01593,31.53543,129.85083
11,1000,17857.50584,2091.00055,42.86931,428,132.62931,0.23725,0.0,0.1651,0.59765,315.0,0.96939,0.50693,0.46246,0.03061,1.0,0,32,218,328,839.54577,40.23039,115.09738
12,1000,19542.33975,1684.83391,7.84175,379,125.07409,0.23987,0.0,0.18661,0.57353,255.0,0.94302,0.49906,0.44396,0.05698,1.0,0,48,134,242,736.72281,32.26756,133.15538
13,1000,21806.00694,2263.66718,70.5358,467,140.31216,0.24576,0.0,0.15111,0.60313,350.0,0.98056,0.51539,0.46517,0.01944,1.0,0,22,239,350,823.75166,34.51069,136.57534
14,1000,23927.50747,2121.50053,6.57825,450,124.4919,0.22963,0.0,0.14175,0.62861,330.0,0.97832,0.51497,0.46335,0.02168,1.0,0,23,212,325,815.56621,43.3323,144.1048
15,1000,26082.508,2155.00053,132.67678,449,122.08247,0.24186,0.0,0.12192,0.63934,337.0,0.97587,0.51044,0.46543,0.02413,1.00312,0,26,220,340,825.30893,39.28315,128.8198
16,1000,28116.00853,2033.50054,15.14783,440,147.14489,0.23439,0.0,0.20099,0.5613,305.0,0.96754,0.5102,0.45734,0.03246,0.99669,0,33,192,307,784.87771,32.93766,136.29501
17,1000,30554.84236,2438.83382,6.80193,492,154.64414,0.24224,0.0,0.17205,0.58571,381.0,0.98114,0.51288,0.46826,0.01886,1.0,0,23,266,389,828.99627,37.24361,114.16187
18,1000,32460.50957,1905.66721,86.492,425,128.34818,0.22949,0.0,0.17411,0.5964,299.0,0.96012,0.50988,0.45024,0.03988,1.0,0,38,166,274,777.35835,36.19611,146.81992
19,1000,34728.67674,2268.16717,71.2783,479,133.66244,0.2399,0.0,0.12921,0.63089,346.0,0.9806,0.51547,0.46513,0.0194,1.0,0,22,230,352,783.73045,39.62403,145.97418
20,1000,37184.01055,2455.33381,8.57455,509,144.5785,0.24077,0.0,0.13652,0.62271,386.0,0.98289,0.51656,0.46633,0.01711,1.0,0,21,259,382,839.21872,38.18641,145.70472
21,1000,39710.011,2526.00046,101.56408,528,155.98164,0.24514,0.0,0.1433,0.61156,384.0,0.98416,0.51663,0.46754,0.01584,1.0,0,20,260,396,823.98426,35.59721,138.85444
22,1000,42261.67813,2551.66713,42.79627,528,146.64576,0.22693,0.0,0.14274,0.63033,408.0,0.98903,0.51992,0.46911,0.01097,1.0,0,14,273,399,850.40089,44.55344,139.27012
23,1000,44759.84527,2498.16714,81.71267,511,146.96745,0.23178,0.0,0.14727,0.62095,383.0,0.98399,0.51605,0.46794,0.01601,1.0,0,20,269,393,842.78549,42.67056,129.42447
24,1000,47503.8457,2744.00043,81.33081,562,193.98587,0.26121,0.0,0.18431,0.55449,433.0,0.99271,0.52296,0.46975,0.00729,1.0,0,10,302,426,852.40277,31.84698,140.29031
25,1000,50142.67947,2638.83377,51.71939,548,174.36374,0.24557,0.0,0.16814,0.58629,421.0,0.99015,0.52138,0.46877,0.00985,1.0,0,13,281,409,866.73342,35.97719,149.85376
26,1000,52740.67992,2598.00045,5.44323,528,165.20224,0.24997,0.0,0.16499,0.58504,399.0,0.97921,0.51386,0.46536,0.02079,1.0,0,27,283,406,847.00586,35.12483,140.93079
27,1000,55420.34702,2679.66709,84.45104,559,175.73206,0.22986,0.0,0.18289,0.58724,415.0,0.9888,0.51934,0.46946,0.0112,1.0,0,15,283,418,847.50714,39.094,144.83504
28,1000,57916.84748,2496.50046,83.01151,523,177.5967,0.24997,0.0,0.18436,0.56568,389.0,0.98398,0.51772,0.46625,0.01602,1.0,0,20,257,385,858.94358,35.23169,153.66003
29,1000,60496.68127,2579.83379,113.90147,526,156.77586,0.2421,0.0,0.1552,0.6027,411.0,0.98372,0.5178,0.46592,0.01628,1.0,0,21,285,398,864.32639,39.59196,161.20482
30,1000,63130.18172,2633.50045,5.06499,535,166.02059,0.22016,0.0,0.19024,0.59213,393.0,0.98633,0.51547,0.47086,0.01367,1.00253,0,18,284,424,819.56348,39.94099,130.16218
31,1000,65764.34883,2634.16711,5.39387,551,173.34749,0.24311,0.0,0.16678,0.58757,425.0,0.98861,0.52167,0.46694,0.01139,0.99747,0,15,284,401,866.60296,40.09968,156.56429
32,1000,68274.18262,2509.8338,101.89646,516,160.8999,0.24243,0.0,0.15994,0.59763,394.0,0.98088,0.51431,0.46656,0.01912,1.0,0,24,265,393,850.50483,37.53679,148.85831
33,1000,71053.51639,2779.33377,95.18954,554,161.37141,0.22897,0.0,0.15422,0.61681,427.0,0.99136,0.52111,0.47026,0.00864,1.0,0,12,319,437,904.74183,46.09357,145.16376
34,1000,73939.18345,2885.66705,135.58119,604,184.38554,0.23412,0.0,0.16667,0.59921,458.0,0.99376,0.52212,0.47164,0.00624,1.0,0,9,304,454,849.22144,39.392,143.88352
35,1000,76879.01717,2939.83373,61.02681,599,205.69563,0.24358,0.0,0.20189,0.55453,457.0,0.99252,0.52242,0.47009,0.00748,1.0,0,11,327,458,886.42145,37.61441,151.92374
36,1000,79757.01757,2878.0004,6.18306,598,162.95216,0.23411,0.0,0.13082,0.63508,453.0,0.99653,0.52293,0.47359,0.00347,1.0,0,5,311,456,850.6157,41.63146,146.84859
37,1000,82402.68467,2645.66709,5.52172,560,177.76994,0.25111,0.0,0.16443,0.58474,408.0,0.9879,0.51846,0.46945,0.0121,1.00028,0,16,269,415,862.83965,36.21154,144.01957
38,1000,85221.35175,2818.66708,7.2917,571,167.60013,0.24211,0.0,0.14287,0.61476,441.0,0.98865,0.51857,0.47008,0.01135,0.99974,0,16,313,443,882.15007,40.81366,140.23419
39,1000,88006.01884,2784.66709,100.47669,559,166.98916,0.25144,0.0,0.14064,0.60792,430.0,0.98851,0.51772,0.47079,0.01149,1.0,0,16,309,445,847.43757,34.87892,116.73533
40,1000,90384.68598,2378.66714,14.85287,513,161.49541,0.25226,0.0,0.1524,0.59534,394.0,0.98402,0.522,0.46202,0.01598,1.0,0,19,235,352,809.25417,33.59071,158.49162
41,1000,93159.51975,2774.83377,6.75518,552,185.92174,0.23744,0.0,0.19732,0.56524,432.0,0.99063,0.51925,0.47138,0.00937,1.0,0,13,322,437,888.37739,39.77887,155.82039
42,1000,95939.68683,2780.16708,53.58056,578,180.02246,0.23501,0.0,0.17289,0.5921,422.0,0.99065,0.51945,0.47119,0.00935,1.0,0,13,295,440,836.23797,37.91535,145.75195
43,1000,98810.18722,2870.5004,66.07746,595,159.92118,0.25334,0.0,0.09861,0.64805,472.0,0.99443,0.52343,0.471,0.00557,1.0,0,8,309,449,886.77152,40.06984,151.0506
44,1000,101579.85428,2769.66706,74.71232,598,170.15799,0.23546,0.0,0.13573,0.62881,421.0,0.99061,0.52052,0.47009,0.00939,1.0,0,13,276,432,843.62878,41.61916,156.45317
45,1000,104270.02136,2690.16708,5.29232,578,192.82594,0.24407,0.0,0.17455,0.58138,413.0,0.99034,0.52196,0.46837,0.00966,1.0,0,13,270,413,857.532,35.76624,177.22943
46,1000,106586.52186,2316.5005,5.58024,480,142.09135,0.24015,0.0,0.1581,0.60175,366.0,0.97755,0.51047,0.46708,0.02245,1.0,0,26,239,370,843.39795,38.38226,149.80896
47,1000,109590.52222,3004.00036,5.1526,629,193.70092,0.22732,0.0,0.1774,0.59528,467.0,0.99334,0.52097,0.47237,0.00666,1.0,0,10,316,476,844.33842,41.85927,140.98897
48,1000,112719.68923,3129.167,113.44262,661,194.72457,0.23891,0.0,0.14051,0.62059,491.0,0.9968,0.52383,0.47297,0.0032,1.0,0,5,328,492,833.78167,40.66258,144.80716
49,1000,115000.35639,2280.66717,5.20079,480,152.93315,0.25106,0.0,0.17544,0.58775,350.0,0.97895,0.51374,0.46521,0.02105,1.01425,0,24,229,356,812.93336,34.74451,138.04896
50,1000,117392.6902,2392.33381,5.08915,500,147.524,0.23635,0.0,0.13993,0.61236,379.0,0.97826,0.51554,0.46273,0.02174,0.98864,0,26,247,364,820.12473,38.18832,152.65268
51,1000,120265.02392,2872.33372,5.84265,604,166.96023,0.23531,0.0,0.12745,0.63539,466.0,0.99164,0.52164,0.47,0.00836,0.99815,0,12,300,449,828.49101,41.3461,155.60932
52,1000,123238.02431,2973.00038,5.19866,613,198.18412,0.24713,0.0,0.17248,0.58039,448.0,0.99462,0.52136,0.47326,0.00538,1.0,0,8,324,475,844.32468,34.2923,138.08457
53,1000,126356.69131,3118.667,77.74792,666,218.34369,0.23931,0.0,0.18299,0.57771,497.0,0.99872,0.5248,0.47392,0.00128,1.0,0,2,320,492,860.24151,39.23165,140.1098
54,1000,129394.35834,3037.66703,58.04265,625,213.67488,0.2453,0.0,0.19121,0.56349,472.0,0.99407,0.52233,0.47174,0.00593,1.0,0,9,332,478,843.34279,33.72256,139.05239
55,1000,132307.52537,2913.16703,117.87053,627,194.98521,0.24253,0.0,0.16453,0.59564,472.0,0.99313,0.52148,0.47165,0.00687,1.0027,0,10,293,457,812.92383,37.65938,141.95254
56,1000,135270.85909,2963.33371,47.5827,607,198.29213,0.2194,0.0,0.19625,0.5817,451.0,0.99123,0.51912,0.4721,0.00877,0.99735,0,13,321,472,825.26065,40.38104,125.24643
57,1000,138246.0261,2975.16701,8.12309,647,199.52991,0.2593,0.0,0.14381,0.59689,476.0,0.99529,0.52574,0.46955,0.00471,1.0,0,7,294,456,808.86383,33.42776,153.63737
58,1000,140800.19322,2554.16712,136.30309,529,172.94604,0.24231,0.0,0.18004,0.57765,393.0,0.98591,0.51452,0.47139,0.01409,1.0,0,18,266,411,798.13726,34.03524,125.22913
59,1000,143816.69356,3016.50034,74.93529,658,202.09258,0.22724,0.0,0.17299,0.59977,462.0,0.99735,0.52461,0.47273,0.00265,1.0,0,4,295,474,797.66125,39.24439,129.03057
60,1000,146577.36063,2760.66707,11.893,588,194.13708,0.24152,0.0,0.18568,0.57281,432.0,0.99203,0.52041,0.47163,0.00797,1.0,0,11,281,435,808.33462,35.59469,126.21879
61,1000,149072.02774,2494.66711,46.0478,545,188.6933,0.25258,0.0,0.18506,0.56236,415.0,0.98797,0.52178,0.46619,0.01203,1.0,0,15,239,380,786.43918,30.13202,148.8003
62,1000,151948.36148,2876.33374,5.93748,585,187.98651,0.23015,0.0,0.1826,0.58725,444.0,0.99444,0.52092,0.47352,0.00556,1.0,0,8,318,460,841.72267,41.21827,131.15873
63,1000,154640.02855,2691.66707,36.14575,590,182.59561,0.23447,0.0,0.17328,0.59225,427.0,0.99034,0.52074,0.4696,0.00966,1.0,0,13,259,420,814.27125,39.72887,135.03249
64,1000,157420.19561,2780.16706,90.10403,589,170.28392,0.24092,0.0,0.13972,0.61936,427.0,0.98993,0.51945,0.47048,0.01007,1.0,0,14,280,439,793.95468,35.80462,126.06371
65,1000,159978.69605,2558.50043,76.865,552,155.3513,0.25738,0.0,0.11384,0.62879,410.0,0.98593,0.52081,0.46512,0.01407,1.0,0,18,254,388,793.53022,35.14973,151.81377
66,1000,162919.52978,2940.83373,5.92761,593,199.16529,0.2386,0.0,0.18779,0.5736,457.0,0.9898,0.51884,0.47095,0.0102,1.0,0,15,326,468,856.33184,35.98633,133.137
67,1000,165624.19684,2704.66706,4.99565,593,191.41064,0.25885,0.0,0.1618,0.58132,407.0,0.99039,0.52194,0.46845,0.00961,1.00197,0,13,259,418,791.96708,30.81975,145.79568
