episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,5303.33333,5303.33333,3.99887,1010,547.76981,0.25565,0.0,0.16843,0.57592,900.0,0.9687,0.52483,0.44387,0.0313,1.0,0,0,723,704,1147.98904,47.88292,214.45754
3,1000,19739.5,14436.16667,2.61211,1000,307.00282,0.10803,0.0,0.1673,0.72467,1064.0,1.0,0.76503,0.23497,0.0,1.0,0,0,1211,1181,1205.81874,152.64901,102.50502
4,1000,25689.5,5950.0,3.94551,1000,399.87387,0.19869,0.0,0.16725,0.63406,853.0,0.94958,0.49664,0.45294,0.05042,1.0,0,0,923,922,1039.12311,67.23784,56.60806
5,1000,37939.16667,12249.66667,2.43532,1000,293.77215,0.12509,0.0,0.15529,0.71962,1006.0,1.0,0.77322,0.22678,0.0,1.0,0,0,896,882,1074.93004,115.27533,145.20311
6,1000,43895.5,5956.33333,3.84332,1000,359.57629,0.2275,0.0,0.1689,0.6036,897.0,0.97314,0.51178,0.46136,0.02686,1.0,0,0,914,914,1012.46787,48.83505,168.15849
7,1000,55644.16667,11748.66667,2.50367,1000,275.2936,0.11489,0.0,0.16273,0.72237,915.0,0.97821,0.75257,0.22564,0.02179,1.0,0,0,897,882,1103.63406,130.92754,159.6317
8,1000,61961.5,6317.33333,3.73371,1000,322.41196,0.2358,0.0,0.1588,0.6054,988.0,1.0,0.52607,0.47393,0.0,1.0,0,0,997,997,1005.28553,47.86309,175.67396
9,1000,74965.66667,13004.16667,2.74821,1000,279.65453,0.10517,0.0,0.16439,0.73044,921.0,0.98324,0.752,0.23123,0.01676,1.0,0,0,1067,1049,1096.60287,143.93279,44.79077
10,1000,79184.83333,4219.16667,3.07278,1000,408.84202,0.23642,0.0,0.18165,0.5841,654.0,0.84405,0.45605,0.38799,0.15595,1.00216,0,0,483,483,1034.87223,46.52538,220.30087
11,1000,91218.0,12033.16667,2.70757,1000,277.69288,0.10768,0.0,0.17069,0.72087,880.0,0.97573,0.74828,0.22745,0.02427,0.99924,0,0,949,934,1172.7479,146.74118,152.33908
12,1000,97687.66667,6469.66667,3.92286,1000,402.2248,0.22103,0.0,0.19459,0.58438,992.0,1.0,0.52424,0.47576,0.0,1.0,0,0,1039,1039,1027.06723,53.07695,123.33602
13,1000,108451.33333,10763.66667,2.4348,1000,258.82713,0.10345,0.0,0.15583,0.74071,759.0,0.94983,0.7276,0.22223,0.05017,1.0,0,0,838,824,1091.72506,147.62741,44.8269
14,1000,113194.66667,4743.33333,3.34212,1000,506.52342,0.24509,0.0,0.19799,0.55692,745.0,0.90387,0.48559,0.41827,0.09613,1.0,0,0,609,603,1110.05594,43.53534,213.09191
15,1000,124785.33333,11590.66667,2.68888,1000,306.00062,0.11243,0.0,0.1647,0.72287,826.0,0.96325,0.73694,0.2263,0.03675,1.0,0,0,923,913,1153.90563,135.9273,99.1675
16,1000,130876.0,6090.66667,3.98902,1000,402.49992,0.23037,0.0,0.14378,0.62585,903.0,0.96388,0.50432,0.45956,0.03612,1.0,0,0,955,954,1037.36293,50.89778,42.38883
17,1000,143251.16667,12375.16667,2.4202,1000,294.80664,0.12144,0.0,0.17328,0.70528,993.0,1.0,0.77245,0.22755,0.0,1.0,0,0,913,903,1082.8522,117.34198,139.1127
