episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,3220.83333,3220.83333,0.70317,1010,294.04615,0.22388,0.0,0.15459,0.62154,500.0,1.0,0.53118,0.46882,0.0,1.0,0,0,0,500,107.23138,6.00483,22.98866
3,1000,9697.0,6476.16667,0.76181,1000,192.43906,0.12235,0.0,0.14451,0.73315,502.0,1.0,0.76807,0.23193,0.0,1.0,0,0,1,501,177.73215,19.67746,18.93449
4,1000,12856.5,3159.5,0.65167,1000,295.26665,0.23471,0.0,0.15278,0.6125,495.0,1.0,0.52619,0.47381,0.0,1.0,0,0,1,496,119.97205,6.11103,28.04567
5,1000,19336.16667,6479.66667,0.65514,1000,220.55438,0.11624,0.0,0.1847,0.69905,507.0,1.0,0.76727,0.23273,0.0,1.0,0,0,2,506,185.21027,21.40968,18.33263
6,1000,22512.83333,3176.66667,0.76966,1000,330.96661,0.24123,0.0,0.18635,0.57242,502.0,1.0,0.52623,0.47377,0.0,1.0,0,0,4,501,132.37306,5.93823,21.21543
7,1000,28967.0,6454.16667,0.65658,1000,191.37063,0.12165,0.0,0.14345,0.7349,498.0,1.0,0.76759,0.23241,0.0,1.0,0,0,0,500,173.7017,19.33285,19.78544
8,1000,32140.5,3173.5,0.65276,1000,332.47703,0.25275,0.0,0.17498,0.57227,496.0,1.0,0.52702,0.47298,0.0,1.0,0,0,5,496,137.57955,5.59494,32.80528
9,1000,38620.16667,6479.66667,0.66204,1000,194.02724,0.12597,0.0,0.14223,0.7318,509.0,1.0,0.76727,0.23273,0.0,1.0,0,0,1,507,178.01931,18.54117,19.8555
10,1000,41785.83333,3165.66667,0.80677,1000,296.38492,0.24607,0.0,0.14133,0.6126,498.0,1.0,0.52648,0.47352,0.0,1.0,0,0,0,499,113.38188,5.18974,22.37405
11,1000,48254.0,6468.16667,0.66259,1000,218.65833,0.11885,0.0,0.18135,0.6998,501.0,1.0,0.76748,0.23252,0.0,1.0,0,0,2,502,181.03728,20.35861,19.92385
12,1000,51419.5,3165.5,0.64802,1000,320.93413,0.23005,0.0,0.18712,0.58283,497.0,1.0,0.52677,0.47323,0.0,1.0,0,0,2,496,121.00662,6.02717,29.87242
13,1000,57895.16667,6475.66667,0.65391,1000,214.69132,0.12381,0.0,0.17044,0.70575,508.0,1.0,0.76697,0.23303,0.0,1.0,0,0,2,507,184.38975,19.22545,18.1357
14,1000,61064.5,3169.33333,0.65514,1000,358.10571,0.24616,0.0,0.21185,0.542,498.0,1.0,0.5264,0.4736,0.0,1.0,0,0,1,500,130.10014,5.24853,19.5564
15,1000,67540.16667,6475.66667,0.84702,1000,204.45288,0.12125,0.0,0.1595,0.71924,498.0,1.0,0.76852,0.23148,0.0,1.0,0,0,1,498,182.60253,20.13555,23.56144
16,1000,70706.5,3166.33333,0.64717,1000,318.21162,0.23002,0.0,0.1833,0.58668,502.0,1.0,0.52532,0.47468,0.0,1.0,0,0,2,501,119.58655,6.01941,24.15408
17,1000,77195.16667,6488.66667,0.65638,1000,220.33113,0.12628,0.0,0.17419,0.69954,504.0,1.0,0.76775,0.23225,0.0,1.0,0,0,2,505,189.56578,18.63212,16.31016
18,1000,80363.33333,3168.16667,0.65859,1000,315.44568,0.22982,0.0,0.17931,0.59088,499.0,1.0,0.52686,0.47314,0.0,1.0,0,0,2,497,123.57427,6.31768,24.16575
19,1000,86838.5,6475.16667,0.65435,1000,199.90832,0.11875,0.0,0.15679,0.72446,499.0,1.0,0.76819,0.23181,0.0,1.0,0,0,0,501,180.27262,20.76697,21.78051
20,1000,90006.5,3168.0,0.64197,1000,319.57372,0.24852,0.0,0.16603,0.58545,502.0,1.0,0.52557,0.47443,0.0,1.0,0,0,1,502,115.15581,4.98608,19.30793
21,1000,96468.16667,6461.66667,0.87499,1000,183.89436,0.11161,0.0,0.14402,0.74438,499.0,1.0,0.76786,0.23214,0.0,1.0,0,0,1,499,171.53448,23.00467,21.74757
22,1000,99627.33333,3159.16667,0.64529,1000,306.64535,0.24244,0.0,0.15819,0.59937,496.0,1.0,0.52677,0.47323,0.0,1.0,0,0,0,495,111.23984,5.19778,31.83965
23,1000,106105.5,6478.16667,0.65573,1000,185.02859,0.11024,0.0,0.14662,0.74314,507.0,1.0,0.76706,0.23294,0.0,1.0,0,0,1,508,182.91465,24.9872,17.11201
24,1000,109258.16667,3152.66667,0.65998,1000,311.18334,0.24096,0.0,0.16477,0.59427,491.0,1.0,0.52707,0.47293,0.0,1.0,0,0,1,490,121.02736,5.75636,37.73568
25,1000,115735.83333,6477.66667,0.65645,1000,216.9056,0.1192,0.0,0.1775,0.7033,511.0,1.0,0.76674,0.23326,0.0,1.0,0,0,0,511,188.8225,20.62459,16.18465
26,1000,118889.0,3153.16667,0.64914,1000,306.75746,0.23619,0.0,0.16479,0.59903,493.0,1.0,0.52619,0.47381,0.0,1.0,0,0,0,494,120.97535,5.96574,28.01085
