episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,2968.5,2968.5,0.9221,1010,350.92655,0.26209,0.0,0.17957,0.55833,498.0,1.0,0.49436,0.50564,0.0,1.0,0,0,0,491,146.17348,5.82824,37.05388
3,1000,8765.33333,5796.83333,0.97799,1000,216.60681,0.13798,0.0,0.15899,0.704,505.0,1.0,0.7402,0.2598,0.0,1.00097,0,0,0,506,247.12558,22.86761,26.41186
4,1000,11692.16667,2926.83333,0.83841,1000,314.83527,0.25242,0.0,0.15876,0.58971,495.0,1.0,0.48887,0.51113,0.0,1.0009,0,0,1,495,141.03197,6.36485,36.51291
5,1000,17542.33333,5850.16667,0.87307,1000,232.00953,0.13132,0.0,0.1817,0.68557,512.0,1.0,0.74001,0.25999,0.0,0.99859,0,0,10,511,261.33306,25.37908,25.69296
6,1000,20477.83333,2935.5,0.97516,1000,308.45186,0.2536,0.0,0.14911,0.59729,492.0,1.0,0.4897,0.5103,0.0,1.0,0,0,0,498,148.90214,6.7289,29.71425
7,1000,26256.5,5778.66667,0.8779,1000,218.83797,0.13943,0.0,0.15898,0.70159,507.0,1.0,0.74008,0.25992,0.0,1.0,0,0,0,502,253.50479,22.90074,25.52415
8,1000,29191.83333,2935.33333,0.85096,1000,352.85707,0.26565,0.0,0.18614,0.54821,498.0,1.0,0.49001,0.50999,0.0,1.0,0,0,0,497,156.21473,5.92274,31.54307
9,1000,34927.5,5735.66667,0.87989,1000,210.80029,0.13064,0.0,0.15836,0.71101,504.0,1.0,0.73778,0.26222,0.0,1.0,0,0,1,503,234.4905,24.63148,26.01384
10,1000,37856.83333,2929.33333,1.02071,1000,318.15239,0.25012,0.0,0.16066,0.58922,498.0,1.0,0.4876,0.5124,0.0,1.0,0,0,1,500,149.72193,6.81262,27.55644
11,1000,43660.0,5803.16667,0.88383,1000,231.10602,0.14735,0.0,0.16594,0.68671,502.0,1.0,0.73997,0.26003,0.0,1.0,0,0,6,503,250.56248,19.91362,27.11513
12,1000,46603.33333,2943.33333,0.84649,1000,317.29652,0.24363,0.0,0.16914,0.58724,500.0,1.0,0.49037,0.50963,0.0,1.0,0,0,2,498,155.80971,7.43586,33.15207
13,1000,52389.5,5786.16667,0.87738,1000,232.22246,0.14327,0.0,0.17079,0.68593,510.0,1.0,0.73869,0.26131,0.0,1.0,0,0,5,507,247.57994,20.60116,24.34493
14,1000,55303.66667,2914.16667,0.8508,1000,298.91032,0.2598,0.0,0.1309,0.6093,494.0,1.0,0.48699,0.51301,0.0,1.0,0,0,0,495,144.79919,6.5233,34.05424
15,1000,61076.33333,5772.66667,1.07916,1000,220.12349,0.12851,0.0,0.17127,0.70022,508.0,1.0,0.73912,0.26088,0.0,1.0,0,0,2,504,241.16921,25.23334,27.87791
16,1000,63999.83333,2923.5,0.84109,1000,305.94991,0.2533,0.0,0.14537,0.60133,492.0,1.0,0.48828,0.51172,0.0,1.0,0,0,1,495,153.38312,7.01954,38.84064
17,1000,69794.66667,5794.83333,0.87716,1000,229.09322,0.13532,0.0,0.17612,0.68857,508.0,1.0,0.73873,0.26127,0.0,1.0,0,0,5,509,246.70595,23.16812,26.10441
18,1000,72736.16667,2941.5,0.84716,1000,347.04431,0.24713,0.0,0.19924,0.55363,495.0,1.0,0.4904,0.5096,0.0,1.0,0,0,4,495,164.28493,7.2,39.92196
19,1000,78515.0,5778.83333,0.87326,1000,219.58566,0.13433,0.0,0.16545,0.70022,507.0,1.0,0.73818,0.26182,0.0,1.0,0,0,4,509,252.62067,24.49598,26.09852
20,1000,81461.33333,2946.33333,0.85063,1000,352.54032,0.27747,0.0,0.17284,0.54969,502.0,1.0,0.48987,0.51013,0.0,1.0,0,0,3,500,157.68506,5.4809,29.2805
21,1000,87180.66667,5719.33333,1.09998,1000,206.92642,0.1272,0.0,0.15687,0.71593,499.0,1.0,0.73756,0.26244,0.0,1.0,0,0,0,501,228.19656,25.3451,26.91303
22,1000,90113.66667,2933.0,0.85249,1000,315.54405,0.2531,0.0,0.15785,0.58905,499.0,1.0,0.48926,0.51074,0.0,1.0,0,0,1,497,152.04731,6.88749,34.04159
