episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,3214.83333,3214.83333,0.76217,1010,580.02698,0.50623,0.0,0.16187,0.3319,496.0,1.0,0.53217,0.46783,0.0,1.0,0,0,0,494,128.78345,1.70312,30.9563
3,1000,9681.5,6466.66667,0.97504,1000,318.43847,0.25339,0.0,0.15871,0.5879,506.0,1.0,0.76649,0.23351,0.0,1.0,0,0,2,508,188.63174,8.66389,18.50756
4,1000,12833.66667,3152.16667,0.90064,1000,616.30576,0.53827,0.0,0.17461,0.28712,489.0,1.0,0.52794,0.47206,0.0,1.0,0,0,0,488,141.03146,1.4357,40.0751
5,1000,19316.83333,6483.16667,0.79541,1000,357.47652,0.26772,0.0,0.18825,0.54403,512.0,1.0,0.76647,0.23353,0.0,1.0,0,0,3,511,203.49067,7.78853,22.37623
6,1000,22473.33333,3156.5,0.84078,1000,586.85161,0.54186,0.0,0.14564,0.3125,497.0,1.0,0.52511,0.47489,0.0,1.0,0,0,0,499,127.41721,1.38315,25.52309
7,1000,28952.5,6479.16667,0.88272,1000,339.14276,0.2627,0.0,0.17274,0.56456,506.0,1.0,0.76772,0.23228,0.0,1.0,0,0,3,502,190.23174,7.88586,23.21771
8,1000,32121.83333,3169.33333,0.76525,1000,667.38232,0.5519,0.0,0.20984,0.23825,493.0,1.0,0.5264,0.4736,0.0,1.0,0,0,4,497,155.76504,1.24164,34.00842
9,1000,38614.0,6492.16667,0.7444,1000,368.61814,0.29756,0.0,0.17272,0.53113,506.0,1.0,0.76772,0.23228,0.0,1.0014,0,0,2,506,197.27872,5.95854,23.53875
10,1000,45076.0,6462.0,0.81508,1000,329.29098,0.25904,0.0,0.16265,0.5769,505.0,1.0,0.76679,0.23321,0.0,0.99859,0,0,3,504,192.24114,8.29834,19.05893
11,1000,48239.5,3163.5,0.65821,1000,695.19186,0.52675,0.0,0.26061,0.21263,492.0,1.0,0.52711,0.47289,0.0,1.0,0,0,3,493,159.07718,1.23861,35.97467
12,1000,54729.16667,6489.66667,0.62547,1000,351.25578,0.28147,0.0,0.16665,0.55188,510.0,1.0,0.76686,0.23314,0.0,1.0,0,0,4,509,209.71405,7.37417,21.89567
13,1000,57887.0,3157.83333,0.62512,1000,582.31178,0.5502,0.0,0.13245,0.31735,496.0,1.0,0.52594,0.47406,0.0,1.0,0,0,0,497,125.58338,1.35299,28.04474
14,1000,64374.66667,6487.66667,0.61998,1000,335.87184,0.25802,0.0,0.16673,0.57525,509.0,1.0,0.7671,0.2329,0.0,1.0,0,0,3,508,201.61704,8.72983,15.49499
15,1000,67524.83333,3150.16667,0.82917,1000,649.52612,0.52642,0.0,0.21751,0.25607,490.0,1.0,0.52669,0.47331,0.0,1.0,0,0,0,491,169.46646,1.59414,33.1231
16,1000,73987.5,6462.66667,0.63012,1000,354.04822,0.26987,0.0,0.18065,0.54948,506.0,1.0,0.76697,0.23303,0.0,1.0,0,0,1,505,196.58261,7.52089,23.71523
17,1000,77141.16667,3153.66667,0.63712,1000,659.47334,0.55694,0.0,0.19649,0.24657,490.0,1.0,0.5269,0.4731,0.0,1.0,0,0,1,491,147.20046,1.18884,42.62374
18,1000,83616.33333,6475.16667,0.62999,1000,354.09665,0.28211,0.0,0.16823,0.54965,512.0,1.0,0.76665,0.23335,0.0,1.0,0,0,0,511,195.73059,6.84322,20.92862
19,1000,86778.5,3162.16667,0.6393,1000,626.46778,0.54511,0.0,0.1787,0.27619,497.0,1.0,0.52627,0.47373,0.0,1.0,0,0,1,497,145.62602,1.37608,28.15573
20,1000,89938.33333,3159.83333,0.84862,1000,573.66834,0.51885,0.0,0.14951,0.33165,504.0,1.0,0.52403,0.47597,0.0,1.0,0,0,0,504,139.05823,1.75305,20.38284
21,1000,96403.0,6464.66667,0.63966,1000,348.5359,0.2601,0.0,0.18603,0.55387,498.0,1.0,0.76828,0.23172,0.0,1.0,0,0,0,498,185.45622,7.61431,23.71325
22,1000,99562.16667,3159.16667,0.62524,1000,540.67279,0.49198,0.0,0.15347,0.35788,496.0,1.0,0.52677,0.47323,0.0,1.00334,0,0,0,495,129.20277,1.97647,33.84277
23,1000,106042.33333,6480.16667,0.63123,1000,357.59205,0.26053,0.0,0.19411,0.54373,507.0,1.0,0.76683,0.23317,0.0,0.99837,0,0,3,508,192.64042,7.79985,20.92335
24,1000,109201.33333,3159.0,0.62401,1000,594.33335,0.52322,0.0,0.16981,0.30697,500.0,1.0,0.52548,0.47452,0.0,1.0,0,0,0,499,132.20237,1.49891,23.1846
25,1000,115668.5,6467.16667,0.64133,1000,352.17234,0.25689,0.0,0.19104,0.55207,502.0,1.0,0.7676,0.2324,0.0,1.0,0,0,2,501,197.69637,8.34144,22.85204
26,1000,118829.5,3161.0,0.63517,1000,533.45459,0.52225,0.0,0.11295,0.3648,493.0,1.0,0.52673,0.47327,0.0,1.0,0,0,1,495,119.58957,1.65263,33.841
27,1000,125290.66667,6461.16667,0.88547,1000,319.79066,0.26316,0.0,0.15163,0.58768,507.0,1.0,0.76676,0.23324,0.0,1.00248,0,0,0,507,185.09194,8.01451,19.9639
