episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,931.16734,931.16734,1.98044,273,91.54208,0.29261,0.0,0.13638,0.57102,188.0,0.85609,0.49848,0.35762,0.14391,1.0,0,67,0,60,173.00519,7.1505,127.92701
3,1000,4455.66799,3524.50065,1.39764,279,65.19494,0.0996,0.0,0.1925,0.70789,224.0,0.95801,0.72563,0.23237,0.04199,1.0,0,74,238,306,879.22088,113.40257,66.28896
4,1000,6039.83526,1584.16727,2.39916,359,114.87536,0.23305,0.0,0.1733,0.59365,253.0,0.94697,0.50763,0.43935,0.05302,1.0,0,42,127,214,714.54921,34.49725,119.37063
5,1000,7786.00251,1746.16725,2.39078,385,112.11206,0.2476,0.0,0.13361,0.61879,278.0,0.95648,0.50635,0.45013,0.04352,1.0,0,38,153,255,765.92155,36.4499,136.32981
6,1000,10915.00318,3129.00067,1.69724,251,45.7738,0.09374,0.0,0.15361,0.75265,198.0,0.94695,0.71748,0.22947,0.05305,1.0,0,83,204,269,872.74309,129.11217,53.77782
7,1000,12094.33717,1179.33399,2.53321,289,81.45902,0.25989,0.0,0.11923,0.62089,206.0,0.87959,0.48191,0.39768,0.12041,1.0,0,71,65,128,612.54696,30.64797,133.6036
8,1000,15520.33783,3426.00066,1.71787,275,57.98286,0.09866,0.0,0.16207,0.73927,218.0,0.96205,0.73263,0.22942,0.03795,1.0,0,65,232,283,873.83487,115.57896,70.34721
9,1000,17129.50511,1609.16728,2.33978,336,105.11981,0.21828,0.0,0.17029,0.61143,254.0,0.93413,0.49353,0.4406,0.06587,1.0,0,53,146,229,760.52138,40.96089,96.83822
10,1000,18825.83903,1696.33392,2.74939,382,117.66656,0.24298,0.0,0.16514,0.59188,278.0,0.95756,0.51189,0.44567,0.04244,1.0,0,36,148,234,785.55795,38.35204,147.0844
11,1000,22177.50637,3351.66734,1.44104,255,63.85037,0.09395,0.0,0.19734,0.70871,203.0,0.95047,0.71954,0.23093,0.04953,1.0,0,83,238,288,903.19626,121.95969,59.02033
12,1000,23597.84031,1420.33394,2.31996,336,125.26405,0.28567,0.0,0.1877,0.52664,239.0,0.9141,0.49519,0.41892,0.0859,1.0,0,61,93,172,683.87743,22.48616,136.35658
13,1000,26463.00767,2865.16736,1.54103,219,46.61456,0.10145,0.0,0.17647,0.72208,179.0,0.93508,0.70647,0.22861,0.06492,1.0,0,93,191,248,870.62026,102.78269,49.53053
14,1000,27914.17494,1451.16727,2.48339,354,131.75905,0.27255,0.0,0.20252,0.52493,251.0,0.93385,0.50936,0.42449,0.06615,1.0,0,48,92,176,664.70815,22.88975,135.5215
15,1000,29881.34216,1967.16722,2.25757,417,135.45172,0.22424,0.0,0.20024,0.57552,288.0,0.96645,0.50792,0.45853,0.03355,1.0,0,33,191,301,796.90192,36.74414,134.1835
16,1000,32623.84286,2742.5007,1.42687,202,40.78614,0.09029,0.0,0.16112,0.74859,173.0,0.92197,0.69736,0.22461,0.07803,1.0,0,107,187,233,876.31743,137.51366,53.16823
17,1000,34096.51013,1472.66727,2.36407,347,117.44265,0.26984,0.0,0.15153,0.57862,254.0,0.9158,0.49683,0.41897,0.0842,1.0,0,62,101,177,692.27245,26.62904,137.47619
18,1000,37158.0108,3061.50068,1.60812,251,57.42505,0.10374,0.0,0.16475,0.73151,193.0,0.94904,0.72105,0.22799,0.05096,1.0,0,78,197,255,864.15392,106.83136,70.24776
19,1000,38617.01143,1459.00063,2.43635,324,89.86603,0.21986,0.0,0.15254,0.6276,230.0,0.92049,0.49006,0.43043,0.07951,1.0,0,58,115,197,697.83967,38.00848,108.32345
20,1000,40285.51204,1668.50061,2.5836,348,104.51018,0.21266,0.0,0.18068,0.60665,254.0,0.94366,0.49595,0.44771,0.05634,1.0,0,47,157,248,769.93293,41.99997,111.55613
21,1000,43427.67937,3142.16733,1.41188,272,58.39537,0.09901,0.0,0.20203,0.69896,208.0,0.95354,0.72535,0.22819,0.04646,1.0,0,73,194,259,861.79323,119.19593,52.04844
22,1000,45121.67995,1694.00058,2.68619,378,119.56084,0.23401,0.0,0.15042,0.61556,280.0,0.95159,0.51063,0.44097,0.04841,1.0,0,41,144,228,765.75075,40.26666,114.66835
23,1000,48482.84726,3361.16731,1.56658,302,67.68294,0.11057,0.0,0.19403,0.69543,226.0,0.96251,0.73462,0.2279,0.03749,1.00003,0,63,199,271,867.32323,93.46716,66.90091
24,1000,49908.18122,1425.33396,2.52192,336,105.89612,0.24424,0.0,0.15141,0.60428,246.0,0.93265,0.50047,0.43218,0.06735,0.99992,0,48,98,189,674.04084,34.1705,116.17367
