episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,987.00065,987.00065,4.18648,291,93.15326,0.29299,0.0,0.11714,0.58987,203.0,0.85816,0.49645,0.3617,0.14184,1.0,0,70,0,66,234.88691,8.97055,141.07884
3,1000,4121.00134,3134.00069,3.40182,213,48.06319,0.08677,0.0,0.16464,0.74859,174.0,0.93746,0.70517,0.23229,0.06254,1.0,0,98,236,284,936.78411,153.18115,56.11244
4,1000,5133.16868,1012.16733,5.97703,256,96.59362,0.27945,0.0,0.20705,0.51511,188.0,0.83995,0.47341,0.36654,0.16005,1.00162,0,81,36,83,563.90968,19.31466,159.14084
5,1000,6840.83597,1707.6673,4.79425,334,100.99021,0.21435,0.0,0.18044,0.60425,243.0,0.94261,0.49288,0.44974,0.05739,0.99904,0,49,185,261,819.40319,43.06732,146.88874
6,1000,9459.83669,2619.00071,3.31926,188,41.92576,0.09604,0.0,0.16654,0.73743,153.0,0.91523,0.68919,0.22604,0.08477,1.0,0,111,186,231,859.19223,117.44689,54.8748
7,1000,10556.67067,1096.83399,4.76467,288,99.09609,0.2881,0.0,0.15012,0.56178,209.0,0.88877,0.49309,0.39568,0.11123,1.0,0,61,41,108,552.76181,22.15622,156.57014
8,1000,13899.33801,3342.66733,3.34229,255,50.73044,0.08933,0.0,0.16087,0.7498,194.0,0.95154,0.71849,0.23305,0.04846,1.0,0,81,232,296,870.52572,127.37976,54.7612
9,1000,15275.00529,1375.66728,3.90583,331,116.69586,0.25187,0.0,0.19864,0.54949,232.0,0.90841,0.49188,0.41653,0.09159,1.0,0,63,87,166,654.19748,29.00899,126.8848
10,1000,16842.50592,1567.50062,3.63776,323,99.76875,0.23209,0.0,0.17509,0.59282,236.0,0.91962,0.48644,0.43317,0.08038,1.0,0,63,144,220,764.59963,33.58071,143.65523
11,1000,19689.17327,2846.66735,2.85564,212,36.09771,0.07924,0.0,0.13329,0.78747,162.0,0.92482,0.69789,0.22693,0.07518,1.0,0,107,193,248,860.97762,170.02602,50.32766
12,1000,21026.67388,1337.50061,4.30649,327,104.02196,0.27252,0.0,0.14265,0.58647,228.0,0.89981,0.48785,0.41196,0.10019,1.00164,0,67,73,159,622.43922,24.03157,121.98626
13,1000,24007.17456,2980.50068,2.76316,246,56.51313,0.09655,0.0,0.17635,0.72637,181.0,0.9443,0.71716,0.22714,0.0557,0.99926,0,83,189,248,849.1401,110.36519,55.80911
14,1000,25150.6752,1143.50064,3.80497,288,106.01975,0.29977,0.0,0.17418,0.52604,214.0,0.86008,0.47442,0.38566,0.13992,1.0,0,80,48,115,580.85035,19.32027,150.08064
15,1000,27246.84242,2096.16722,3.97187,419,114.95618,0.20392,0.0,0.15555,0.64052,294.0,0.96565,0.5029,0.46275,0.03435,1.0,0,36,223,336,800.63171,46.54608,113.73737
16,1000,30075.8431,2829.00068,3.17785,244,52.0074,0.10847,0.0,0.19567,0.69586,185.0,0.93849,0.71403,0.22446,0.06151,1.0,0,87,167,230,848.74105,91.83979,58.80718
17,1000,31635.84369,1560.00059,3.62941,370,116.66424,0.2526,0.0,0.16012,0.58728,253.0,0.93333,0.5,0.43333,0.06667,1.0,0,52,111,207,685.84648,29.43929,113.51736
18,1000,34984.01099,3348.1673,2.90319,308,54.21875,0.1047,0.0,0.13801,0.75729,231.0,0.96177,0.73448,0.22729,0.03823,1.0,0,64,194,267,852.95844,106.29254,72.50443
19,1000,36553.17824,1569.16725,3.83329,374,126.35585,0.28302,0.0,0.15592,0.56106,267.0,0.9401,0.50611,0.43399,0.0599,1.0,0,47,107,206,685.48399,24.37966,135.79245
20,1000,38552.84546,1999.66722,3.97476,410,120.3218,0.22998,0.0,0.1604,0.61914,299.0,0.96199,0.50842,0.45358,0.03801,1.00951,0,38,204,297,821.35225,40.63676,151.02975
21,1000,41566.34616,3013.5007,2.88875,214,46.01527,0.08153,0.0,0.17228,0.73988,177.0,0.93297,0.70267,0.2303,0.06703,0.99369,0,101,222,268,909.98337,152.32976,43.81793
22,1000,43180.84674,1614.50058,4.07365,371,124.73244,0.26761,0.0,0.14458,0.58781,265.0,0.93311,0.50015,0.43295,0.06689,1.0,0,54,122,213,709.585,28.01966,102.96042
23,1000,45909.34741,2728.50067,2.82784,244,44.38429,0.09936,0.0,0.15455,0.74609,182.0,0.93623,0.71376,0.22247,0.06377,1.0,0,87,150,217,848.93651,113.77167,58.51509
24,1000,47408.51469,1499.16727,3.73258,339,108.40579,0.24098,0.0,0.15864,0.60038,235.0,0.91729,0.49305,0.42424,0.08271,1.0,0,62,111,192,713.26065,33.21027,118.11515
25,1000,49276.01524,1867.50056,7.23207,402,142.85311,0.24212,0.0,0.22447,0.53687,299.0,0.94752,0.50201,0.44552,0.05248,1.00346,0,49,169,269,786.44514,31.18464,142.56664
26,1000,52768.18255,3492.16731,3.032,297,57.00859,0.10366,0.0,0.14909,0.7454,229.0,0.96449,0.73283,0.23166,0.03551,0.99815,0,62,220,295,855.69741,115.02555,67.07754
27,1000,54588.01644,1819.83389,4.07292,405,137.4014,0.23821,0.0,0.18569,0.57609,278.0,0.95054,0.506,0.44455,0.04946,1.0,0,45,155,254,773.47445,34.95922,114.57237
28,1000,57452.18379,2864.16734,3.84102,252,51.49682,0.11698,0.0,0.16186,0.72115,207.0,0.94763,0.72069,0.22694,0.05237,1.0,0,75,169,234,845.91936,83.53292,62.42824
29,1000,59445.18432,1993.00054,6.57817,436,154.66811,0.24437,0.0,0.20554,0.55009,318.0,0.96488,0.51681,0.44807,0.03512,1.0,0,35,187,278,813.75475,32.8612,121.41306
30,1000,61135.01825,1689.83393,7.07198,365,128.83807,0.22501,0.0,0.23439,0.5406,261.0,0.94674,0.50054,0.4462,0.05326,1.0,0,45,151,245,808.99953,38.54105,140.0001
31,1000,64209.51893,3074.50068,5.00187,246,48.16078,0.09365,0.0,0.1572,0.74915,192.0,0.94861,0.718,0.23061,0.05139,1.0,0,79,202,266,874.41265,130.37772,51.79574
32,1000,65997.5195,1788.00057,8.17212,390,125.14382,0.2304,0.0,0.17616,0.59344,298.0,0.94966,0.50895,0.44072,0.05034,1.0,0,45,160,242,773.81597,39.27897,113.42999
33,1000,69055.02015,3057.50065,4.94455,282,55.82802,0.09675,0.0,0.18223,0.72102,199.0,0.95159,0.72363,0.22796,0.04841,1.0,0,74,166,252,802.66978,115.41299,54.56194
34,1000,71046.02067,1991.00052,7.65871,461,142.65626,0.25781,0.0,0.13995,0.60225,345.0,0.97288,0.52235,0.45053,0.02712,1.0,0,27,166,274,759.92113,33.54751,129.03415
35,1000,73062.68789,2016.66722,5.90409,407,109.68647,0.23233,0.0,0.12603,0.64164,300.0,0.96033,0.50165,0.45868,0.03967,1.0,0,40,206,316,794.88771,41.06402,106.87201
36,1000,76264.02187,3201.33398,4.78215,294,57.8664,0.11386,0.0,0.16185,0.7243,216.0,0.96064,0.73199,0.22865,0.03936,1.0,0,63,181,260,823.22824,85.26697,58.31572
37,1000,78255.68905,1991.66718,6.32516,459,146.95808,0.23368,0.0,0.16628,0.60004,321.0,0.97088,0.51799,0.45289,0.02912,1.0,0,29,163,281,740.57175,34.58434,117.27937
38,1000,81449.1897,3193.50065,8.82301,280,59.24636,0.10368,0.0,0.16536,0.73096,223.0,0.95052,0.72413,0.2264,0.04948,1.0,0,79,192,259,852.82421,116.89471,63.22049
39,1000,83421.35689,1972.16719,5.19107,445,138.906,0.25376,0.0,0.13634,0.6099,323.0,0.96755,0.51677,0.45077,0.03245,1.0,0,32,173,275,754.45986,34.33132,127.03454
40,1000,85351.19077,1929.83388,7.46622,415,127.08987,0.23899,0.0,0.16539,0.59562,299.0,0.95647,0.50566,0.45082,0.04353,1.0,0,42,178,283,788.73463,35.59538,147.76211
41,1000,88607.19143,3256.00066,7.71279,280,58.87763,0.10324,0.0,0.18135,0.71541,212.0,0.957,0.72635,0.23065,0.043,1.0,0,70,201,277,852.31642,104.26912,68.00197
42,1000,90194.52536,1587.33393,6.46657,361,120.66515,0.24236,0.0,0.18078,0.57686,255.0,0.94078,0.50294,0.43784,0.05922,1.0,0,47,123,215,726.16949,29.66587,118.15143
43,1000,93340.19267,3145.66731,8.73611,293,58.92537,0.09811,0.0,0.17899,0.72289,216.0,0.95549,0.72693,0.22857,0.04451,1.0,0,70,176,258,845.25181,130.98313,63.19238
44,1000,95540.69316,2200.50048,5.88475,499,158.03992,0.25504,0.0,0.15098,0.59399,367.0,0.98273,0.52374,0.45899,0.01727,1.0,0,19,198,316,760.799,31.76068,125.10508
45,1000,97416.52706,1875.8339,7.90513,392,126.25437,0.26323,0.0,0.14925,0.58752,276.0,0.95629,0.50155,0.45473,0.04371,1.0,0,41,177,287,785.77955,29.49381,117.38603
46,1000,100577.0277,3160.50064,6.13791,290,54.13181,0.12255,0.0,0.13857,0.73889,215.0,0.95317,0.72536,0.22781,0.04683,1.0,0,74,174,261,817.23414,74.31604,54.40235
47,1000,102489.69489,1912.66719,6.27517,448,141.64503,0.24188,0.0,0.17003,0.58809,310.0,0.96758,0.51847,0.44911,0.03242,1.0,0,31,155,261,733.41578,32.50399,129.97752
