episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,2922.5,2922.5,0.96379,1010,678.00351,0.58175,0.0,0.1753,0.24295,485.0,1.0,0.49016,0.50984,0.0,1.0,0,0,0,480,172.8856,1.34816,51.95369
3,1000,8643.66667,5721.16667,0.93529,1000,382.10416,0.31795,0.0,0.16391,0.51814,524.0,1.0,0.7331,0.2669,0.0,1.0,0,0,6,521,273.47162,8.15854,25.80692
4,1000,11508.0,2864.33333,0.73646,1000,609.20631,0.60291,0.0,0.10151,0.29558,486.0,1.0,0.47946,0.52054,0.0,1.0,0,0,0,491,154.05558,1.38996,41.26736
5,1000,14386.66667,2878.66667,0.72006,1000,645.31997,0.60525,0.0,0.13701,0.25775,508.0,1.0,0.47997,0.52003,0.0,1.0,0,0,0,497,175.27599,1.37877,46.98332
6,1000,20095.83333,5709.16667,0.86492,1000,394.50885,0.3118,0.0,0.18447,0.50373,505.0,1.0,0.73464,0.26536,0.0,1.0,0,0,3,512,258.87711,7.67351,27.13293
7,1000,22973.33333,2877.5,0.7012,1000,656.50095,0.6286,0.0,0.1214,0.25,492.0,1.0,0.48045,0.51955,0.0,1.0,0,0,0,495,160.16169,1.12652,37.22068
8,1000,28653.66667,5680.33333,0.71397,1000,367.49742,0.2998,0.0,0.16793,0.53227,510.0,1.0,0.73382,0.26618,0.0,1.0,0,0,4,508,233.10801,7.90633,25.1639
9,1000,31520.0,2866.33333,0.70616,1000,683.20286,0.59328,0.0,0.18211,0.22461,494.0,1.0,0.48087,0.51913,0.0,1.0,0,0,0,488,165.27979,1.16853,48.32722
10,1000,34403.33333,2883.33333,0.84847,1000,639.41061,0.57834,0.0,0.15502,0.26664,502.0,1.0,0.4763,0.5237,0.0,1.0,0,0,2,508,174.23612,1.56906,35.26959
11,1000,40073.0,5669.66667,0.70906,1000,352.22426,0.29958,0.0,0.15158,0.54884,507.0,1.0,0.73491,0.26509,0.0,1.0,0,0,0,503,231.08967,8.14888,28.67477
12,1000,42962.0,2889.0,0.72244,1000,667.63668,0.54902,0.0,0.21179,0.23919,488.0,1.0,0.48114,0.51886,0.0,1.0,0,0,5,494,184.181,1.58345,45.74362
13,1000,48706.16667,5744.16667,0.72238,1000,414.60164,0.3117,0.0,0.20583,0.48247,516.0,1.0,0.73538,0.26462,0.0,1.0,0,0,5,515,270.18909,7.60712,21.83991
14,1000,51582.5,2876.33333,0.74016,1000,719.62696,0.5978,0.0,0.21106,0.19113,481.0,1.0,0.48441,0.51559,0.0,1.0,0,0,2,481,211.76135,1.24684,60.42477
15,1000,54478.66667,2896.16667,0.92841,1000,668.90643,0.60013,0.0,0.16413,0.23574,521.0,1.0,0.4762,0.5238,0.0,1.0,0,0,1,516,217.98218,1.60963,30.74934
16,1000,60142.83333,5664.16667,0.71241,1000,392.82157,0.28752,0.0,0.20809,0.5047,494.0,1.0,0.73429,0.26571,0.0,1.00031,0,0,3,502,232.16413,8.07582,28.75982
17,1000,63059.3426,2916.50927,0.72816,1000,722.08245,0.59629,0.0,0.22231,0.1881,505.0,0.9944,0.48145,0.51294,0.0056,1.0067,0,0,1,495,211.93419,1.2424,40.28906
18,1000,68730.50927,5671.16667,0.70468,1000,387.16662,0.31451,0.0,0.16883,0.51292,500.0,1.0,0.73427,0.26573,0.0,0.99626,0,0,0,507,246.14341,7.15225,26.11403
19,1000,71591.3426,2860.83333,0.70047,1000,610.06992,0.5516,0.0,0.15897,0.2894,495.0,1.0,0.47742,0.52258,0.0,0.99998,0,0,1,494,150.63756,1.61468,38.88441
20,1000,74808.79486,3217.45226,0.97542,1000,613.45886,0.54534,0.0,0.14655,0.30811,507.0,0.92755,0.45481,0.47273,0.07245,1.0,0,0,17,504,199.91923,2.07418,47.72763
21,1000,80515.46152,5706.66667,0.71495,1000,362.59639,0.30185,0.0,0.15944,0.53871,513.0,1.0,0.73364,0.26636,0.0,1.0,0,0,7,513,256.72569,8.78878,28.944
22,1000,83391.46152,2876.0,0.71456,1000,681.03336,0.5813,0.0,0.19247,0.22674,495.0,1.0,0.47809,0.52191,0.0,1.00051,0,0,2,499,181.40048,1.35456,33.27283
23,1000,89033.12819,5641.66667,0.70661,1000,375.14893,0.30092,0.0,0.17497,0.52385,506.0,1.0,0.73323,0.26677,0.0,0.99974,0,0,1,504,233.51694,7.72823,26.028
24,1000,91909.62819,2876.5,0.69978,1000,698.58141,0.60769,0.0,0.18182,0.21049,491.0,1.0,0.48062,0.51938,0.0,1.0,0,0,3,491,182.18726,1.16893,46.86606
25,1000,94776.62819,2867.0,0.71513,1000,646.42485,0.59845,0.0,0.14482,0.25673,501.0,1.0,0.47785,0.52215,0.0,1.0,0,0,0,497,156.84912,1.23926,52.58548
26,1000,100463.79486,5687.16667,0.70924,1000,357.00472,0.31041,0.0,0.14423,0.54536,513.0,1.0,0.73396,0.26604,0.0,1.0,0,0,0,513,250.54496,8.19298,27.01134
27,1000,103343.96152,2880.16667,0.89838,1000,610.41057,0.55626,0.0,0.1509,0.29284,490.0,1.0,0.48059,0.51941,0.0,1.0,0,0,0,496,150.98754,1.58832,35.00872
28,1000,109009.29486,5665.33333,0.73167,1000,411.95778,0.32907,0.0,0.18451,0.48642,511.0,1.0,0.73311,0.26689,0.0,1.0,0,0,4,508,248.19102,6.32574,23.26964
29,1000,111891.62819,2882.33333,0.70782,1000,639.26647,0.58921,0.0,0.1456,0.26519,492.0,1.0,0.48167,0.51833,0.0,1.0,0,0,2,492,165.39268,1.42049,40.94003
30,1000,114769.79486,2878.16667,0.85154,1000,710.05807,0.61013,0.0,0.18464,0.20522,500.0,1.0,0.47745,0.52255,0.0,1.0,0,0,0,504,185.04481,1.13071,33.2376
31,1000,120453.46152,5683.66667,0.77447,1000,350.50838,0.30841,0.0,0.13899,0.5526,503.0,1.0,0.73573,0.26427,0.0,1.0,0,0,1,501,235.51047,7.82871,31.7619
32,1000,123333.96152,2880.5,0.70554,1000,677.46991,0.62098,0.0,0.14939,0.22963,493.0,1.0,0.47995,0.52005,0.0,1.0,0,0,0,498,173.13004,1.14445,36.11443
33,1000,129079.29486,5745.33333,0.7201,1000,412.53903,0.31086,0.0,0.20391,0.48523,511.0,1.0,0.73596,0.26404,0.0,1.0,0,0,8,509,254.14554,7.2552,26.069
