episode_counter,sim_step,sim_time,dt,dt_real_time,valid_actions,total_reward,machines_working,machines_changeover,machines_broken,machines_idle,processed_orders,transp_working,transp_walking,transp_handling,transp_idle,machines_total,selected_idle,forced_idle,threshold_waiting,finished_orders,order_waiting_time,alpha,inventory
2,1000,736.33405,736.33405,1.8077,169,88.65883,0.45814,0.0,0.12746,0.4144,104.0,0.66591,0.378,0.28791,0.33409,1.0,0,123,0,43,161.85769,2.83147,84.31471
3,1000,1417.33485,681.00079,6.46504,30,1.75739,0.15351,0.0,0.09298,0.75351,24.0,0.4185,0.19824,0.22026,0.5815,1.0,0,198,73,69,994.2553,106.12709,48.0156
4,1000,1921.50231,504.16747,6.07808,22,0.0,0.08266,0.0,0.17193,0.74542,15.0,0.20661,0.09752,0.10909,0.79339,1.0,0,200,30,25,1013.35023,117.79314,17.97764
5,1000,2326.83645,405.33413,6.0444,1,0.0,0.00278,0.0,0.1973,0.79993,0.0,0.01316,0.00822,0.00493,0.98684,1.0,0,200,2,0,nan,nan,17.6568
6,1000,2800.83724,474.0008,6.92011,21,0.87496,0.10323,0.0,0.15841,0.73836,11.0,0.16456,0.08439,0.08017,0.83544,1.0,0,198,20,12,1060.74384,119.83127,19.85532
7,1000,3211.83804,411.0008,5.94141,3,0.0,0.05095,0.0,0.16634,0.78271,4.0,0.02676,0.01217,0.0146,0.97323,1.0,0,200,3,3,1215.25397,191.16724,17.22581
8,1000,3683.33884,471.50079,5.98409,21,0.73797,0.07138,0.0,0.0979,0.83072,11.0,0.15589,0.07953,0.07635,0.84411,1.0,0,199,18,12,1045.55873,208.69709,16.98996
9,1000,4110.67297,427.33413,6.62812,7,0.0,0.03729,0.0,0.22684,0.73587,6.0,0.06396,0.0312,0.03276,0.93604,1.0,0,200,9,5,1026.2098,409.92486,16.09594
10,1000,4569.5071,458.83413,8.29053,16,1.13776,0.03512,0.0,0.20244,0.76244,8.0,0.13258,0.0672,0.06538,0.86742,1.0,0,199,13,10,1003.62224,769.10123,16.01767
11,1000,5005.84123,436.33413,5.78178,9,0.04255,0.08139,0.0,0.18169,0.73692,8.0,0.08327,0.04202,0.04125,0.91673,1.0,0,200,11,6,1031.57299,117.14338,16.10575
12,1000,5415.67536,409.83413,5.60963,4,0.08904,0.00444,0.0,0.23369,0.76186,1.0,0.02887,0.01423,0.01464,0.97112,1.0,0,199,2,2,1001.15843,146524.99767,15.99971
13,1000,5875.67616,460.0008,5.56631,20,0.66597,0.06654,0.0,0.07446,0.859,5.0,0.13478,0.06522,0.06957,0.86522,1.0,0,199,16,10,1012.79133,206.05589,17.94838
14,1000,6294.84362,419.16746,5.5443,5,0.15361,0.06406,0.0,0.04899,0.88695,10.0,0.04573,0.02187,0.02386,0.95427,1.0,0,200,4,4,1242.03895,231.17076,16.03081
15,1000,6767.17775,472.33413,5.57907,20,0.30149,0.04647,0.0,0.09523,0.8583,7.0,0.15737,0.08116,0.07622,0.84262,1.0,0,199,20,11,1011.44039,441.5945,18.75085
16,1000,7183.51188,416.33413,5.55996,6,0.2191,0.03282,0.0,0.20991,0.75727,2.0,0.04404,0.02002,0.02402,0.95596,1.0,0,199,4,4,1049.20178,372.82558,17.02694
17,1000,7601.67935,418.16747,5.57192,5,0.0,0.01529,0.0,0.23043,0.75429,3.0,0.04344,0.02192,0.02152,0.95655,1.0,0,200,6,3,1203.51368,845.59508,16.99869
18,1000,8068.84681,467.16746,5.64826,17,0.48355,0.10162,0.0,0.0937,0.80468,15.0,0.14806,0.07314,0.07492,0.85194,1.0,0,199,17,12,1127.27624,169.42389,16.04814
19,1000,8483.34761,414.5008,5.55447,6,0.11909,0.02572,0.0,0.0727,0.90158,5.0,0.03981,0.01809,0.02171,0.96019,1.0,0,199,3,3,1001.85679,670.89497,15.99972
20,1000,8950.01507,466.66746,5.5705,19,1.22132,0.10738,0.0,0.25551,0.63711,10.0,0.14714,0.07857,0.06857,0.85286,1.0,0,199,17,10,1016.714,109.11166,17.985
21,1000,9375.51587,425.5008,5.53938,8,0.06237,0.0407,0.0,0.19491,0.76439,6.0,0.05993,0.02938,0.03055,0.94007,1.0,0,200,6,5,1046.05464,183.26926,16.04121
22,1000,9824.35,448.83413,5.54616,13,0.30092,0.03051,0.0,0.19627,0.77322,6.0,0.11326,0.05756,0.0557,0.88674,1.0,0,199,14,7,1003.61166,910.87066,19.8498
23,1000,10263.51747,439.16746,5.67888,9,0.15948,0.06102,0.0,0.14949,0.78949,9.0,0.08918,0.04364,0.04554,0.91081,1.0,0,200,10,8,1088.19358,311.23651,16.07478
24,1000,10681.51826,418.0008,5.55464,7,0.08454,0.0341,0.0,0.09816,0.86774,2.0,0.04785,0.02392,0.02392,0.95215,1.0,0,199,4,3,1001.05162,1211.90399,16.95145
25,1000,11152.18572,470.66746,5.54138,18,0.56863,0.09185,0.0,0.05725,0.8509,10.0,0.15439,0.0779,0.07649,0.84561,1.0,0,199,17,12,1009.84249,144.82258,17.00139
26,1000,11566.85319,414.66747,5.52964,5,0.04867,0.06344,0.0,0.09559,0.84097,6.0,0.03537,0.01608,0.01929,0.96463,1.0,0,200,4,3,1002.20476,233.83779,16.01355
27,1000,12017.35399,450.5008,5.56695,14,0.24031,0.08543,0.0,0.16692,0.74765,7.0,0.11654,0.06104,0.05549,0.88346,1.0,0,199,14,8,1021.16399,113.93204,17.02561
28,1000,12450.02145,432.66746,5.59821,9,0.60792,0.03009,0.0,0.13823,0.83168,6.0,0.08012,0.03852,0.0416,0.91988,1.0,0,199,8,7,1035.52574,314.6786,14.03769
29,1000,12883.52225,433.5008,5.5412,9,0.0,0.00973,0.0,0.20499,0.78528,2.0,0.07728,0.04037,0.03691,0.92272,1.0,0,200,11,5,1003.45421,3318.3746,14.9926
30,1000,13317.85638,434.33413,5.53951,10,0.32374,0.08101,0.0,0.1379,0.78109,7.0,0.07905,0.04221,0.03684,0.92095,1.0,0,200,8,5,1232.74996,142.4543,16.00608
31,1000,13754.52385,436.66746,5.5522,11,0.42418,0.04833,0.0,0.17994,0.77173,7.0,0.08855,0.04962,0.03893,0.91145,1.0,0,199,10,4,1278.07638,325.51521,20.84167
32,1000,14201.85798,447.33413,5.58101,13,0.1656,0.04125,0.0,0.25076,0.708,8.0,0.10581,0.05216,0.05365,0.89419,1.0,0,200,13,9,1054.51501,476.97317,18.02247
33,1000,14635.52544,433.66746,5.54473,10,0.87939,0.05254,0.0,0.19835,0.74911,3.0,0.08224,0.03843,0.04381,0.91775,1.0,0,199,7,7,1133.21531,273.44859,16.0439
34,1000,15072.69291,437.16747,5.61739,10,0.0,0.07648,0.0,0.16935,0.75417,8.0,0.08502,0.04384,0.04117,0.91498,1.0,0,200,12,6,1009.40098,152.93997,16.03003
35,1000,15521.52704,448.83413,5.5577,16,0.93389,0.06193,0.0,0.16076,0.77731,9.0,0.11771,0.05756,0.06016,0.88229,1.0,0,198,10,9,1006.84944,198.77678,16.00448
36,1000,15964.1945,442.66746,5.55471,12,0.11174,0.06735,0.0,0.25266,0.67999,10.0,0.09639,0.04895,0.04744,0.90361,1.0,0,200,12,7,1019.28819,232.43462,16.01873
37,1000,16392.1953,428.0008,5.58098,10,0.34435,0.02227,0.0,0.16476,0.81298,1.0,0.07009,0.03505,0.03505,0.9299,1.0,0,199,6,5,1009.06848,635.24059,16.0063
38,1000,16843.02943,450.83413,5.64013,13,0.04434,0.04539,0.0,0.13115,0.82346,9.0,0.11275,0.0573,0.05545,0.88724,1.0,0,200,15,9,1006.5423,342.32526,14.03304
39,1000,17278.03023,435.0008,5.58843,11,0.89192,0.05272,0.0,0.14694,0.80035,8.0,0.08506,0.04598,0.03908,0.91494,1.0,0,199,8,5,1041.09043,254.66581,15.94823
